timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.0041,0,0,96009,95954.4,3.144
2.0041,0,0,259266,163257,5.34954
3.0041,0,0,411818,152552,4.99864
4.00412,0,0,551015,139195,4.56104
5.00412,0,0,697723,146708,4.80731
6.00499,0,0,795502,97694.4,3.20108
7.00499,0,0,937899,142397,4.66596
8.00499,0,0,1058838,120939,3.96283
9.00499,0,0,1210152,151314,4.95803
10.005,0,0,1351247,141095,4.62163
11.005,0,0,1503453,152206,4.98742
12.005,0,0,1642990,139537,4.57229
13.005,0,0,1790922,147932,4.84741
14.005,0,0,1926167,135243,4.43156
15.005,0,0,2062202,136035,4.45746
16.0053,0,0,2213305,151056,4.94965
17.0053,0,0,2347527,134219,4.39808
18.0053,0,0,2494045,146518,4.80105
19.0053,0,0,2651054,157009,5.14474
20.0053,0,0,2821776,170722,5.59422
21.0053,0,0,2914925,93149,3.05206
22.0053,0,0,3026789,111864,3.66543
23.0053,0,0,3169386,142597,4.67252
24.0056,0,0,3261094,91687.4,3.00428
25.0067,0,0,3364250,103044,3.37639
26.0067,0,0,3497702,133452,4.37288
27.0067,0,0,3635194,137492,4.50517
28.0068,0,0,3779288,144071,4.72075
29.0068,0,0,3922133,142845,4.68068
30.0068,0,0,4039240,117107,3.83729
31.0068,0,0,4203164,163924,5.37146
32.0068,0,0,4350559,147395,4.82973
33.0069,0,0,4503621,153054,5.01508
34.0069,0,0,4623743,120121,3.93598
35.0069,0,0,4736396,112653,3.69128
36.0069,0,0,4864200,127804,4.1878
37.0069,0,0,5010699,146494,4.80024
38.0074,0,0,5173129,162355,5.3199
39.0081,0,0,5333762,160521,5.25993
40.0083,0,0,5506583,172773,5.66139
41.0083,0,0,5661450,154866,5.07455
42.0087,0,0,5770987,109495,3.58772
43.0087,0,0,5927783,156796,5.13781
44.0087,0,0,6071550,143767,4.71094
45.0087,0,0,6219113,147563,4.83531
46.0087,0,0,6342363,123250,4.03858
47.0087,0,0,6432731,90367.8,2.96117
48.0087,0,0,6587428,154697,5.06911
49.0087,0,0,6708398,120970,3.96366
50.0088,0,0,6850980,142579,4.67202
51.0088,0,0,6974625,123645,4.0515
52.0088,0,0,7097435,122809,4.02418
53.0088,0,0,7236175,138740,4.5462
54.0088,0,0,7388113,151938,4.9787
55.0089,0,0,7529043,140915,4.61749
56.0089,0,0,7688126,159072,5.21239
57.009,0,0,7854961,166817,5.46615
58.0092,0,0,7953587,98607.1,3.23096
59.0092,0,0,8092485,138898,4.55117
1.0041,0,1,121416,121347,3.97627
2.0041,0,1,286404,164988,5.40623
3.0041,0,1,436767,150363,4.92688
4.00412,0,1,565341,128572,4.21284
5.00412,0,1,687740,122399,4.01043
6.00499,0,1,855934,168048,5.50652
7.00499,0,1,1022349,166415,5.45306
8.00499,0,1,1175502,153153,5.01851
9.00499,0,1,1325422,149920,4.91253
10.005,0,1,1492238,166816,5.46623
11.005,0,1,1632962,140724,4.61111
12.005,0,1,1768253,135291,4.43308
13.005,0,1,1926265,158012,5.17773
14.005,0,1,2062966,136699,4.47933
15.005,0,1,2204307,141341,4.63124
16.0053,0,1,2352842,148489,4.86542
17.0053,0,1,2481096,128251,4.2023
18.0053,0,1,2636819,155723,5.10273
19.0053,0,1,2757657,120838,3.95948
20.0053,0,1,2875445,117788,3.8592
21.0053,0,1,3057486,182041,5.96505
22.0053,0,1,3228830,171344,5.61449
23.0053,0,1,3323066,94236,3.08772
24.0056,0,1,3409419,86333.6,2.82881
25.0067,0,1,3530659,121109,3.96835
26.0067,0,1,3653932,123273,4.0392
27.0067,0,1,3804716,150784,4.94089
28.0068,0,1,3965608,160866,5.27122
29.0068,0,1,4108972,143364,4.69768
30.0068,0,1,4276351,167379,5.48467
31.0068,0,1,4405238,128887,4.22315
32.0068,0,1,4549591,144353,4.72993
33.0069,0,1,4716804,167204,5.47877
34.0069,0,1,4884013,167208,5.47904
35.0069,0,1,5014740,130727,4.28297
36.0069,0,1,5151553,136813,4.48309
37.0069,0,1,5291697,140139,4.59199
38.0074,0,1,5446145,154377,5.05835
39.0081,0,1,5583400,137160,4.49436
40.0083,0,1,5690147,106717,3.49668
41.0083,0,1,5851940,161792,5.3014
42.0087,0,1,5991597,139604,4.5745
43.0087,0,1,6147892,156295,5.1214
44.0087,0,1,6293996,146104,4.78753
45.0087,0,1,6448978,154982,5.07844
46.0087,0,1,6604063,155085,5.08178
47.0087,0,1,6713281,109218,3.57862
48.0087,0,1,6826646,113365,3.71464
49.0087,0,1,6975886,149240,4.89017
50.0088,0,1,7129689,153800,5.03959
51.0088,0,1,7298689,169000,5.53779
52.0088,0,1,7455596,156906,5.14151
53.0088,0,1,7608142,152546,4.99863
54.0088,0,1,7760206,152064,4.98283
55.0089,0,1,7850539,90323.4,2.95964
56.0089,0,1,7945471,94925.2,3.10956
57.009,0,1,8057670,112187,3.67589
58.0092,0,1,8195220,137524,4.50611
59.0092,0,1,8327575,132355,4.33691
1.0041,0,2,121060,120991,3.96461
2.0041,0,2,259347,138287,4.53091
3.0041,0,2,400174,140827,4.61409
4.00412,0,2,535564,135388,4.43629
5.00412,0,2,645307,109743,3.59599
6.00499,0,2,783200,137774,4.51442
7.00499,0,2,925015,141815,4.64666
8.00499,0,2,1075492,150477,4.93078
9.00499,0,2,1209091,133599,4.37732
10.005,0,2,1374460,165369,5.41874
11.005,0,2,1487319,112859,3.69808
12.005,0,2,1634276,146957,4.81532
13.005,0,2,1792254,157978,5.17662
14.005,0,2,1922387,130132,4.2641
15.005,0,2,2048874,126487,4.14462
16.0053,0,2,2203219,154297,5.05598
17.0053,0,2,2337427,134205,4.39763
18.0053,0,2,2422369,84942,2.78309
19.0053,0,2,2544741,122372,4.00982
20.0053,0,2,2681829,137088,4.49155
21.0053,0,2,2802533,120704,3.95512
22.0053,0,2,2920918,118385,3.8791
23.0053,0,2,3067352,146434,4.79835
24.0056,0,2,3212476,145091,4.75429
25.0067,0,2,3308365,95785.2,3.13856
26.0067,0,2,3467111,158746,5.20164
27.0067,0,2,3610552,143441,4.70024
28.0068,0,2,3752554,141979,4.65214
29.0068,0,2,3887543,134989,4.42309
30.0068,0,2,4050585,163042,5.34223
31.0068,0,2,4192042,141457,4.63466
32.0068,0,2,4333508,141466,4.63549
33.0069,0,2,4489893,156377,5.12383
34.0069,0,2,4626199,136305,4.46621
35.0069,0,2,4790068,163869,5.36965
36.0069,0,2,4925959,135891,4.45268
37.0069,0,2,5070852,144888,4.74767
38.0074,0,2,5222109,151188,4.95389
39.0081,0,2,5360763,138558,4.54016
40.0083,0,2,5503878,143075,4.68825
41.0083,0,2,5630803,126924,4.15888
42.0087,0,2,5782479,151618,4.96803
43.0087,0,2,5913374,130895,4.28884
44.0087,0,2,6047782,134408,4.40428
45.0087,0,2,6177752,129970,4.25866
46.0087,0,2,6313254,135502,4.43994
47.0087,0,2,6475088,161834,5.3029
48.0087,0,2,6630402,155314,5.08933
49.0087,0,2,6758342,127940,4.19218
50.0088,0,2,6886813,128469,4.20959
51.0088,0,2,7007579,120766,3.95621
52.0088,0,2,7155206,147626,4.83683
53.0088,0,2,7286912,131706,4.31562
54.0088,0,2,7425646,138734,4.54583
55.0089,0,2,7552436,126776,4.15414
56.0089,0,2,7678799,126354,4.14025
57.009,0,2,7849028,170211,5.57741
58.0092,0,2,8020922,171861,5.63143
59.0092,0,2,8159551,138629,4.54243
1.0041,0,3,121348,121279,3.97405
2.0041,0,3,286271,164923,5.40417
3.0041,0,3,436664,150393,4.92781
4.00412,0,3,565298,128632,4.21486
5.00412,0,3,687690,122392,4.01025
6.00499,0,3,855702,167867,5.50055
7.00499,0,3,1021988,166286,5.44882
8.00499,0,3,1175288,153300,5.02333
9.00499,0,3,1325160,149872,4.91096
10.005,0,3,1491870,166710,5.46275
11.005,0,3,1632677,140807,4.61376
12.005,0,3,1767923,135246,4.43156
13.005,0,3,1926116,158193,5.18366
14.005,0,3,2062732,136614,4.47646
15.005,0,3,2203985,141253,4.62839
16.0053,0,3,2352618,148587,4.86873
17.0053,0,3,2480894,128273,4.20302
18.0053,0,3,2636546,155652,5.10027
19.0053,0,3,2757335,120789,3.95781
20.0053,0,3,2875065,117730,3.85741
21.0053,0,3,3056970,181905,5.96057
22.0053,0,3,3228257,171287,5.61259
23.0053,0,3,3322541,94284,3.0891
24.0056,0,3,3408832,86271.6,2.82678
25.0067,0,3,3529978,121015,3.96532
26.0067,0,3,3653183,123205,4.03707
27.0067,0,3,3803861,150678,4.93742
28.0068,0,3,3964993,161106,5.27891
29.0068,0,3,4108355,143362,4.69768
30.0068,0,3,4275655,167300,5.48208
31.0068,0,3,4404513,128858,4.22235
32.0068,0,3,4548964,144451,4.7333
33.0069,0,3,4716352,167379,5.48462
34.0069,0,3,4883602,167249,5.48035
35.0069,0,3,5014376,130774,4.28497
36.0069,0,3,5151095,136719,4.47994
37.0069,0,3,5291373,140273,4.59646
38.0074,0,3,5445815,154371,5.05822
39.0081,0,3,5583019,137109,4.49272
40.0083,0,3,5689621,106572,3.49196
41.0083,0,3,5851518,161896,5.30488
42.0087,0,3,5991182,139611,4.57468
43.0087,0,3,6147660,156478,5.1274
44.0087,0,3,6293591,145931,4.78186
45.0087,0,3,6448646,155055,5.08082
46.0087,0,3,6603772,155126,5.08311
47.0087,0,3,6712932,109160,3.57669
48.0087,0,3,6826347,113415,3.71612
49.0087,0,3,6975755,149408,4.89573
50.0088,0,3,7129628,153870,5.04192
51.0088,0,3,7298588,168960,5.53648
52.0088,0,3,7455516,156927,5.1422
53.0088,0,3,7608012,152496,4.99699
54.0088,0,3,7759915,151903,4.97756
55.0089,0,3,7850363,90438.4,2.96333
56.0089,0,3,7945105,94735.2,3.10383
57.009,0,3,8057253,112136,3.67441
58.0092,0,3,8195059,137780,4.51468
59.0092,0,3,8327601,132542,4.3431
1.00761,1,0,163906,163844,5.36877
2.00761,1,0,305615,141709,4.64332
3.00761,1,0,452048,146433,4.79831
4.0078,1,0,609111,157034,5.14566
5.0078,1,0,785283,176172,5.77267
6.0078,1,0,950425,165142,5.41102
7.0078,1,0,1096857,146432,4.79828
8.0078,1,0,1244255,147398,4.8297
9.00783,1,0,1382493,138234,4.52955
10.0078,1,0,1545988,163495,5.35728
