case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-04_11-27-27,1,8,1,19.52411,19.49981,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,2,8,1,19.6251,19.62356,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,3,8,1,19.61281,19.61386,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,4,8,1,19.60409,19.606189999999998,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,5,8,1,19.69204,19.68965,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,6,8,1,19.68412,19.68507,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,7,8,1,19.72011,19.72613,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,8,8,1,19.73406,19.7319,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,9,8,1,19.70023,19.69726,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,10,8,1,19.741210000000002,19.74524,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,11,8,1,19.69868,19.69686,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,12,8,1,19.63039,19.62661,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,13,8,1,19.69933,19.70863,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,14,8,1,19.80049,19.79843,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,15,8,1,19.72689,19.72924,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,16,8,1,19.74002,19.73485,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,17,8,1,19.71321,19.71846,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,18,8,1,19.71089,19.71089,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,19,8,1,19.78061,19.77978,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,20,8,1,19.7965,19.79358,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,21,8,1,19.80632,19.80686,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,22,8,1,20.04207,20.06053,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,23,8,1,20.13048,20.126479999999997,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,24,8,1,20.1614,20.15925,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,25,8,1,20.1212,20.11972,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,26,8,1,19.96752,20.32282,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,27,8,1,19.281019999999998,19.320520000000002,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,28,8,1,19.28471,19.29073,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,29,8,1,19.28136,19.25111,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,30,8,1,19.28024,19.29132,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,31,8,1,19.289179999999998,19.30104,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,32,8,1,19.28827,19.31964,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,33,8,1,19.28529,19.25883,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,34,8,1,19.29272,19.31322,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,35,8,1,19.2868,19.27641,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,36,8,1,19.29568,19.27638,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,37,8,1,19.29259,19.29224,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,38,8,1,19.27828,19.32447,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,39,8,1,19.27625,19.21217,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,40,8,1,19.2881,19.30375,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,41,8,1,19.28385,19.34313,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,42,8,1,19.28651,19.2475,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,43,8,1,19.28659,19.27843,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,44,8,1,19.297439999999998,19.28787,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,45,8,1,19.28048,19.31275,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,46,8,1,19.287570000000002,19.262340000000002,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,47,8,1,19.28536,19.32554,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,48,8,1,19.28994,19.24547,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,49,8,1,19.30418,19.3223,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,50,8,1,19.29401,19.28187,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,51,8,1,19.29203,19.32489,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,52,8,1,19.29975,19.26258,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,53,8,1,19.30018,19.29268,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,54,8,1,19.30355,19.32192,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,55,8,1,19.29039,19.2673,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,56,8,1,19.30511,19.33596,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,57,8,1,19.30057,19.24229,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,58,8,1,19.29166,19.34165,19.50404118644068,19.510921016949155
2024-10-04_11-27-27,59,8,1,19.29489,19.304380000000002,19.50404118644068,19.510921016949155
2024-10-04_11-28-32,1,16,2,35.22474,35.5421,35.09076169491526,35.09628118644068
2024-10-04_11-28-32,2,16,2,34.53552,34.53692,35.09076169491526,35.09628118644068
2024-10-04_11-28-32,3,16,2,34.58185,34.59089,35.09076169491526,35.09628118644068
2024-10-04_11-28-32,4,16,2,34.60917,34.620850000000004,35.09076169491526,35.09628118644068
2024-10-04_11-28-32,5,16,2,34.55259,34.55303,35.09076169491526,35.09628118644068
