Timestamp,bucket,client_throughput_gbit_per_second,server_throughput_gbit_per_second,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD,SERVER_ADDR,QUEUE_DEPTH,INFLIGHT_OPS,PAGE_SIZE,PORT,VERBOSE,USE_ALIGNED_ALLOCATIONS,HALF_DUPLEX_MODE,RUN_DURATION_SECONDS
2024-10-04_11-39-59,1,10.31479,10.37743,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,2,10.3516,10.35278,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,3,10.33232,10.331520000000001,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,4,10.35768,10.35871,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,5,10.36728,10.367619999999999,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,6,10.36464,10.363900000000001,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,7,10.364,10.36406,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,8,10.322,10.32203,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,9,10.35376,10.35407,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,10,10.3668,10.36701,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,11,10.35344,10.35263,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,12,10.38152,10.38177,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,13,10.38408,10.38391,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,14,10.41504,10.41692,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,15,10.42472,10.42388,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,16,10.38624,10.38658,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,17,10.401810000000001,10.40269,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,18,10.42712,10.426969999999999,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,19,10.4028,10.40315,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,20,10.42928,10.42878,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,21,10.39408,10.39378,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,22,10.41872,10.41933,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,23,10.4232,10.423169999999999,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,24,10.42648,10.42585,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,25,10.396,10.39572,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,26,10.3968,10.39715,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,27,10.37304,10.37326,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,28,10.41288,10.4133,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,29,10.39832,10.39775,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,30,10.38904,10.38906,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,31,10.39216,10.3917,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,32,10.34864,10.34881,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,33,10.37632,10.37688,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,34,10.40256,10.40259,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,35,10.4096,10.40916,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,36,10.39856,10.39818,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,37,10.40976,10.41039,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,38,10.4016,10.4018,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,39,10.4,10.39931,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,40,10.40656,10.40678,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,41,10.38848,10.38804,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,42,10.37728,10.37774,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,43,10.37896,10.37909,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,44,10.39128,10.39147,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,45,10.39008,10.3903,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,46,10.35024,10.35008,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,47,10.3792,10.379,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,48,10.38704,10.387139999999999,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,49,10.38176,10.38202,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,50,10.38488,10.38528,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,51,10.38,10.37906,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,52,10.3768,10.377099999999999,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,53,10.33952,10.33962,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,54,10.38784,10.38758,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,55,10.34528,10.34466,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,56,10.33832,10.33904,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,57,10.36584,10.36616,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,58,10.386,10.38613,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-39-59,59,10.36304,10.36246,0,0,0,1,1,8,172.31.35.179,4096,2048,4096,12345,0,1,1,60
2024-10-04_11-44-19,1,8.994627,9.132811,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,2,9.061944,9.062361000000001,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,3,9.0756,9.075934,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,4,9.057624,9.057676,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,5,9.053736,9.053965,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,6,9.048432,9.048388,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,7,9.067176,9.066929,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,8,9.050808,9.049924,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,9,9.053856,9.054602,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,10,9.038208,9.038741,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,11,9.037128000000001,9.036873,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,12,9.078216000000001,9.077734,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
2024-10-04_11-44-19,13,9.029904,9.030643,0,0,0,1,1,24,172.31.35.179,12288,6144,4096,12345,0,1,1,60
