case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-04_11-36-44,1,1,1,9.52996,9.56444,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,2,1,1,9.54263,9.54302,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,3,1,1,9.54269,9.54235,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,4,1,1,9.54266,9.54305,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,5,1,1,9.54264,9.54303,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,6,1,1,9.54278,9.54265,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,7,1,1,9.54253,9.5424,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,8,1,1,9.5231,9.52269,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,9,1,1,9.5419,9.54289,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,10,1,1,9.54255,9.5423,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,11,1,1,9.54269,9.54309,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,12,1,1,9.54284,9.54295,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,13,1,1,9.54284,9.54291,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,14,1,1,9.54284,9.54296,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,15,1,1,9.54284,9.54281,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,16,1,1,9.54291,9.54223,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,17,1,1,9.54284,9.5422,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,18,1,1,9.5427,9.54348,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,19,1,1,9.54269,9.54315,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,20,1,1,9.54262,9.54237,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,21,1,1,9.54269,9.54241,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,22,1,1,9.51986,9.51997,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,23,1,1,9.54004,9.54014,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,24,1,1,9.53998,9.54015,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,25,1,1,9.54041,9.54019,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,26,1,1,9.54011,9.54001,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,27,1,1,9.54027,9.54074,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,28,1,1,9.54018,9.54009,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,29,1,1,9.54026,9.54051,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,30,1,1,9.53991,9.54005,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,31,1,1,9.5406,9.53987,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,32,1,1,9.54011,9.54002,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,33,1,1,9.54021,9.54024,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,34,1,1,9.54013,9.54067,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,35,1,1,9.54047,9.54019,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,36,1,1,9.54027,9.54018,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,37,1,1,9.53961,9.53992,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,38,1,1,9.54008,9.54009,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,39,1,1,9.54019,9.54015,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,40,1,1,9.53998,9.53979,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,41,1,1,9.5402,9.54001,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,42,1,1,9.54013,9.54048,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,43,1,1,9.54019,9.54009,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,44,1,1,9.54038,9.53996,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,45,1,1,9.54012,9.54071,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,46,1,1,9.54043,9.54018,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,47,1,1,9.54008,9.54051,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,48,1,1,9.54039,9.54005,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,49,1,1,9.54008,9.53994,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,50,1,1,9.52355,9.52307,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,51,1,1,9.54276,9.54278,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,52,1,1,9.54291,9.54292,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,53,1,1,9.54291,9.54299,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,54,1,1,9.54274,9.54288,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,55,1,1,9.54279,9.54276,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,56,1,1,9.54285,9.54287,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,57,1,1,9.5428,9.54293,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,58,1,1,9.54292,9.54235,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,59,1,1,9.54283,9.54288,9.381294499999997,9.461250666666668
2024-10-04_11-36-44,61,1,1,0.0,4.76233,9.381294499999997,9.461250666666668
2024-10-04_11-37-49,1,2,1,11.90411,11.94746,11.746386833333332,11.944618666666667
2024-10-04_11-37-49,2,2,1,12.04552,12.04568,11.746386833333332,11.944618666666667
2024-10-04_11-37-49,3,2,1,12.02414,12.024370000000001,11.746386833333332,11.944618666666667
2024-10-04_11-37-49,4,2,1,11.93702,11.93638,11.746386833333332,11.944618666666667
2024-10-04_11-37-49,5,2,1,12.02618,12.02727,11.746386833333332,11.944618666666667
2024-10-04_11-37-49,6,2,1,11.87212,11.87139,11.746386833333332,11.944618666666667
