timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00053,0,0,39615,39614.7,1.29927
2.00053,0,0,79379,39763.9,1.30426
3.00055,0,0,119069,39689.2,1.3018
4.00057,0,0,158734,39664.4,1.30099
5.00059,0,0,198472,39737.2,1.30338
6.00062,0,0,238118,39645,1.30036
7.00063,0,0,277821,39702.4,1.30224
8.00064,0,0,317526,39704.5,1.30231
9.00066,0,0,357108,39581.4,1.29827
10.0007,0,0,396838,39729.9,1.30314
11.0007,0,0,436537,39698.1,1.3021
12.0007,0,0,476227,39689.6,1.30182
13.0007,0,0,515890,39662.3,1.30092
14.0007,0,0,555574,39683,1.3016
15.0008,0,0,595165,39590.3,1.29856
16.0008,0,0,634871,39705.1,1.30233
17.0008,0,0,674591,39719.4,1.3028
18.0008,0,0,714278,39686.8,1.30173
19.0008,0,0,753892,39613.6,1.29933
20.0008,0,0,793490,39597.7,1.29881
21.0008,0,0,833249,39758.1,1.30407
22.0009,0,0,873020,39770.4,1.30447
23.0009,0,0,912775,39754.5,1.30395
24.0009,0,0,952507,39731.6,1.3032
25.0009,0,0,992221,39713.7,1.30261
26.0009,0,0,1031808,39586.8,1.29845
27.0009,0,0,1071509,39700.9,1.30219
28.0009,0,0,1111107,39597.4,1.2988
29.0009,0,0,1150686,39578.6,1.29818
30.0009,0,0,1190327,39640.7,1.30022
31.001,0,0,1229944,39615.9,1.2994
32.001,0,0,1269566,39621.8,1.29959
33.001,0,0,1309372,39805.8,1.30563
34.001,0,0,1349031,39659,1.30081
35.001,0,0,1388709,39677.7,1.30143
36.001,0,0,1428355,39645.3,1.30037
37.001,0,0,1468097,39741.5,1.30352
38.001,0,0,1507804,39707,1.30239
39.001,0,0,1547548,39744,1.3036
40.001,0,0,1587330,39781.6,1.30484
41.001,0,0,1626967,39636,1.30006
42.001,0,0,1666601,39634,1.29999
43.0011,0,0,1706237,39635.2,1.30003
44.0011,0,0,1745920,39682.8,1.30159
45.0011,0,0,1785679,39758.7,1.30409
46.0011,0,0,1825480,39800.7,1.30546
47.0011,0,0,1865082,39601.4,1.29893
48.0011,0,0,1904709,39626,1.29973
49.0011,0,0,1944289,39579.1,1.2982
50.0011,0,0,1983825,39536,1.29678
51.0012,0,0,2023379,39553.7,1.29736
52.0012,0,0,2063046,39666.7,1.30107
53.0012,0,0,2102623,39576.2,1.2981
54.0012,0,0,2142237,39612.8,1.2993
55.0012,0,0,2181932,39694.4,1.30198
56.0012,0,0,2221578,39645.7,1.30038
57.0012,0,0,2261231,39653,1.30062
58.0013,0,0,2300960,39727.7,1.30307
59.0013,0,0,2340611,39650.7,1.30054
1.00053,0,1,39630,39629.7,1.29985
2.00053,0,1,79394,39763.9,1.30426
3.00055,0,1,119084,39689.2,1.3018
4.00057,0,1,158749,39664.4,1.30099
5.00059,0,1,198487,39737.2,1.30338
6.00062,0,1,238133,39645,1.30036
7.00063,0,1,277836,39702.4,1.30224
8.00064,0,1,317541,39704.5,1.30231
9.00066,0,1,357123,39581.4,1.29827
10.0007,0,1,396853,39729.9,1.30314
11.0007,0,1,436552,39698.1,1.3021
12.0007,0,1,476242,39689.6,1.30182
13.0007,0,1,515905,39662.3,1.30092
14.0007,0,1,555589,39683,1.3016
15.0008,0,1,595180,39590.3,1.29856
16.0008,0,1,634886,39705.1,1.30233
17.0008,0,1,674606,39719.4,1.3028
18.0008,0,1,714293,39686.8,1.30173
19.0008,0,1,753907,39613.6,1.29933
20.0008,0,1,793505,39597.7,1.29881
21.0008,0,1,833264,39758.1,1.30407
22.0009,0,1,873035,39770.4,1.30447
23.0009,0,1,912790,39754.5,1.30395
24.0009,0,1,952522,39731.6,1.3032
25.0009,0,1,992236,39713.7,1.30261
26.0009,0,1,1031823,39586.8,1.29845
27.0009,0,1,1071524,39700.9,1.30219
28.0009,0,1,1111122,39597.4,1.2988
29.0009,0,1,1150701,39578.6,1.29818
30.0009,0,1,1190342,39640.7,1.30022
31.001,0,1,1229959,39615.9,1.2994
32.001,0,1,1269581,39621.8,1.29959
33.001,0,1,1309387,39805.8,1.30563
34.001,0,1,1349046,39659,1.30081
35.001,0,1,1388724,39677.7,1.30143
36.001,0,1,1428370,39645.3,1.30037
37.001,0,1,1468112,39741.5,1.30352
38.001,0,1,1507819,39707,1.30239
39.001,0,1,1547563,39744,1.3036
40.001,0,1,1587345,39781.6,1.30484
41.001,0,1,1626982,39636,1.30006
42.001,0,1,1666616,39634,1.29999
43.0011,0,1,1706252,39635.2,1.30003
44.0011,0,1,1745935,39682.8,1.30159
45.0011,0,1,1785694,39758.7,1.30409
46.0011,0,1,1825495,39800.7,1.30546
47.0011,0,1,1865097,39601.4,1.29893
48.0011,0,1,1904724,39626,1.29973
49.0011,0,1,1944304,39579.1,1.2982
50.0011,0,1,1983840,39536,1.29678
51.0012,0,1,2023394,39553.7,1.29736
52.0012,0,1,2063061,39666.7,1.30107
53.0012,0,1,2102638,39576.2,1.2981
54.0012,0,1,2142252,39612.8,1.2993
55.0012,0,1,2181947,39694.4,1.30198
56.0012,0,1,2221593,39645.7,1.30038
57.0012,0,1,2261246,39653,1.30062
58.0013,0,1,2300975,39727.7,1.30307
59.0013,0,1,2340626,39650.7,1.30054
1.00053,0,2,39614,39613.7,1.29927
2.00053,0,2,79378,39763.9,1.30426
3.00055,0,2,119068,39689.2,1.3018
4.00057,0,2,158733,39664.4,1.30099
5.00059,0,2,198471,39737.2,1.30338
6.00062,0,2,238117,39645,1.30036
7.00063,0,2,277820,39702.4,1.30224
8.00064,0,2,317525,39704.5,1.30231
9.00066,0,2,357107,39581.4,1.29827
10.0007,0,2,396837,39729.9,1.30314
11.0007,0,2,436536,39698.1,1.3021
12.0007,0,2,476226,39689.6,1.30182
13.0007,0,2,515889,39662.3,1.30092
14.0007,0,2,555573,39683,1.3016
15.0008,0,2,595164,39590.3,1.29856
16.0008,0,2,634870,39705.1,1.30233
17.0008,0,2,674590,39719.4,1.3028
18.0008,0,2,714277,39686.8,1.30173
19.0008,0,2,753891,39613.6,1.29933
20.0008,0,2,793489,39597.7,1.29881
21.0008,0,2,833248,39758.1,1.30407
22.0009,0,2,873019,39770.4,1.30447
23.0009,0,2,912774,39754.5,1.30395
24.0009,0,2,952506,39731.6,1.3032
25.0009,0,2,992220,39713.7,1.30261
26.0009,0,2,1031807,39586.8,1.29845
27.0009,0,2,1071508,39700.9,1.30219
28.0009,0,2,1111106,39597.4,1.2988
29.0009,0,2,1150685,39578.6,1.29818
30.0009,0,2,1190326,39640.7,1.30022
31.001,0,2,1229943,39615.9,1.2994
32.001,0,2,1269565,39621.8,1.29959
33.001,0,2,1309371,39805.8,1.30563
34.001,0,2,1349030,39659,1.30081
35.001,0,2,1388708,39677.7,1.30143
36.001,0,2,1428354,39645.3,1.30037
37.001,0,2,1468096,39741.5,1.30352
38.001,0,2,1507803,39707,1.30239
39.001,0,2,1547547,39744,1.3036
40.001,0,2,1587329,39781.6,1.30484
41.001,0,2,1626966,39636,1.30006
42.001,0,2,1666600,39634,1.29999
43.0011,0,2,1706236,39635.2,1.30003
44.0011,0,2,1745919,39682.8,1.30159
45.0011,0,2,1785678,39758.7,1.30409
46.0011,0,2,1825479,39800.7,1.30546
47.0011,0,2,1865081,39601.4,1.29893
48.0011,0,2,1904708,39626,1.29973
49.0011,0,2,1944288,39579.1,1.2982
50.0011,0,2,1983824,39536,1.29678
51.0012,0,2,2023378,39553.7,1.29736
52.0012,0,2,2063045,39666.7,1.30107
53.0012,0,2,2102622,39576.2,1.2981
54.0012,0,2,2142236,39612.8,1.2993
55.0012,0,2,2181931,39694.4,1.30198
56.0012,0,2,2221577,39645.7,1.30038
57.0012,0,2,2261230,39653,1.30062
58.0013,0,2,2300959,39727.7,1.30307
59.0013,0,2,2340610,39650.7,1.30054
1.00053,0,3,39619,39618.7,1.29943
2.00053,0,3,79383,39763.9,1.30426
3.00055,0,3,119073,39689.2,1.3018
4.00057,0,3,158738,39664.4,1.30099
5.00059,0,3,198476,39737.2,1.30338
6.00062,0,3,238122,39645,1.30036
7.00063,0,3,277825,39702.4,1.30224
8.00064,0,3,317530,39704.5,1.30231
9.00066,0,3,357112,39581.4,1.29827
10.0007,0,3,396842,39729.9,1.30314
11.0007,0,3,436541,39698.1,1.3021
12.0007,0,3,476231,39689.6,1.30182
13.0007,0,3,515894,39662.3,1.30092
14.0007,0,3,555578,39683,1.3016
15.0008,0,3,595169,39590.3,1.29856
16.0008,0,3,634875,39705.1,1.30233
