timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.0195,0,0,34264,34263.1,1.12257
2.01953,0,0,69334,35069,1.14914
3.01954,0,0,104229,34894.6,1.14343
4.01955,0,0,138866,34636.8,1.13498
5.01955,0,0,173784,34918,1.14419
6.01955,0,0,208788,35003.9,1.14701
7.01955,0,0,243819,35031,1.1479
8.01957,0,0,278846,35026.4,1.14775
9.01957,0,0,313801,34955,1.1454
10.0196,0,0,348478,34677,1.13629
11.0196,0,0,383293,34814,1.14079
12.0197,0,0,418365,35070.1,1.14918
13.0197,0,0,453334,34968.4,1.14585
14.0197,0,0,488043,34708.9,1.13734
15.0197,0,0,523000,34956.9,1.14547
16.0197,0,0,557784,34783.8,1.1398
17.0197,0,0,592582,34798,1.14026
18.0197,0,0,627314,34732,1.1381
19.0197,0,0,662386,35072,1.14924
20.0197,0,0,697714,35326.9,1.15759
21.0197,0,0,732688,34974,1.14603
22.0197,0,0,767386,34698,1.13698
23.0197,0,0,802357,34971,1.14593
24.0197,0,0,837086,34728.2,1.13797
25.0197,0,0,872348,35262,1.15547
26.0197,0,0,907000,34651.9,1.13547
27.0197,0,0,942071,35071,1.14921
28.0197,0,0,977003,34932,1.14465
29.0197,0,0,1011783,34779.9,1.13967
30.0198,0,0,1046700,34916.6,1.14415
31.0198,0,0,1081387,34686.7,1.13661
32.0198,0,0,1116786,35398.9,1.15995
33.0198,0,0,1151479,34693,1.13682
34.0198,0,0,1186663,35184,1.15291
35.0198,0,0,1221227,34562.9,1.13256
36.0198,0,0,1256407,35179.9,1.15278
37.0198,0,0,1291241,34834,1.14144
38.0198,0,0,1326326,35085,1.14966
39.0198,0,0,1361251,34925,1.14442
40.0198,0,0,1396396,35145,1.15163
41.0198,0,0,1431512,35116,1.15068
42.0198,0,0,1466648,35135.4,1.15132
43.0198,0,0,1501468,34820,1.14098
44.0198,0,0,1536341,34872.9,1.14272
45.0198,0,0,1571422,35081,1.14953
46.0198,0,0,1606428,35006,1.14708
47.0198,0,0,1641334,34905.9,1.1438
48.0198,0,0,1676792,35457.9,1.16189
49.0198,0,0,1711710,34917.9,1.14419
50.0198,0,0,1746993,35283,1.15615
51.0198,0,0,1782116,35123,1.15091
52.0198,0,0,1817260,35143.9,1.1516
53.0198,0,0,1852054,34794,1.14013
54.0198,0,0,1887148,35094,1.14996
55.0198,0,0,1921940,34791.9,1.14006
56.0198,0,0,1957133,35193,1.1532
57.0198,0,0,1992340,35207,1.15366
58.0198,0,0,2027209,34868.9,1.14258
59.0198,0,0,2062583,35373.9,1.15913
1.0195,0,1,34400,34399.1,1.12709
2.01953,0,1,69450,35049,1.14848
3.01954,0,1,104371,34920.6,1.14428
4.01955,0,1,138987,34615.8,1.13429
5.01955,0,1,173905,34918,1.14419
6.01955,0,1,208906,35000.9,1.14691
7.01955,0,1,243931,35025,1.1477
8.01957,0,1,279001,35069.4,1.14915
9.01957,0,1,313920,34919,1.14423
10.0196,0,1,348619,34699,1.13702
11.0196,0,1,383411,34791,1.14003
12.0197,0,1,418483,35070.1,1.14918
13.0197,0,1,453450,34966.4,1.14578
14.0197,0,1,488155,34704.9,1.13721
15.0197,0,1,523150,34994.9,1.14671
16.0197,0,1,557898,34747.8,1.13862
17.0197,0,1,592698,34800,1.14033
18.0197,0,1,627435,34737,1.13826
19.0197,0,1,662528,35093,1.14993
20.0197,0,1,697835,35305.9,1.1569
21.0197,0,1,732814,34979,1.14619
22.0197,0,1,767508,34694,1.13685
23.0197,0,1,802483,34975,1.14606
24.0197,0,1,837216,34732.2,1.13811
25.0197,0,1,872468,35252,1.15514
26.0197,0,1,907150,34681.9,1.13646
27.0197,0,1,942177,35027,1.14776
28.0197,0,1,977115,34938,1.14485
29.0197,0,1,1011931,34815.9,1.14085
30.0198,0,1,1046805,34873.6,1.14274
31.0198,0,1,1081523,34717.7,1.13763
32.0198,0,1,1116907,35383.9,1.15946
33.0198,0,1,1151597,34690,1.13672
34.0198,0,1,1186779,35182,1.15284
35.0198,0,1,1221339,34558.9,1.13242
36.0198,0,1,1256522,35182.9,1.15287
37.0198,0,1,1291360,34838,1.14157
38.0198,0,1,1326432,35072,1.14924
39.0198,0,1,1361371,34939,1.14488
40.0198,0,1,1396501,35130,1.15114
41.0198,0,1,1431633,35132,1.1512
42.0198,0,1,1466770,35136.4,1.15135
43.0198,0,1,1501595,34825,1.14114
44.0198,0,1,1536475,34879.9,1.14295
45.0198,0,1,1571547,35072,1.14924
46.0198,0,1,1606551,35004,1.14701
47.0198,0,1,1641472,34920.9,1.14429
