timestamp,thread_id,connection_num,message_count,throughput,gbit_per_second
1.00001,0,0,18186,18185.9,0.596484
2.00002,0,0,35747,17560.8,0.575995
3.00002,0,0,53503,17755.9,0.582394
4.00003,0,0,71257,17753.8,0.582325
5.00004,0,0,88954,17696.9,0.580458
6.00005,0,0,106687,17732.9,0.581638
7.00005,0,0,124500,17812.9,0.584262
8.00006,0,0,142314,17813.9,0.584296
9.00006,0,0,160218,17903.9,0.587249
10.0001,0,0,177931,17713,0.580985
11.0001,0,0,195800,17868.9,0.586099
12.0001,0,0,213677,17877,0.586364
13.0001,0,0,231238,17561,0.576
14.0001,0,0,248990,17751.8,0.582261
15.0001,0,0,266726,17736,0.581741
16.0001,0,0,284708,17982,0.589809
17.0001,0,0,302563,17854.8,0.585638
18.0001,0,0,320050,17486.8,0.573567
19.0001,0,0,337837,17786.9,0.583411
20.0001,0,0,355765,17927.9,0.588034
21.0001,0,0,373657,17892,0.586857
22.0001,0,0,391296,17638.9,0.578556
23.0001,0,0,409223,17927,0.588005
24.0001,0,0,426792,17569,0.576263
25.0001,0,0,444346,17554,0.575771
26.0001,0,0,462032,17685.9,0.580099
27.0001,0,0,479722,17690,0.58023
28.0001,0,0,497269,17546.9,0.575539
29.0001,0,0,515217,17948,0.588693
30.0001,0,0,532935,17717.9,0.581146
31.0002,0,0,550821,17885.9,0.586656
32.0002,0,0,568528,17706.9,0.580788
33.0002,0,0,586267,17738.9,0.581836
34.0002,0,0,604022,17755,0.582364
35.0002,0,0,621960,17937.8,0.588359
36.0002,0,0,639760,17800,0.58384
37.0002,0,0,657378,17618,0.57787
38.0002,0,0,675069,17691,0.580264
39.0002,0,0,692630,17561,0.576
40.0002,0,0,710338,17708,0.580821
41.0002,0,0,727871,17532.8,0.575077
42.0002,0,0,745488,17616.9,0.577835
43.0002,0,0,763103,17614.9,0.577769
44.0002,0,0,780678,17575,0.576459
45.0002,0,0,798228,17549.9,0.575637
46.0002,0,0,815754,17526,0.574851
47.0002,0,0,833536,17781.8,0.583244
48.0002,0,0,851095,17558.9,0.575932
49.001,0,0,868786,17677.1,0.579809
50.001,0,0,886475,17689,0.580199
51.001,0,0,904131,17656,0.579116
52.001,0,0,921791,17659.9,0.579245
53.001,0,0,939256,17464.8,0.572844
54.001,0,0,956964,17707.7,0.580813
55.001,0,0,974615,17651,0.578952
56.0011,0,0,992398,17782.8,0.583276
57.0011,0,0,1009991,17592.9,0.577048
58.0011,0,0,1027556,17564.9,0.576128
59.0011,0,0,1045177,17621,0.577967
1.00001,0,1,16872,16871.9,0.553388
2.00002,0,1,33024,16151.8,0.529781
3.00002,0,1,49642,16617.9,0.545067
4.00003,0,1,66049,16406.8,0.538144
5.00004,0,1,82347,16297.9,0.53457
6.00005,0,1,99037,16689.9,0.547428
7.00005,0,1,115403,16365.9,0.536801
8.00006,0,1,131985,16581.9,0.543886
9.00006,0,1,148660,16674.9,0.546938
10.0001,0,1,165191,16531,0.542215
11.0001,0,1,181826,16634.9,0.545624
12.0001,0,1,198526,16700,0.547758
13.0001,0,1,214933,16407,0.53815
14.0001,0,1,231552,16618.9,0.545098
15.0001,0,1,248124,16572,0.543561
16.0001,0,1,264948,16824,0.551827
17.0001,0,1,281333,16384.8,0.537423
18.0001,0,1,297790,16456.8,0.539783
