PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
16,128,1048576,1,33279.55,0.02
16,128,1048576,2,66400.18,0.03
16,128,1048576,4,115340.59,0.06
16,128,1048576,8,185920.41,0.10
16,128,1048576,16,280755.36,0.14
16,128,1048576,32,521725.71,0.27
16,128,1048576,64,629030.51,0.32
16,128,1048576,128,897304.25,0.46
16,128,1048576,256,1154178.36,0.59
16,256,1048576,1,134066.44,0.07
16,256,1048576,2,168220.81,0.09
16,256,1048576,4,374610.57,0.19
16,256,1048576,8,493870.60,0.25
16,256,1048576,16,625102.74,0.32
16,256,1048576,32,1026686.33,0.53
16,256,1048576,64,1138030.18,0.58
16,256,1048576,128,1288852.23,0.66
16,256,1048576,256,1315578.65,0.67
16,384,1048576,1,169276.50,0.09
16,384,1048576,2,220271.56,0.11
16,384,1048576,4,582426.72,0.30
16,384,1048576,8,1002306.15,0.51
16,384,1048576,16,538973.00,0.28
16,384,1048576,32,941435.59,0.48
16,384,1048576,64,931076.27,0.48
16,384,1048576,128,1132796.79,0.58
16,384,1048576,256,1590525.35,0.81
16,512,1048576,1,448336.77,0.23
16,512,1048576,2,1084003.53,0.56
16,512,1048576,4,1974249.95,1.01
16,512,1048576,8,3293997.72,1.69
16,512,1048576,16,5661568.17,2.90
16,512,1048576,32,6699584.66,3.43
16,512,1048576,64,9185961.27,4.70
16,512,1048576,128,7883528.32,4.04
16,512,1048576,256,6905910.51,3.54
16,640,1048576,1,522746.96,0.27
16,640,1048576,2,1158380.63,0.59
16,640,1048576,4,2286025.09,1.17
16,640,1048576,8,3771956.66,1.93
16,640,1048576,16,6589063.49,3.37
16,640,1048576,32,9718814.70,4.98
16,640,1048576,64,8258330.91,4.23
16,640,1048576,128,9289301.00,4.76
16,640,1048576,256,6614249.19,3.39
16,768,1048576,1,490072.98,0.25
16,768,1048576,2,1164853.16,0.60
16,768,1048576,4,2610626.93,1.34
16,768,1048576,8,4069699.63,2.08
16,768,1048576,16,7507312.67,3.84
16,768,1048576,32,7431736.60,3.81
16,768,1048576,64,10904118.76,5.58
16,768,1048576,128,10599821.82,5.43
16,768,1048576,256,8454110.86,4.33
16,896,1048576,1,563135.44,0.29
16,896,1048576,2,1506356.63,0.77
16,896,1048576,4,2790748.18,1.43
16,896,1048576,8,4402363.95,2.25
16,896,1048576,16,6646943.32,3.40
16,896,1048576,32,9385988.18,4.81
16,896,1048576,64,9770838.22,5.00
16,896,1048576,128,10989110.61,5.63
16,896,1048576,256,8656554.75,4.43
16,1024,1048576,1,776062.15,0.40
16,1024,1048576,2,1208433.62,0.62
16,1024,1048576,4,1980710.91,1.01
16,1024,1048576,8,4669013.32,2.39
16,1024,1048576,16,6576258.37,3.37
16,1024,1048576,32,9027698.18,4.62
16,1024,1048576,64,9385672.38,4.81
16,1024,1048576,128,11002574.01,5.63
16,1024,1048576,256,8589712.34,4.40
32,128,1048576,1,142079.02,0.15
32,128,1048576,2,197922.89,0.20
32,128,1048576,4,166625.79,0.17
32,128,1048576,8,304860.74,0.31
32,128,1048576,16,406676.80,0.42
32,128,1048576,32,545557.14,0.56
32,128,1048576,64,860811.64,0.88
32,128,1048576,128,1135246.66,1.16
32,128,1048576,256,1161113.57,1.19
32,256,1048576,1,230421.96,0.24
32,256,1048576,2,139350.35,0.14
32,256,1048576,4,232045.44,0.24
32,256,1048576,8,307503.57,0.31
32,256,1048576,16,933247.22,0.96
32,256,1048576,32,970469.57,0.99
32,256,1048576,64,1007954.04,1.03
32,256,1048576,128,1016122.90,1.04
32,256,1048576,256,1263510.09,1.29
32,384,1048576,1,190623.02,0.20
32,384,1048576,2,133904.79,0.14
32,384,1048576,4,394805.05,0.40
32,384,1048576,8,536419.63,0.55
32,384,1048576,16,859074.97,0.88
32,384,1048576,32,918217.32,0.94
32,384,1048576,64,1017082.77,1.04
32,384,1048576,128,1246910.48,1.28
32,384,1048576,256,1581634.65,1.62
32,512,1048576,1,480509.77,0.49
32,512,1048576,2,1059761.00,1.09
32,512,1048576,4,1870621.16,1.92
32,512,1048576,8,2893322.40,2.96
32,512,1048576,16,4989301.69,5.11
32,512,1048576,32,7922606.80,8.11
32,512,1048576,64,7550978.83,7.73
32,512,1048576,128,7551914.32,7.73
32,512,1048576,256,5925285.90,6.07
32,640,1048576,1,655086.07,0.67
32,640,1048576,2,1123880.29,1.15
32,640,1048576,4,2128648.73,2.18
32,640,1048576,8,3348780.31,3.43
32,640,1048576,16,6213204.98,6.36
