PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
16,128,1048576,1,483461.16,0.25
16,128,1048576,4,1917956.35,0.98
16,128,1048576,16,3351541.07,1.72
16,256,1048576,1,541502.92,0.28
16,256,1048576,4,2084332.79,1.07
16,256,1048576,16,3808517.52,1.95
16,384,1048576,1,571482.77,0.29
16,384,1048576,4,2353563.46,1.21
16,384,1048576,16,3332786.46,1.71
16,512,1048576,1,572552.60,0.29
16,512,1048576,4,2416731.99,1.24
16,512,1048576,16,3799682.54,1.95
16,640,1048576,1,600552.69,0.31
16,640,1048576,4,2221521.46,1.14
16,640,1048576,16,3768107.61,1.93
16,768,1048576,1,589800.97,0.30
16,768,1048576,4,2165784.51,1.11
16,768,1048576,16,4116662.11,2.11
16,896,1048576,1,598667.72,0.31
16,896,1048576,4,2276039.76,1.17
16,896,1048576,16,4180344.41,2.14
16,1024,1048576,1,587890.22,0.30
16,1024,1048576,4,2262684.03,1.16
16,1024,1048576,16,3994182.33,2.05
32,128,1048576,1,491466.49,0.50
32,128,1048576,4,1848976.01,1.89
32,128,1048576,16,3219764.61,3.30
32,256,1048576,1,533630.22,0.55
32,256,1048576,4,1946474.19,1.99
32,256,1048576,16,3508369.54,3.59
32,384,1048576,1,561037.54,0.57
32,384,1048576,4,2041583.82,2.09
32,384,1048576,16,3760077.01,3.85
32,512,1048576,1,574132.20,0.59
32,512,1048576,4,2200534.93,2.25
32,512,1048576,16,3646120.70,3.73
32,640,1048576,1,576416.17,0.59
32,640,1048576,4,2214445.01,2.27
32,640,1048576,16,3665994.10,3.75
32,768,1048576,1,583117.95,0.60
32,768,1048576,4,2253269.81,2.31
32,768,1048576,16,4049934.28,4.15
32,896,1048576,1,587609.36,0.60
32,896,1048576,4,2273845.23,2.33
32,896,1048576,16,3985098.78,4.08
32,1024,1048576,1,588642.32,0.60
32,1024,1048576,4,2248686.23,2.30
32,1024,1048576,16,3942482.62,4.04
64,128,1048576,1,486764.92,1.00
64,128,1048576,4,1839771.02,3.77
64,128,1048576,16,3433669.70,7.03
64,256,1048576,1,542507.65,1.11
64,256,1048576,4,2094572.36,4.29
64,256,1048576,16,N/A,N/A
64,384,1048576,1,571719.62,1.17
64,384,1048576,4,2134555.14,4.37
64,384,1048576,16,3899463.88,7.99
64,512,1048576,1,567074.54,1.16
