PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
16,128,1048576,1,501162.86,0.26
16,128,1048576,2,967431.13,0.50
16,128,1048576,4,1635658.65,0.84
16,128,1048576,8,2800386.59,1.43
16,128,1048576,16,4818717.21,2.47
16,128,1048576,32,6063179.78,3.10
16,128,1048576,64,7357029.98,3.77
16,128,1048576,128,7130926.11,3.65
16,128,1048576,256,6425629.33,3.29
16,256,1048576,1,576893.19,0.30
16,256,1048576,2,912036.85,0.47
16,256,1048576,4,1751069.32,0.90
16,256,1048576,8,3500519.59,1.79
16,256,1048576,16,4837268.53,2.48
16,256,1048576,32,8660553.32,4.43
16,256,1048576,64,7479670.96,3.83
16,256,1048576,128,6582106.65,3.37
16,256,1048576,256,6907113.54,3.54
16,384,1048576,1,642792.03,0.33
16,384,1048576,2,978036.72,0.50
16,384,1048576,4,2495566.06,1.28
16,384,1048576,8,3887119.76,1.99
16,384,1048576,16,6040463.15,3.09
16,384,1048576,32,8284340.95,4.24
16,384,1048576,64,6502963.78,3.33
16,384,1048576,128,7662099.27,3.92
16,384,1048576,256,7050515.44,3.61
16,512,1048576,1,660117.38,0.34
16,512,1048576,2,995284.58,0.51
16,512,1048576,4,1948508.15,1.00
16,512,1048576,8,3918253.13,2.01
16,512,1048576,16,5986123.19,3.06
16,512,1048576,32,8358686.84,4.28
16,512,1048576,64,7833020.56,4.01
16,512,1048576,128,8103265.38,4.15
16,512,1048576,256,6786192.29,3.47
16,640,1048576,1,677051.24,0.35
16,640,1048576,2,1032653.01,0.53
16,640,1048576,4,2059864.55,1.05
16,640,1048576,8,3550362.93,1.82
16,640,1048576,16,5950616.21,3.05
16,640,1048576,32,7963327.63,4.08
16,640,1048576,64,7390609.85,3.78
16,640,1048576,128,7912517.40,4.05
16,640,1048576,256,6125622.08,3.14
16,768,1048576,1,683557.68,0.35
16,768,1048576,2,1061938.23,0.54
16,768,1048576,4,1920991.59,0.98
16,768,1048576,8,4086159.55,2.09
16,768,1048576,16,5872571.66,3.01
16,768,1048576,32,7738892.96,3.96
16,768,1048576,64,7704946.61,3.94
16,768,1048576,128,7043994.68,3.61
16,768,1048576,256,6910593.21,3.54
16,896,1048576,1,691128.43,0.35
16,896,1048576,2,1060416.56,0.54
16,896,1048576,4,2110284.43,1.08
16,896,1048576,8,3953072.00,2.02
16,896,1048576,16,6223972.17,3.19
16,896,1048576,32,7690402.11,3.94
16,896,1048576,64,7875026.79,4.03
16,896,1048576,128,8122196.89,4.16
16,896,1048576,256,6784623.91,3.47
16,1024,1048576,1,688465.34,0.35
16,1024,1048576,2,1068590.07,0.55
16,1024,1048576,4,2163901.87,1.11
16,1024,1048576,8,4152537.82,2.13
16,1024,1048576,16,6524161.35,3.34
16,1024,1048576,32,8724758.57,4.47
16,1024,1048576,64,7784313.37,3.99
16,1024,1048576,128,8378054.00,4.29
16,1024,1048576,256,7054542.54,3.61
32,128,1048576,1,498308.96,0.51
32,128,1048576,2,790524.89,0.81
32,128,1048576,4,1759400.62,1.80
32,128,1048576,8,2972191.25,3.04
32,128,1048576,16,4728304.64,4.84
32,128,1048576,32,7217016.73,7.39
32,128,1048576,64,5663858.73,5.80
32,128,1048576,128,6918959.41,7.09
32,128,1048576,256,5684230.67,5.82
32,256,1048576,1,588122.62,0.60
32,256,1048576,2,913248.90,0.94
32,256,1048576,4,1790557.10,1.83
32,256,1048576,8,3555412.84,3.64
32,256,1048576,16,5436051.19,5.57
32,256,1048576,32,6688866.10,6.85
32,256,1048576,64,7585715.92,7.77
32,256,1048576,128,7629903.13,7.81
32,256,1048576,256,6602451.71,6.76
32,384,1048576,1,630841.01,0.65
32,384,1048576,2,975253.39,1.00
32,384,1048576,4,2354578.01,2.41
32,384,1048576,8,3713852.17,3.80
32,384,1048576,16,5767498.88,5.91
32,384,1048576,32,8590303.52,8.80
32,384,1048576,64,8279506.43,8.48
