PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
16,8,1048576,32,207192.07,0.11
16,8,1048576,64,396031.02,0.20
16,8,1048576,128,470420.69,0.24
16,64,1048576,32,1777206.81,0.91
16,64,1048576,64,2315400.19,1.18
16,64,1048576,128,2967831.54,1.51
16,128,1048576,32,2937127.04,1.50
16,128,1048576,64,3085948.85,1.57
16,128,1048576,128,5020210.06,2.56
512,8,1048576,32,231985.83,3.80
512,8,1048576,64,368243.32,6.03
512,8,1048576,128,458770.89,7.51
512,64,1048576,32,1262458.92,20.67
512,64,1048576,64,1922681.20,31.46
512,64,1048576,128,1548042.09,25.30
512,128,1048576,32,2187390.61,35.79
512,128,1048576,64,3419849.67,55.87
512,128,1048576,128,957338.57,15.59
4096,8,1048576,32,229013.26,30.01
4096,8,1048576,64,469188.59,61.49
4096,8,1048576,128,504982.50,66.17
4096,64,1048576,32,975294.29,127.72
4096,64,1048576,64,1061397.09,138.89
4096,64,1048576,128,1148135.29,149.98
4096,128,1048576,32,992342.89,129.83
4096,128,1048576,64,965820.33,126.14
4096,128,1048576,128,1127135.87,146.72
