PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
16,256,1048576,1,149080.42,0.08
16,256,1048576,64,1966339.46,1.00
16,256,1048576,128,3027080.78,1.53
16,256,1048576,256,3072754.07,1.54
128,256,1048576,1,144237.72,0.59
128,256,1048576,64,1703160.63,6.94
128,256,1048576,128,1571681.14,6.37
128,256,1048576,256,1555270.70,6.24
512,256,1048576,1,143790.34,2.36
512,256,1048576,64,2926403.10,47.62
512,256,1048576,128,2921233.56,47.24
512,256,1048576,256,3304604.25,52.72
1024,256,1048576,1,135094.84,4.43
1024,256,1048576,64,2281684.43,74.26
1024,256,1048576,128,2742391.17,88.68
1024,256,1048576,256,2261390.37,72.09
2048,256,1048576,1,72957.69,4.78
2048,256,1048576,64,1188296.43,77.31
2048,256,1048576,128,1456556.32,94.07
2048,256,1048576,256,1307110.91,83.24
4096,256,1048576,1,36486.46,4.78
4096,256,1048576,64,539947.37,70.24
4096,256,1048576,128,824525.14,106.45
4096,256,1048576,256,737924.41,93.80
8192,256,1048576,1,18236.34,4.78
8192,256,1048576,64,308046.53,80.15
8192,256,1048576,128,401562.93,103.69
8192,256,1048576,256,392538.54,99.80
