PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
16,256,1048576,1,144607.20,0.07
16,256,1048576,128,2304238.81,1.17
16,1024,1048576,1,649668.41,0.33
16,1024,1048576,128,11591647.06,5.80
16,2048,1048576,1,536520.35,0.27
16,2048,1048576,128,11211141.60,5.51
128,256,1048576,1,73404.79,0.30
128,256,1048576,128,1777110.96,7.20
128,1024,1048576,1,447128.93,1.83
128,1024,1048576,128,6247947.55,24.82
128,2048,1048576,1,331610.07,1.36
128,2048,1048576,128,5844503.78,22.89
512,256,1048576,1,140946.95,2.31
512,256,1048576,128,3464437.51,56.02
512,1024,1048576,1,180638.72,2.96
512,1024,1048576,128,2644277.29,41.73
512,2048,1048576,1,160701.06,2.63
512,2048,1048576,128,2827285.55,43.86
1024,256,1048576,1,136969.06,4.49
1024,256,1048576,128,2494121.16,80.62
1024,1024,1048576,1,130660.87,4.28
1024,1024,1048576,128,2303375.65,71.78
1024,2048,1048576,1,143135.73,4.69
1024,2048,1048576,128,1727368.92,52.40
2048,256,1048576,1,72961.90,4.78
2048,256,1048576,128,1477493.62,95.44
2048,1024,1048576,1,72933.11,4.78
2048,1024,1048576,128,997299.25,61.79
2048,2048,1048576,1,72862.45,4.77
2048,2048,1048576,128,830889.46,49.55
