PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
16,256,1048576,1,156345.13,0.08
16,256,1048576,128,1135695.39,0.58
16,1024,1048576,1,630390.74,0.32
16,1024,1048576,128,9682410.77,4.84
16,2048,1048576,1,650425.63,0.33
16,2048,1048576,128,10501567.91,5.19
128,256,1048576,1,401003.77,1.64
128,256,1048576,128,2442780.04,9.90
128,1024,1048576,1,455657.14,1.87
128,1024,1048576,128,5349704.18,21.39
128,2048,1048576,1,446222.95,1.83
128,2048,1048576,128,5703795.25,22.54
512,256,1048576,1,200884.88,3.29
512,256,1048576,128,2724018.87,44.06
512,1024,1048576,1,186646.80,3.06
512,1024,1048576,128,2573854.43,40.91
512,2048,1048576,1,180360.22,2.95
512,2048,1048576,128,2626818.92,41.11
1024,256,1048576,1,157192.61,5.15
1024,256,1048576,128,1734569.96,56.05
1024,1024,1048576,1,158899.97,5.21
1024,1024,1048576,128,2066401.83,64.88
1024,2048,1048576,1,140809.34,4.61
1024,2048,1048576,128,1667132.79,50.87
2048,256,1048576,1,88367.20,5.79
2048,256,1048576,128,1243805.17,80.34
2048,1024,1048576,1,107824.49,7.06
2048,1024,1048576,128,938353.30,58.29
2048,2048,1048576,1,105141.41,6.89
2048,2048,1048576,128,746777.42,44.77
