PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
16,8,1048576,32,20831090.12,10.67
16,8,1048576,64,21025786.29,10.77
16,8,1048576,128,19271577.96,9.87
16,64,1048576,32,22210879.53,11.37
16,64,1048576,64,24786508.13,12.69
16,64,1048576,128,19077022.48,9.77
16,128,1048576,32,19698131.90,10.09
16,128,1048576,64,23829460.61,12.20
16,128,1048576,128,18441419.57,9.44
16,1024,1048576,32,24878405.37,12.74
16,1024,1048576,64,35103687.47,17.97
16,1024,1048576,128,21551175.06,11.03
512,8,1048576,32,5458352.13,89.43
512,8,1048576,64,7350072.82,120.42
512,8,1048576,128,8551624.54,140.11
512,64,1048576,32,4531355.82,74.24
512,64,1048576,64,7289761.43,119.44
512,64,1048576,128,7680459.61,125.84
512,128,1048576,32,5970911.78,97.83
512,128,1048576,64,6937910.46,113.67
512,128,1048576,128,7768347.93,127.28
512,1024,1048576,32,3687588.35,60.42
512,1024,1048576,64,3679127.17,60.28
512,1024,1048576,128,5105427.99,83.65
4096,8,1048576,32,604809.70,79.27
4096,8,1048576,64,1034102.13,135.54
4096,8,1048576,128,1205624.14,158.02
4096,64,1048576,32,600642.54,78.73
4096,64,1048576,64,972328.33,127.45
4096,64,1048576,128,990311.53,129.80
4096,128,1048576,32,967943.47,126.87
4096,128,1048576,64,1022978.63,134.08
4096,128,1048576,128,1102296.99,144.48
4096,1024,1048576,32,560360.44,73.45
4096,1024,1048576,64,696309.71,91.27
4096,1024,1048576,128,678126.90,88.88
32768,8,1048576,32,131182.98,137.56
32768,8,1048576,64,101732.95,106.67
32768,8,1048576,128,159577.16,167.33
32768,64,1048576,32,78806.77,82.63
32768,64,1048576,64,135571.77,142.16
32768,64,1048576,128,143492.02,150.46
32768,128,1048576,32,60145.98,63.07
32768,128,1048576,64,113347.74,118.85
32768,128,1048576,128,134237.08,140.76
32768,1024,1048576,32,82228.11,86.22
