PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
16,8,1048576,1,75138.70,0.04
16,8,1048576,4,129960.87,0.07
16,8,1048576,8,89036.82,0.05
16,32,1048576,1,220162.85,0.11
16,32,1048576,4,302642.86,0.15
16,32,1048576,8,219556.84,0.11
16,64,1048576,1,255804.57,0.13
16,64,1048576,4,567082.92,0.29
16,64,1048576,8,263202.45,0.13
16,256,1048576,1,281080.10,0.14
16,256,1048576,4,492992.52,0.25
16,256,1048576,8,443586.23,0.23
16,1024,1048576,1,260756.32,0.13
16,1024,1048576,4,680114.03,0.35
16,1024,1048576,8,649054.64,0.33
16,2048,1048576,1,211123.02,0.11
16,2048,1048576,4,710087.90,0.36
16,2048,1048576,8,711763.32,0.36
128,8,1048576,1,41460.51,0.17
128,8,1048576,4,108698.38,0.45
128,8,1048576,8,55177.07,0.23
128,32,1048576,1,103253.48,0.42
128,32,1048576,4,174575.99,0.72
128,32,1048576,8,130204.50,0.53
128,64,1048576,1,108632.73,0.44
128,64,1048576,4,334875.51,1.37
128,64,1048576,8,322791.54,1.32
128,256,1048576,1,135362.54,0.55
128,256,1048576,4,297126.81,1.22
128,256,1048576,8,313216.22,1.28
128,1024,1048576,1,132064.88,0.54
128,1024,1048576,4,282553.93,1.16
128,1024,1048576,8,566223.03,2.32
128,2048,1048576,1,144995.51,0.59
128,2048,1048576,4,465697.61,1.91
128,2048,1048576,8,596175.65,2.43
512,8,1048576,1,45650.59,0.75
512,8,1048576,4,118226.38,1.94
512,8,1048576,8,85402.84,1.40
512,32,1048576,1,72977.64,1.20
512,32,1048576,4,162019.31,2.65
512,32,1048576,8,138268.12,2.27
512,64,1048576,1,81124.26,1.33
512,64,1048576,4,177915.28,2.91
512,64,1048576,8,149144.57,2.44
512,256,1048576,1,69431.49,1.14
512,256,1048576,4,138865.56,2.27
512,256,1048576,8,126977.56,2.08
512,1024,1048576,1,54340.31,0.89
512,1024,1048576,4,246621.05,4.04
512,1024,1048576,8,272384.68,4.46
512,2048,1048576,1,68613.06,1.12
512,2048,1048576,4,240792.95,3.94
512,2048,1048576,8,303111.19,4.94
1024,8,1048576,1,34404.28,1.13
1024,8,1048576,4,94355.74,3.09
1024,8,1048576,8,62710.25,2.05
1024,32,1048576,1,62214.68,2.04
1024,32,1048576,4,148676.36,4.87
1024,32,1048576,8,102455.60,3.36
1024,64,1048576,1,74850.51,2.45
1024,64,1048576,4,177369.65,5.81
1024,64,1048576,8,129152.92,4.23
1024,256,1048576,1,88548.58,2.90
1024,256,1048576,4,206484.37,6.76
1024,256,1048576,8,189676.43,6.21
1024,1024,1048576,1,76002.22,2.49
1024,1024,1048576,4,233117.93,7.63
1024,1024,1048576,8,318716.74,10.43
1024,2048,1048576,1,73564.94,2.41
1024,2048,1048576,4,254761.95,8.33
1024,2048,1048576,8,341386.33,11.17
2048,8,1048576,1,47618.43,3.12
2048,8,1048576,4,107622.41,7.05
2048,8,1048576,8,63241.25,4.14
2048,32,1048576,1,55636.96,3.65
2048,32,1048576,4,132933.18,8.71
2048,32,1048576,8,91346.37,5.99
2048,64,1048576,1,56857.84,3.73
2048,64,1048576,4,157768.46,10.34
2048,64,1048576,8,120539.65,7.90
2048,256,1048576,1,74273.46,4.87
2048,256,1048576,4,192486.79,12.61
2048,256,1048576,8,186916.39,12.24
2048,1024,1048576,1,70533.57,4.62
2048,1024,1048576,4,200923.46,13.16
2048,1024,1048576,8,224173.92,14.66
2048,2048,1048576,1,67181.47,4.40
2048,2048,1048576,4,214063.58,14.01
2048,2048,1048576,8,253162.60,16.50
4096,8,1048576,1,32227.45,4.22
4096,8,1048576,4,86050.30,11.28
4096,8,1048576,8,41550.90,5.45
4096,32,1048576,1,53053.60,6.95
4096,32,1048576,4,126087.28,16.53
4096,32,1048576,8,89617.10,11.75
4096,64,1048576,1,63920.36,8.38
4096,64,1048576,4,146952.10,19.26
4096,64,1048576,8,115458.57,15.13
4096,256,1048576,1,62470.44,8.19
4096,256,1048576,4,131658.79,17.25
4096,256,1048576,8,101111.73,13.25
4096,1024,1048576,1,38923.38,5.10
4096,1024,1048576,4,157240.89,20.58
4096,1024,1048576,8,164164.75,21.46
4096,2048,1048576,1,56793.56,7.44
4096,2048,1048576,4,161365.30,21.11
4096,2048,1048576,8,166310.00,21.69

