PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
512,128,1048576,16,1538619.35,25.21
512,128,1048576,32,2345059.62,38.42
512,128,1048576,64,3075247.27,50.38
512,128,1048576,128,3127054.23,51.23
512,128,1048576,256,3486738.44,57.13
512,256,1048576,16,1419529.08,23.26
512,256,1048576,32,2486889.38,40.75
512,256,1048576,64,2895427.68,47.44
512,256,1048576,128,3371328.68,55.24
512,256,1048576,256,3487120.82,57.13
512,384,1048576,16,1558525.88,25.53
512,384,1048576,32,2462696.72,40.35
512,384,1048576,64,2850241.14,46.70
512,384,1048576,128,2977072.82,48.78
512,384,1048576,256,3329194.37,54.55
512,512,1048576,16,1811997.18,29.69
512,512,1048576,32,2126313.34,34.84
512,512,1048576,64,2923969.33,47.91
512,512,1048576,128,3209179.27,52.58
512,512,1048576,256,3250135.41,53.25
1024,128,1048576,16,1233023.66,40.40
1024,128,1048576,32,2045073.35,67.01
1024,128,1048576,64,1753624.97,57.46
1024,128,1048576,128,2633838.04,86.31
1024,128,1048576,256,2493280.16,81.70
1024,256,1048576,16,1318850.41,43.22
1024,256,1048576,32,1850609.60,60.64
1024,256,1048576,64,2788541.21,91.37
1024,256,1048576,128,2804545.82,91.90
1024,256,1048576,256,1956711.29,64.12
1024,384,1048576,16,1105433.68,36.22
1024,384,1048576,32,2132950.49,69.89
1024,384,1048576,64,2625363.09,86.03
1024,384,1048576,128,2034805.72,66.68
1024,384,1048576,256,1876395.84,61.49
1024,512,1048576,16,1177452.28,38.58
1024,512,1048576,32,1899114.25,62.23
1024,512,1048576,64,2802205.73,91.82
1024,512,1048576,128,2650210.44,86.84
1024,512,1048576,256,1779161.20,58.30
2048,128,1048576,16,835302.36,54.74
2048,128,1048576,32,1350554.86,88.51
2048,128,1048576,64,1407896.42,92.27
2048,128,1048576,128,1670209.23,109.46
2048,128,1048576,256,1333842.47,87.41
2048,256,1048576,16,1046364.68,68.57
2048,256,1048576,32,879852.29,57.66
2048,256,1048576,64,1360322.91,89.15
2048,256,1048576,128,1570235.07,102.91
2048,256,1048576,256,1297701.19,85.05
2048,384,1048576,16,868417.24,56.91
2048,384,1048576,32,1016804.01,66.64
2048,384,1048576,64,1344461.06,88.11
2048,384,1048576,128,1446617.27,94.81
2048,384,1048576,256,1307153.17,85.67
2048,512,1048576,16,1075190.54,70.46
2048,512,1048576,32,1152296.47,75.52
2048,512,1048576,64,1121855.29,73.52
2048,512,1048576,128,1282290.41,84.04
2048,512,1048576,256,1084304.20,71.06
4096,128,1048576,16,549886.87,72.07
4096,128,1048576,32,717669.20,94.07
4096,128,1048576,64,750558.57,98.38
4096,128,1048576,128,879938.42,115.34
4096,128,1048576,256,782210.92,102.53
4096,256,1048576,16,451620.96,59.19
4096,256,1048576,32,623355.70,81.70
4096,256,1048576,64,820559.60,107.55
4096,256,1048576,128,619235.05,81.16
4096,256,1048576,256,634337.94,83.14
4096,384,1048576,16,547475.41,71.76
4096,384,1048576,32,545746.47,71.53
4096,384,1048576,64,723477.45,94.83
4096,384,1048576,128,816251.17,106.99
4096,384,1048576,256,535442.07,70.18
4096,512,1048576,16,481762.70,63.15
4096,512,1048576,32,598352.04,78.43
4096,512,1048576,64,598602.95,78.46
4096,512,1048576,128,737653.78,96.69
4096,512,1048576,256,551882.53,72.34
