timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.03686,0,0,43295,43295,1.41853
2.03686,0,0,86222,42927,1.40663
3.03691,0,0,129206,42982.3,1.40844
4.03692,0,0,172586,43379.5,1.42146
5.03692,0,0,215808,43221.9,1.4163
6.03692,0,0,259072,43264,1.41767
7.03692,0,0,302592,43520,1.42606
8.03692,0,0,345755,43163,1.41436
9.03692,0,0,388890,43134.9,1.41344
10.0369,0,0,432384,43494,1.42521
11.0369,0,0,475392,43008,1.40929
12.0369,0,0,517925,42532.9,1.39372
13.0369,0,0,559992,42066.9,1.37845
14.0369,0,0,603935,43942.9,1.43992
15.0369,0,0,647978,44042.9,1.4432
16.0369,0,0,691201,43223,1.41633
17.037,0,0,733440,42237.2,1.38403
18.037,0,0,776345,42905,1.40591
19.037,0,0,819968,43622.4,1.42942
20.037,0,0,863744,43776,1.43445
21.037,0,0,906195,42451,1.39103
22.037,0,0,948975,42779.9,1.40181
23.037,0,0,993286,44310.9,1.45198
24.037,0,0,1037056,43770,1.43425
25.037,0,0,1081600,44542.7,1.45957
26.037,0,0,1124516,42915.9,1.40627
27.037,0,0,1167391,42875,1.40493
28.037,0,0,1209209,41818,1.37029
29.037,0,0,1251825,42616,1.39644
30.037,0,0,1294848,43023,1.40978
31.037,0,0,1336652,41804,1.36983
32.037,0,0,1380096,43443.9,1.42357
33.0373,0,0,1422848,42741,1.40054
34.0374,0,0,1465856,43005.1,1.40919
35.0374,0,0,1508591,42735,1.40034
36.0374,0,0,1551872,43281,1.41823
37.0374,0,0,1594370,42497.9,1.39257
38.0374,0,0,1638098,43727.7,1.43287
39.0374,0,0,1681408,43310,1.41918
40.0375,0,0,1724618,43205.9,1.41577
41.0375,0,0,1767407,42788.9,1.40211
42.0375,0,0,1810698,43291,1.41856
43.0375,0,0,1853907,43206.5,1.41579
44.0375,0,0,1896464,42556.9,1.39451
45.0375,0,0,1940236,43771.4,1.4343
46.0375,0,0,1983770,43534,1.42652
47.0375,0,0,2026755,42985,1.40853
48.0375,0,0,2070016,43261,1.41758
49.0376,0,0,2113043,43026.3,1.40989
50.0376,0,0,2156419,43376,1.42134
51.0376,0,0,2200303,43883.9,1.43799
52.0376,0,0,2242771,42467.4,1.39157
53.0376,0,0,2285913,43138.8,1.41357
54.0376,0,0,2328229,42315.9,1.38661
55.0377,0,0,2370914,42684.7,1.39869
56.0377,0,0,2414169,43254.9,1.41738
57.0377,0,0,2457857,43685.9,1.4315
58.0377,0,0,2500511,42654,1.39769
59.0377,0,0,2543435,42923.9,1.40653
1.03686,0,1,43345,43345,1.42009
2.03686,0,1,86113,42768,1.40142
3.03691,0,1,129121,43006.3,1.40923
4.03692,0,1,172631,43509.5,1.42572
5.03692,0,1,215731,43099.9,1.4123
6.03692,0,1,259015,43284,1.41833
7.03692,0,1,302561,43546,1.42691
8.03692,0,1,345697,43136,1.41348
9.03692,0,1,388890,43192.9,1.41535
10.0369,0,1,432361,43471,1.42446
11.0369,0,1,475330,42969,1.40801
12.0369,0,1,517971,42640.9,1.39726
13.0369,0,1,559969,41997.9,1.37619
14.0369,0,1,603962,43992.9,1.44156
15.0369,0,1,648032,44069.9,1.44408
16.0369,0,1,691200,43168,1.41453
17.037,0,1,733417,42215.2,1.38331
18.037,0,1,776289,42872,1.40483
19.037,0,1,819903,43613.4,1.42912
20.037,0,1,863667,43764,1.43406
21.037,0,1,906081,42414,1.38982
22.037,0,1,948859,42777.9,1.40175
23.037,0,1,993286,44426.9,1.45578
24.037,0,1,1037047,43761,1.43396
25.037,0,1,1081523,44474.7,1.45735
26.037,0,1,1124449,42925.9,1.4066
27.037,0,1,1167418,42969,1.40801
28.037,0,1,1209185,41767,1.36862
29.037,0,1,1251763,42578,1.3952
30.037,0,1,1294771,43008,1.40929
31.037,0,1,1336673,41902,1.37304
32.037,0,1,1380065,43391.9,1.42187
33.0373,0,1,1422771,42695.1,1.39903
34.0374,0,1,1465779,43005.1,1.40919
35.0374,0,1,1508501,42722,1.39991
36.0374,0,1,1551841,43340,1.42016
37.0374,0,1,1594370,42528.9,1.39359
38.0374,0,1,1637985,43614.7,1.42917
39.0374,0,1,1681350,43365,1.42098
40.0375,0,1,1724513,43158.9,1.41423
41.0375,0,1,1767272,42758.9,1.40112
42.0375,0,1,1810698,43426,1.42298
43.0375,0,1,1853793,43092.5,1.41206
44.0375,0,1,1896464,42670.9,1.39824
45.0375,0,1,1940236,43771.4,1.4343
46.0375,0,1,1983773,43537,1.42662
47.0375,0,1,2026755,42982,1.40843
48.0375,0,1,2069939,43184,1.41505
49.0376,0,1,2113042,43102.3,1.41238
50.0376,0,1,2156385,43343,1.42026
51.0376,0,1,2200231,43845.9,1.43674
52.0376,0,1,2242657,42425.4,1.39019
53.0376,0,1,2285921,43260.8,1.41757
54.0376,0,1,2328161,42239.9,1.38412
55.0377,0,1,2370913,42751.7,1.40089
56.0377,0,1,2414177,43263.9,1.41767
57.0377,0,1,2457857,43677.9,1.43124
58.0377,0,1,2500449,42592,1.39565
59.0377,0,1,2543457,43007.9,1.40928
1.03686,0,2,41628,41628,1.34512
2.03686,0,2,82245,40617,1.31082
3.03691,0,2,121465,39218.4,1.26299
4.03692,0,2,163692,42226.5,1.3669
5.03692,0,2,204419,40726.9,1.31684
6.03692,0,2,244276,39857,1.28143
7.03692,0,2,286032,41756,1.35286
8.03692,0,2,327524,41492,1.35001
9.03692,0,2,368926,41401.9,1.34109
10.0369,0,2,410948,42022,1.35859
11.0369,0,2,452591,41643,1.35041
12.0369,0,2,491616,39024.9,1.25631
13.0369,0,2,532843,41226.9,1.33987
14.0369,0,2,574291,41447.9,1.33821
15.0369,0,2,616837,42545.9,1.37923
16.0369,0,2,658579,41742,1.35244
17.037,0,2,699007,40426.2,1.30563
18.037,0,2,739704,40697,1.31078
19.037,0,2,779826,40121.5,1.29136
20.037,0,2,821801,41975,1.34908
21.037,0,2,863299,41498,1.35146
22.037,0,2,902544,39244.9,1.26073
23.037,0,2,945796,43251.9,1.40158
24.037,0,2,987286,41490,1.33855
25.037,0,2,1030587,43299.7,1.40169
26.037,0,2,1070594,40006.9,1.28635
27.037,0,2,1112451,41857,1.35857
28.037,0,2,1153814,41363,1.35129
29.037,0,2,1194696,40882,1.32652
30.037,0,2,1235714,41018,1.32296
31.037,0,2,1275730,40016,1.29216
32.037,0,2,1316514,40783.9,1.31464
33.0373,0,2,1356968,40443.6,1.30364
34.0374,0,2,1397476,40505.2,1.30367
35.0374,0,2,1437821,40345,1.29766
36.0374,0,2,1477818,39997,1.28439
37.0374,0,2,1517452,39634,1.28041
38.0374,0,2,1560045,42592.8,1.38678
39.0374,0,2,1602228,42183,1.37008
40.0375,0,2,1644869,42637,1.38773
41.0375,0,2,1683793,38923.9,1.2455
42.0375,0,2,1724277,40484,1.29738
43.0375,0,2,1765781,41501.6,1.34109
44.0375,0,2,1806650,40868.9,1.31745
45.0375,0,2,1848506,41855.4,1.34899
46.0375,0,2,1890106,41600,1.33897
47.0375,0,2,1931523,41417,1.33645
48.0375,0,2,1973222,41699,1.35022
49.0376,0,2,2013004,39781.3,1.2773
50.0376,0,2,2054057,41053,1.32293
51.0376,0,2,2097246,43188.9,1.40425
52.0376,0,2,2135444,38197.4,1.22112
53.0376,0,2,2177285,41837.9,1.35061
54.0376,0,2,2216285,38999.9,1.24905
55.0377,0,2,2253956,37670.7,1.20213
56.0377,0,2,2295021,41064.9,1.32734
57.0377,0,2,2336603,41580,1.3419
58.0377,0,2,2376103,39500,1.27641
59.0377,0,2,2416919,40815.9,1.32545
1.03686,0,3,43339,43339,1.41994
2.03686,0,3,86135,42796,1.40234
3.03691,0,3,129143,43006.3,1.40923
4.03692,0,3,172641,43497.5,1.42533
5.03692,0,3,215793,43151.9,1.414
6.03692,0,3,259072,43279,1.41817
7.03692,0,3,302592,43520,1.42606
8.03692,0,3,345719,43127,1.41318
9.03692,0,3,388890,43170.9,1.41462
10.0369,0,3,432384,43494,1.42521
11.0369,0,3,475392,43008,1.40929
12.0369,0,3,517977,42584.9,1.39542
13.0369,0,3,559991,42013.9,1.37671
14.0369,0,3,603959,43967.9,1.44074
15.0369,0,3,648033,44073.9,1.44421
16.0369,0,3,691200,43167,1.41449
17.037,0,3,733440,42238.2,1.38406
18.037,0,3,776311,42871,1.4048
19.037,0,3,819968,43656.4,1.43053
20.037,0,3,863648,43680,1.43131
21.037,0,3,906103,42455,1.39116
22.037,0,3,948855,42751.9,1.4009
23.037,0,3,993286,44430.9,1.45591
24.037,0,3,1037056,43770,1.43425
25.037,0,3,1081554,44496.7,1.45807
26.037,0,3,1124471,42916.9,1.4063
27.037,0,3,1167415,42944,1.40719
28.037,0,3,1209207,41792,1.36944
29.037,0,3,1251703,42496,1.39251
30.037,0,3,1294831,43128,1.41322
31.037,0,3,1336677,41846,1.37121
32.037,0,3,1380096,43418.9,1.42275
33.0373,0,3,1422742,42635.1,1.39707
34.0374,0,3,1465750,43005.1,1.40919
35.0374,0,3,1508471,42721,1.39988
36.0374,0,3,1551872,43401,1.42216
37.0374,0,3,1594370,42497.9,1.39257
38.0374,0,3,1638007,43636.7,1.42989
39.0374,0,3,1681408,43401,1.42216
40.0375,0,3,1724535,43122.9,1.41305
41.0375,0,3,1767287,42751.9,1.4009
42.0375,0,3,1810698,43411,1.42249
43.0375,0,3,1853815,43114.5,1.41278
44.0375,0,3,1896464,42648.9,1.39752
45.0375,0,3,1940236,43771.4,1.4343
46.0375,0,3,1983773,43537,1.42662
47.0375,0,3,2026755,42982,1.40843
48.0375,0,3,2069984,43229,1.41653
49.0376,0,3,2113042,43057.3,1.4109
50.0376,0,3,2156407,43365,1.42098
51.0376,0,3,2200183,43775.9,1.43445
52.0376,0,3,2242679,42495.4,1.39249
53.0376,0,3,2285943,43260.8,1.41757
54.0376,0,3,2328183,42239.9,1.38412
55.0377,0,3,2370935,42751.7,1.40089
56.0377,0,3,2414199,43263.9,1.41767
57.0377,0,3,2457857,43655.9,1.43052
58.0377,0,3,2500471,42614,1.39638
59.0377,0,3,2543457,42985.9,1.40856
1.03686,0,4,41745,41745,1.35551
2.03686,0,4,81497,39752,1.2875
3.03691,0,4,122610,41111.3,1.32822
4.03692,0,4,165976,43365.5,1.41846
5.03692,0,4,207891,41914.9,1.36354
6.03692,0,4,248469,40578,1.30758
7.03692,0,4,289810,41341,1.33641
8.03692,0,4,330372,40562,1.30812
9.03692,0,4,371606,41233.9,1.33738
10.0369,0,4,414688,43082,1.40824
11.0369,0,4,454974,40286,1.29801
12.0369,0,4,494936,39961.9,1.29101
13.0369,0,4,534020,39083.9,1.2592
14.0369,0,4,577981,43960.9,1.44051
15.0369,0,4,622019,44037.9,1.44291
16.0369,0,4,664853,42834,1.39872
17.037,0,4,704683,39828.3,1.27925
18.037,0,4,745947,41264,1.33741
19.037,0,4,788558,42610.4,1.38559
20.037,0,4,830819,42261,1.37449
21.037,0,4,870403,39584,1.27773
22.037,0,4,910579,40175.9,1.30709
23.037,0,4,954922,44342.9,1.45278
24.037,0,4,998045,43123,1.40892
25.037,0,4,1041845,43798.7,1.4302
26.037,0,4,1080747,38901.9,1.2455
27.037,0,4,1121991,41244,1.33564
28.037,0,4,1162316,40325,1.30547
29.037,0,4,1203779,41463,1.34787
30.037,0,4,1245872,42093,1.36933
31.037,0,4,1285423,39551,1.28137
32.037,0,4,1327407,41983.9,1.36053
33.0373,0,4,1366002,38585.1,1.23939
34.0374,0,4,1406270,40265.3,1.30546
35.0374,0,4,1445785,39515,1.27024
36.0374,0,4,1488342,42557,1.38477
37.0374,0,4,1527702,39360,1.26562
38.0374,0,4,1570575,42872.8,1.39974
39.0374,0,4,1613156,42581,1.38887
40.0375,0,4,1653367,40207.2,1.29414
41.0375,0,4,1695641,42273.9,1.37905
42.0375,0,4,1738720,43079,1.40521
43.0375,0,4,1780505,41782.6,1.35416
44.0375,0,4,1820451,39945.9,1.28623
45.0375,0,4,1864143,43691.4,1.43117
46.0375,0,4,1906589,42446,1.38437
47.0375,0,4,1948470,41881,1.35844
48.0375,0,4,1989443,40973,1.32764
49.0376,0,4,2031714,42270.3,1.37925
50.0376,0,4,2074372,42658,1.39058
51.0376,0,4,2117707,43334.9,1.41341
52.0376,0,4,2158811,41103.4,1.33113
53.0376,0,4,2201158,42343.8,1.37271
54.0376,0,4,2239035,37876.9,1.21777
55.0377,0,4,2280753,41717.7,1.35914
56.0377,0,4,2322576,41822.9,1.35989
57.0377,0,4,2364477,41899,1.36189
58.0377,0,4,2404654,40177,1.30155
59.0377,0,4,2444408,39753.9,1.29251
1.03686,0,5,42939,42939,1.40542
2.03686,0,5,85739,42800,1.40247
3.03691,0,5,128747,43006.3,1.40923
4.03692,0,5,172219,43471.5,1.42447
5.03692,0,5,215356,43136.9,1.41351
6.03692,0,5,258620,43264,1.41767
7.03692,0,5,302152,43532,1.42646
8.03692,0,5,345323,43171,1.41463
9.03692,0,5,388471,43147.9,1.41387
10.0369,0,5,431980,43509,1.4257
