timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.03237,0,0,26692,26661.8,0.873573
2.03304,0,0,55545,28833.7,0.944824
3.03307,0,0,79107,23561.4,0.772059
4.03307,0,0,109344,30236.9,0.990804
5.03307,0,0,130902,21558,0.706411
6.03307,0,0,167161,36259,1.18813
7.03319,0,0,203362,36196.6,1.18609
8.03319,0,0,238327,34965,1.14573
9.03319,0,0,269306,30979,1.01512
10.0332,0,0,300160,30853.4,1.011
11.0334,0,0,333721,33554.2,1.0995
12.0335,0,0,367192,33469.2,1.09672
13.0335,0,0,400836,33644,1.10245
14.0335,0,0,432372,31535.9,1.03337
15.0335,0,0,458740,26368,0.864026
16.0335,0,0,486387,27647,0.905935
17.0335,0,0,516172,29785,0.975995
18.0335,0,0,546442,30269.9,0.991884
19.0339,0,0,577268,30812.9,1.00968
20.0339,0,0,609746,32478,1.06424
21.0339,0,0,642153,32407,1.06191
22.0343,0,0,676745,34579.1,1.13309
23.0343,0,0,715672,38927,1.27556
24.0343,0,0,741085,25413,0.832733
25.0343,0,0,777504,36418.3,1.19335
26.0343,0,0,812707,35202.9,1.15353
27.0343,0,0,847243,34535.8,1.13167
28.0343,0,0,878993,31749.8,1.04038
29.0343,0,0,908079,29085.9,0.953086
30.0343,0,0,934482,26403,0.865173
31.0343,0,0,962830,28348,0.928906
32.0343,0,0,991843,29013,0.950696
33.0343,0,0,1021522,29678.9,0.97252
34.035,0,0,1053294,31751,1.04042
35.035,0,0,1084014,30720,1.00663
36.035,0,0,1112408,28394,0.930414
37.035,0,0,1142537,30129,0.987266
38.035,0,0,1173223,30686,1.00552
39.035,0,0,1204439,31215.9,1.02288
40.0366,0,0,1236102,31613.2,1.0359
41.0366,0,0,1262186,26084,0.854719
42.0378,0,0,1294969,32741.5,1.07287
43.0378,0,0,1326864,31895,1.04514
44.0378,0,0,1356530,29666,0.972094
45.0379,0,0,1387053,30521.1,1.00012
46.0394,0,0,1418329,31230.2,1.02335
47.0394,0,0,1447912,29583,0.969374
48.0394,0,0,1477741,29829,0.977436
49.0394,0,0,1507677,29936,0.980942
50.0394,0,0,1537447,29770,0.975503
51.0399,0,0,1567655,30191.9,0.989329
52.0405,0,0,1598317,30642.2,1.00408
53.0412,0,0,1629351,31014.4,1.01628
54.0417,0,0,1659303,29935.6,0.980929
55.0417,0,0,1690023,30719.9,1.00663
56.0417,0,0,1721255,31232,1.02341
57.0422,0,0,1752173,30902.4,1.01261
58.0422,0,0,1782695,30522,1.00014
59.043,0,0,1813871,31152.4,1.0208
1.03237,0,1,26222,26192.4,0.858222
2.03304,0,1,53862,27621.6,0.905103
3.03307,0,1,77615,23752.4,0.778317
4.03307,0,1,107840,30224.9,0.990411
5.03307,0,1,129344,21504,0.704641
6.03307,0,1,162574,33230,1.08888
7.03319,0,1,192083,29505.4,0.966832
8.03319,0,1,220939,28856,0.945553
9.03319,0,1,255054,34115,1.11788
10.0332,0,1,282688,27633.5,0.905493
11.0334,0,1,315473,32778.4,1.07408
12.0335,0,1,350246,34771.1,1.13938
13.0335,0,1,383994,33748,1.10585
14.0335,0,1,415767,31772.9,1.04114
15.0335,0,1,442135,26368,0.864026
16.0335,0,1,469745,27610,0.904723
17.0335,0,1,499491,29746,0.974717
18.0335,0,1,529857,30365.9,0.995029
19.0339,0,1,560630,30760,1.00794
20.0339,0,1,593106,32476,1.06417
21.0339,0,1,625443,32337,1.05962
22.0343,0,1,660126,34670,1.13607
23.0343,0,1,697294,37168,1.21792
24.0343,0,1,730565,33271,1.09022
25.0343,0,1,766522,35956.3,1.17822
26.0343,0,1,799981,33458.9,1.09638
27.0343,0,1,831347,31365.9,1.0278
28.0343,0,1,862851,31503.8,1.03232
29.0343,0,1,892804,29952.9,0.981495
30.0343,0,1,911057,18253,0.598114
31.0343,0,1,935595,24538,0.80406
32.0343,0,1,963509,27914,0.914684
33.0343,0,1,990105,26595.9,0.871496
34.035,0,1,1016519,26396.5,0.864961
35.035,0,1,1044538,28019,0.918126
36.035,0,1,1072612,28074,0.919928
37.035,0,1,1099163,26551,0.870022
38.035,0,1,1128037,28874,0.946143
39.035,0,1,1155916,27878.9,0.913537
40.0366,0,1,1184969,29007.3,0.950511
41.0366,0,1,1213137,28168,0.923008
42.0378,0,1,1242486,29311.9,0.960492
43.0378,0,1,1270660,28174,0.923206
44.0378,0,1,1298163,27503,0.901217
45.0379,0,1,1327598,29433.2,0.964466
46.0394,0,1,1355793,28153.7,0.922541
47.0394,0,1,1383997,28204,0.924187
48.0394,0,1,1413248,29251,0.958496
49.0394,0,1,1442134,28886,0.946536
50.0394,0,1,1471120,28986,0.949813
51.0399,0,1,1500348,29212.5,0.957234
52.0405,0,1,1529902,29535,0.967801
53.0412,0,1,1558877,28956.7,0.948854
54.0417,0,1,1587574,28681.3,0.939828
55.0417,0,1,1616711,29136.9,0.954759
56.0417,0,1,1645352,28641,0.938507
57.0422,0,1,1673683,28316.7,0.927881
58.0422,0,1,1702895,29212,0.957218
59.043,0,1,1731177,28260.6,0.926043
1.03237,0,2,26388,26358.2,0.863678
2.03304,0,2,54483,28076.2,0.920002
3.03307,0,2,77276,22792.4,0.746861
4.03307,0,2,104559,27282.9,0.894008
5.03307,0,2,126063,21504,0.704641
6.03307,0,2,161246,35183,1.15288
