timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.03331,0,0,53362,53362,1.74785
2.03331,0,0,110487,57124.9,1.87187
3.03331,0,0,167721,57233.9,1.87544
4.03331,0,0,226148,58426.9,1.91453
5.03331,0,0,284786,58637.9,1.92145
6.03331,0,0,343922,59135.9,1.93777
7.03332,0,0,403086,59163.9,1.93868
8.03332,0,0,462692,59605.9,1.95317
9.03332,0,0,522098,59406,1.94661
10.0333,0,0,581730,59630.8,1.95398
11.0333,0,0,640868,59138,1.93783
12.0333,0,0,700467,59598.9,1.95294
13.0333,0,0,760141,59673.9,1.95539
14.0333,0,0,819556,59415,1.94691
15.0333,0,0,879204,59648,1.95455
16.0333,0,0,938852,59647.9,1.95454
17.0333,0,0,998500,59648,1.95455
18.0335,0,0,1058148,59639.5,1.95427
19.0335,0,0,1117540,59392,1.94616
20.0335,0,0,1176946,59405.9,1.94661
21.0335,0,0,1236594,59648,1.95454
22.0335,0,0,1296242,59648,1.95455
23.0335,0,0,1355876,59633.9,1.95408
24.0335,0,0,1415282,59406,1.94661
25.0335,0,0,1474916,59634,1.95409
26.0335,0,0,1534578,59661.9,1.955
27.0335,0,0,1594211,59633,1.95405
28.0335,0,0,1650034,55823,1.82921
29.0335,0,0,1703762,53728,1.76056
30.0335,0,0,1760656,56894,1.8643
31.0335,0,0,1808556,47899.2,1.51392
32.0335,0,0,1858525,49969,1.58514
33.0335,0,0,1909698,51173,1.62055
34.0335,0,0,1961108,51409.2,1.62415
35.0335,0,0,2012201,51093,1.62072
36.0335,0,0,2063112,50911,1.61146
37.0336,0,0,2113976,50862.2,1.6096
38.0336,0,0,2165713,51736.9,1.63663
39.0336,0,0,2219270,53557,1.70198
40.0336,0,0,2277204,57933.9,1.88601
41.0336,0,0,2333502,56296.1,1.84471
42.0336,0,0,2389536,56033.9,1.83612
43.0336,0,0,2444897,55360.9,1.81407
44.0336,0,0,2500384,55486.9,1.81819
45.0336,0,0,2557780,57395.9,1.88075
46.0336,0,0,2614156,56375.9,1.84733
47.0336,0,0,2672268,58111.9,1.90421
48.0337,0,0,2727545,55273.4,1.8112
49.0338,0,0,2783592,56040.1,1.83632
50.0338,0,0,2839328,55735.9,1.82635
51.0338,0,0,2895136,55807.9,1.82871
52.0338,0,0,2949198,54061.9,1.7715
53.0338,0,0,3007039,57840.9,1.89533
54.0339,0,0,3063150,56108.3,1.83856
55.0339,0,0,3119776,56626,1.85552
56.0339,0,0,3175686,55910,1.83206
