timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00108,0,0,200332,200326,6.3977
2.00108,0,0,373869,173537,5.52384
3.00109,0,0,547473,173602,5.52421
4.00115,0,0,736118,188634,6.02423
5.00115,0,0,964775,228657,7.36372
6.00117,0,0,1218427,253646,8.10838
7.00118,0,0,1454892,236464,7.65397
8.00118,0,0,1633732,178840,5.68624
9.00118,0,0,1827377,193645,6.17739
10.0012,0,0,2032272,204895,6.5756
11.0012,0,0,2234635,202360,6.46696
12.0012,0,0,2429696,195061,6.15735
13.0012,0,0,2618828,189132,5.96949
14.0012,0,0,2792621,173789,5.52411
15.0013,0,0,2975666,183034,5.8063
16.0013,0,0,3200789,225122,7.21761
17.0013,0,0,3397536,196747,6.3005
18.0013,0,0,3571368,173832,5.52397
19.0013,0,0,3746934,175556,5.57821
20.0013,0,0,3955912,208978,6.69628
21.0013,0,0,4200597,244685,7.88201
22.0014,0,0,4441187,240582,7.75305
23.0014,0,0,4615081,173890,5.52593
24.0014,0,0,4836036,220955,7.11296
25.0014,0,0,5081818,245782,7.95258
26.0014,0,0,5319360,237542,7.68038
27.0014,0,0,5572232,252870,8.21751
28.0015,0,0,5790953,218711,7.009
29.0015,0,0,6051589,260635,8.42548
1.00108,0,1,228779,228772,7.41111
2.00108,0,1,404182,175403,5.5698
3.00109,0,1,577598,173414,5.50942
4.00115,0,1,778671,201061,6.45334
5.00115,0,1,1025782,247111,8.01941
6.00117,0,1,1276914,251126,8.08757
7.00118,0,1,1512690,235775,7.5977
8.00118,0,1,1749667,236977,7.72836
9.00118,0,1,1986017,236350,7.68423
10.0012,0,1,2216317,230300,7.45471
11.0012,0,1,2459402,243081,7.91618
12.0012,0,1,2676068,216666,7.01188
13.0012,0,1,2896727,220659,7.14964
14.0012,0,1,3080692,183960,5.83949
15.0013,0,1,3273201,192498,6.14101
16.0013,0,1,3498081,224879,7.25593
17.0013,0,1,3688360,190279,6.03597
18.0013,0,1,3872543,184183,5.827
19.0013,0,1,4060780,188226,5.97597
20.0013,0,1,4268114,207334,6.64719
21.0013,0,1,4510174,242060,7.84352
22.0014,0,1,4747852,237670,7.67715
23.0014,0,1,4939230,191373,6.07662
24.0014,0,1,5154119,214889,6.90237
25.0014,0,1,5400785,246666,7.97262
26.0014,0,1,5638807,238022,7.69098
27.0014,0,1,5888732,249923,8.00305
28.0015,0,1,6102708,213966,6.89927
29.0015,0,1,6357514,254805,8.13569
