case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-04_16-42-19,1,1,1,8.30633,8.33473,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,2,1,1,8.28124,8.28281,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,3,1,1,9.09157,9.08913,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,4,1,1,8.08444,8.08422,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,5,1,1,8.20227,8.20389,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,6,1,1,8.92315,8.9285,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,7,1,1,8.79131,8.77632,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,8,1,1,7.92946,7.93339,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,9,1,1,8.82377,8.82648,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,10,1,1,9.15942,9.16598,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,11,1,1,8.9141,8.91571,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,12,1,1,9.01779,9.00226,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,13,1,1,6.06355,6.06486,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,14,1,1,5.81825,5.81843,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,15,1,1,5.83929,5.83782,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,16,1,1,5.83718,5.83744,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,17,1,1,5.83835,5.83851,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,18,1,1,5.83828,5.84016,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,19,1,1,5.82851,5.82739,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,20,1,1,5.83572,5.83514,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,21,1,1,5.83551,5.83657,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,22,1,1,5.83227,5.83305,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,23,1,1,5.83423,5.83341,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,24,1,1,5.83235,5.83312,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,25,1,1,5.83925,5.83693,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,26,1,1,5.83203,5.83341,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,27,1,1,5.84736,5.84589,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,28,1,1,5.84302,5.84416,6.9984213793103445,6.999093103448274
2024-10-04_16-42-19,29,1,1,5.83422,5.83399,6.9984213793103445,6.999093103448274
2024-10-04_16-42-54,1,2,1,13.808810000000001,13.8307,13.736280689655173,13.737545862068965
2024-10-04_16-42-54,2,2,1,11.09364,11.0907,13.736280689655173,13.737545862068965
