case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-04_16-51-39,1,4,1,17.19932,17.23964,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,2,4,1,19.54106,19.53564,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,3,4,1,19.75471,19.747790000000002,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,4,4,1,19.55046,19.55804,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,5,4,1,19.78435,19.79687,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,6,4,1,19.725170000000002,19.70564,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,7,4,1,19.76006,19.76948,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,8,4,1,19.68071,19.66965,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,9,4,1,19.677979999999998,19.68114,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,10,4,1,19.3996,19.40756,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,11,4,1,19.70351,19.69251,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,12,4,1,19.77374,19.78448,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,13,4,1,19.54344,19.53728,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,14,4,1,19.70957,19.7059,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,15,4,1,19.68763,19.69967,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,16,4,1,19.58059,19.56729,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,17,4,1,19.57855,19.58812,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,18,4,1,19.622439999999997,19.61225,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,19,4,1,19.71237,19.72188,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,20,4,1,19.520419999999998,19.51582,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,21,4,1,19.58813,19.58721,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,22,4,1,19.888489999999997,19.885,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,23,4,1,19.549120000000002,19.55182,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,24,4,1,19.6191,19.62155,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,25,4,1,19.74452,19.73962,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,26,4,1,19.73367,19.73856,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,27,4,1,19.77556,19.77814,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,28,4,1,19.6267,19.6391,19.57291379310345,19.57377862068965
2024-10-04_16-51-39,29,4,1,19.58353,19.56193,19.57291379310345,19.57377862068965
2024-10-04_16-52-14,1,8,2,36.850880000000004,36.88221,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,2,8,2,38.42483,38.43383,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,3,8,2,38.16035,38.16927,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,4,8,2,38.16478,38.15702,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,5,8,2,38.19104,38.1913,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,6,8,2,37.824980000000004,37.81945,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,7,8,2,37.93897,37.96308,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,8,8,2,38.16435,38.14349,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,9,8,2,38.14905,38.15379,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,10,8,2,38.06027,38.0549,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,11,8,2,38.0802,38.07965,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,12,8,2,38.042919999999995,38.062,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,13,8,2,37.97478,37.96443,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,14,8,2,38.1697,38.16108,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,15,8,2,38.02414,38.02499,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,16,8,2,38.01046,38.02602,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,17,8,2,38.30913,38.31834,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,18,8,2,37.97416,37.94842,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,19,8,2,37.72107,37.72706,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,20,8,2,37.84796,37.8632,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,21,8,2,37.68974,37.692,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,22,8,2,38.09746,38.08735,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,23,8,2,38.036970000000004,38.02384,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,24,8,2,37.97502,37.97773,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,25,8,2,37.67202,37.68049,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,26,8,2,37.88757,37.88907,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,27,8,2,38.16253,38.15369,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,28,8,2,38.16393,38.17314,37.99740034482758,37.99914068965518
2024-10-04_16-52-14,29,8,2,38.15535,38.15424,37.99740034482758,37.99914068965518
2024-10-04_16-52-49,1,16,4,71.04221,70.95378,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,2,16,4,71.72321,71.74145,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,3,16,4,71.66532,71.64365000000001,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,4,16,4,71.97264,71.99873,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,5,16,4,71.83229,71.8051,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,6,16,4,71.49873,71.50569,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,7,16,4,71.62243,71.61672,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,8,16,4,71.78832,71.79208,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,9,16,4,71.98478,71.97083,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,10,16,4,71.70735,71.71435,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,11,16,4,71.66001,71.68228,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,12,16,4,71.49463,71.49043,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,13,16,4,71.55255,71.54141,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,14,16,4,70.67627,70.65196,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,15,16,4,70.95292,70.98156,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,16,16,4,71.33214,71.35446,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,17,16,4,71.37652,71.35796,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,18,16,4,71.1915,71.17469,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,19,16,4,71.42026,71.44935,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,20,16,4,71.24663,71.22273,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,21,16,4,71.27399,71.29397,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,22,16,4,71.01951,70.98503,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,23,16,4,71.75965,71.77301,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,24,16,4,70.85031000000001,70.84499,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,25,16,4,69.94318,69.95347,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,26,16,4,70.70675,70.70407,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,27,16,4,71.48611,71.51378,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,28,16,4,71.38596,71.35328,71.35155862068966,71.34850965517242
2024-10-04_16-52-49,29,16,4,71.02903,71.03597,71.35155862068966,71.34850965517242
2024-10-04_16-53-24,1,32,8,124.46695,123.73868,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,2,32,8,124.61004,124.58461,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,3,32,8,124.48218,124.49671000000001,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,4,32,8,124.26402,124.26156999999999,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,5,32,8,124.16213,124.17065,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,6,32,8,124.43334,124.41445,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,7,32,8,124.23601000000001,124.26666,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,8,32,8,123.86157,123.82287,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,9,32,8,124.87669,124.90964,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,10,32,8,124.03650999999999,124.00379,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,11,32,8,124.74486,124.76504,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,12,32,8,124.43874,124.43132,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,13,32,8,123.83597,123.87637000000001,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,14,32,8,124.07798,124.06602,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,15,32,8,124.23483,124.2156,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,16,32,8,123.97879,123.96962,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,17,32,8,124.48737,124.50718,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,18,32,8,124.21802,124.20409000000001,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,19,32,8,124.41597,124.41923,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,20,32,8,123.90447999999999,123.91383,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,21,32,8,123.72841,123.73133,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,22,32,8,123.67903,123.64985,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,23,32,8,123.98042000000001,124.01388,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,24,32,8,123.66233,123.62638,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,25,32,8,124.36964,124.3883,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,26,32,8,124.10015,124.08569,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,27,32,8,124.15934,124.18004,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,28,32,8,123.65067,123.64623,124.16939931034483,124.14374034482759
2024-10-04_16-53-24,29,32,8,123.81614,123.80884,124.16939931034483,124.14374034482759
2024-10-04_16-53-59,1,48,12,162.22382,160.44309,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,2,48,12,164.7147,164.69427,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,3,48,12,164.55661,164.5644,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,4,48,12,164.97338,164.986,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,5,48,12,164.74803,164.71905,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,6,48,12,164.89134,164.87649,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,7,48,12,164.77221,164.78753,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,8,48,12,165.16084,165.15915999999999,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,9,48,12,165.04072,165.07318,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,10,48,12,164.96036,164.90869,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,11,48,12,164.86332,164.87506,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,12,48,12,164.90064,164.92971,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,13,48,12,164.69869,164.6855,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,14,48,12,164.92878,164.92106,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,15,48,12,164.83175,164.8225,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,16,48,12,165.08165,165.09215,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,17,48,12,165.09124,165.07509,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,18,48,12,164.97096,165.01594,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,19,48,12,164.74866,164.72037,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,20,48,12,164.88075,164.90586,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,21,48,12,164.49635,164.44197,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,22,48,12,164.73194,164.7754,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,23,48,12,164.71732,164.6663,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,24,48,12,164.6155,164.62519,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,25,48,12,164.66873,164.72472,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,26,48,12,164.91007,164.90834,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,27,48,12,164.38828,164.3547,164.72577206896554,164.66349896551725
2024-10-04_16-53-59,28,48,12,164.81609,164.83351,164.72577206896554,164.66349896551725
