timestamp,thread_id,connection_num,message_count,throughput,gbit_per_second
1,0,0,70589,70588.9,2.29749
2,0,0,141203,70613.9,2.29795
3,0,0,212361,71157.9,2.31569
4.00225,0,0,283649,71127.8,2.31463
5.00226,0,0,354673,71023.9,2.31128
6.00447,0,0,425863,71032.3,2.31157
7.00448,0,0,497093,71230,2.31802
8.00578,0,0,567893,70708,2.30107
9.00673,0,0,638831,70870.2,2.3063
10.0067,0,0,709681,70849.9,2.30565
11.0067,0,0,780499,70817.9,2.30466
12.0067,0,0,851381,70881.9,2.30668
13.0067,0,0,922601,71220,2.31764
14.0067,0,0,993463,70862,2.30601
15.0067,0,0,1064312,70848.9,2.30558
16.0092,0,0,1135165,70679.1,2.3001
17.0092,0,0,1206128,70963,2.3093
18.0092,0,0,1277174,71046,2.31199
19.0092,0,0,1348129,70955,2.30907
1,0,1,70572,70571.9,2.29698
2,0,1,141216,70643.9,2.29901
3,0,1,212373,71156.9,2.31567
4.00225,0,1,283640,71106.9,2.31402
5.00226,0,1,354696,71055.9,2.31228
6.00447,0,1,425876,71022.4,2.31119
7.00448,0,1,497091,71215,2.31751
8.00578,0,1,567898,70715,2.30132
9.00673,0,1,638817,70851.2,2.30571
10.0067,0,1,709681,70863.9,2.30618
11.0067,0,1,780490,70808.9,2.30438
12.0067,0,1,851373,70882.9,2.30668
13.0067,0,1,922582,71209,2.31727
14.0067,0,1,993501,70919,2.30789
15.0067,0,1,1064294,70792.9,2.30378
16.0092,0,1,1135165,70697,2.30071
17.0092,0,1,1206110,70945,2.30882
18.0092,0,1,1277154,71044,2.31204
19.0092,0,1,1348098,70944,2.30887
1,0,2,70585,70584.9,2.29729
2,0,2,141203,70617.9,2.29805
3,0,2,212380,71176.9,2.31628
4.00225,0,2,283638,71097.9,2.31371
5.00226,0,2,354687,71048.9,2.31209
6.00447,0,2,425872,71027.4,2.3114
7.00448,0,2,497113,71241,2.31835
8.00578,0,2,567908,70703.1,2.30079
9.00673,0,2,638838,70862.2,2.30601
10.0067,0,2,709709,70870.9,2.30631
11.0067,0,2,780483,70773.9,2.30323
12.0067,0,2,851396,70912.9,2.30773
13.0067,0,2,922608,71212,2.31741
14.0067,0,2,993496,70888,2.30687
15.0067,0,2,1064306,70809.9,2.30433
16.0092,0,2,1135173,70693.1,2.30061
17.0092,0,2,1206126,70953,2.30912
18.0092,0,2,1277183,71057,2.31238
19.0092,0,2,1348132,70949,2.30889
1,0,3,70578,70577.9,2.29708
2,0,3,141215,70636.9,2.29885
3,0,3,212366,71150.9,2.31543
4.00225,0,3,283636,71109.9,2.31408
5.00226,0,3,354649,71012.9,2.31105
6.00447,0,3,425847,71040.3,2.3119
7.00448,0,3,497101,71254,2.31889
8.00578,0,3,567870,70677.1,2.3001
9.00673,0,3,638808,70870.2,2.30632
10.0067,0,3,709677,70868.9,2.30624
11.0067,0,3,780462,70784.9,2.30365
12.0067,0,3,851396,70933.9,2.30833
13.0067,0,3,922567,71171,2.31609
14.0067,0,3,993483,70916,2.30782
15.0067,0,3,1064271,70787.9,2.30359
16.0092,0,3,1135132,70687.1,2.30046
17.0092,0,3,1206073,70941,2.30868
18.0092,0,3,1277146,71073,2.31293
19.0092,0,3,1348110,70964,2.30937
1,0,4,70604,70603.9,2.29791
2,0,4,141217,70612.9,2.29788
3,0,4,212370,71152.9,2.31547
4.00225,0,4,283662,71131.8,2.31481
5.00226,0,4,354706,71043.9,2.31194
6.00447,0,4,425869,71005.4,2.31064
7.00448,0,4,497117,71248,2.31858
8.00578,0,4,567894,70685.1,2.30024
9.00673,0,4,638839,70877.2,2.30654
10.0067,0,4,709702,70862.9,2.30606
11.0067,0,4,780506,70803.9,2.30423
12.0067,0,4,851403,70896.9,2.30721
13.0067,0,4,922601,71198,2.31699
14.0067,0,4,993503,70902,2.3074
15.0067,0,4,1064315,70811.9,2.30445
16.0092,0,4,1135170,70681.1,2.30016
17.0092,0,4,1206124,70954,2.30905
18.0092,0,4,1277170,71046,2.31198
19.0092,0,4,1348120,70950,2.30897
1,0,5,70589,70588.9,2.29748
2,0,5,141230,70640.9,2.29879
3,0,5,212386,71155.9,2.31563
4.00225,0,5,283641,71094.9,2.31356
5.00226,0,5,354692,71050.9,2.3121
6.00447,0,5,425873,71023.4,2.31135
7.00448,0,5,497104,71231,2.31798
8.00578,0,5,567908,70712,2.30114
9.00673,0,5,638840,70864.2,2.30609
10.0067,0,5,709713,70872.9,2.3064
11.0067,0,5,780505,70791.9,2.30373
12.0067,0,5,851400,70894.9,2.30712
13.0067,0,5,922619,71219,2.3176
14.0067,0,5,993509,70890,2.30689
15.0067,0,5,1064316,70806.9,2.30423
16.0092,0,5,1135161,70671.1,2.29997
17.0092,0,5,1206125,70964,2.30937
18.0092,0,5,1277176,71051,2.31219
19.0092,0,5,1348158,70982,2.30997
1,0,6,70587,70586.9,2.29739
2,0,6,141237,70649.9,2.29924
3,0,6,212381,71143.9,2.31531
4.00225,0,6,283635,71093.9,2.31358
5.00226,0,6,354698,71062.9,2.31256
6.00447,0,6,425848,70992.4,2.31033
7.00448,0,6,497101,71253,2.31882
8.00578,0,6,567871,70678.1,2.30017
9.00673,0,6,638805,70866.2,2.30623
10.0067,0,6,709695,70889.9,2.30689
11.0067,0,6,780481,70785.9,2.30363
12.0067,0,6,851403,70921.9,2.30794
13.0067,0,6,922594,71191,2.31674
14.0067,0,6,993490,70896,2.30713
15.0067,0,6,1064273,70782.9,2.3034
16.0092,0,6,1135147,70700,2.30083
17.0092,0,6,1206111,70964,2.30932
18.0092,0,6,1277158,71047,2.312
19.0092,0,6,1348130,70972,2.30964
1,0,7,70587,70586.9,2.29744
2,0,7,141226,70638.9,2.29876
3,0,7,212379,71152.9,2.31551
4.00225,0,7,283632,71092.9,2.3135
5.00226,0,7,354688,71055.9,2.31243
6.00447,0,7,425857,71011.4,2.31088
7.00448,0,7,497092,71235,2.31815
8.00578,0,7,567901,70717,2.30131
9.00673,0,7,638839,70870.2,2.30623
10.0067,0,7,709708,70868.9,2.30632
11.0067,0,7,780489,70780.9,2.30337
12.0067,0,7,851414,70924.9,2.30803
13.0067,0,7,922602,71188,2.31664
14.0067,0,7,993501,70899,2.30716
15.0067,0,7,1064306,70804.9,2.30421
16.0092,0,7,1135155,70675.1,2.29991
17.0092,0,7,1206121,70966,2.30946
18.0092,0,7,1277176,71055,2.3124
19.0092,0,7,1348143,70967,2.30943
