timestamp,thread_id,connection_num,message_count,throughput,gbit_per_second
1,0,0,152394,152394,4.98102
2.00101,0,0,304442,151895,4.96424
3.00101,0,0,456524,152082,4.97008
4.00101,0,0,608338,151814,4.96154
5.00366,0,0,760485,151745,4.95836
6.00478,0,0,912700,152044,4.96824
7.00478,0,0,1064661,151961,4.96594
8.00478,0,0,1216556,151895,4.96307
9.00478,0,0,1368627,152071,4.96886
10.0048,0,0,1520633,152006,4.96628
11.0048,0,0,1672695,152062,4.96847
12.0071,0,0,1824577,151528,4.95104
13.0086,0,0,1976897,152094,4.96947
14.0086,0,0,2128759,151862,4.96209
15.0086,0,0,2280901,152142,4.97098
16.0092,0,0,2432765,151767,4.95933
17.0092,0,0,2584726,151961,4.96613
18.0094,0,0,2736538,151793,4.95998
19.0094,0,0,2888745,152207,4.97335
1,0,1,152440,152440,4.98247
2.00101,0,1,304340,151747,4.96004
3.00101,0,1,456406,152066,4.97107
4.00101,0,1,608159,151753,4.96044
5.00366,0,1,760215,151655,4.95711
6.00478,0,1,912454,152068,4.97074
7.00478,0,1,1064467,152013,4.96802
8.00478,0,1,1216259,151792,4.96183
9.00478,0,1,1368232,151973,4.96754
10.0048,0,1,1520155,151923,4.96554
11.0048,0,1,1672166,152011,4.96863
12.0071,0,1,1823950,151430,4.94996
13.0086,0,1,1976252,152076,4.97128
14.0086,0,1,2128226,151974,4.96735
15.0086,0,1,2280174,151948,4.96651
16.0092,0,1,2431910,151639,4.95635
17.0092,0,1,2583936,152026,4.96997
18.0094,0,1,2735603,151648,4.95739
19.0094,0,1,2887771,152168,4.97419
1,0,2,143283,143283,4.68753
2.00101,0,2,285059,141633,4.63313
3.00101,0,2,426896,141837,4.63955
4.00101,0,2,568448,141552,4.63062
5.00366,0,2,710577,141754,4.63684
6.00478,0,2,852897,142160,4.65094
7.00478,0,2,994525,141628,4.63319
8.00478,0,2,1136072,141547,4.63092
9.00478,0,2,1277762,141690,4.63574
10.0048,0,2,1419293,141531,4.63037
11.0048,0,2,1561158,141865,4.64106
12.0071,0,2,1702645,141157,4.61812
13.0086,0,2,1844525,141669,4.63521
14.0086,0,2,1986058,141533,4.63037
15.0086,0,2,2127841,141783,4.63897
16.0092,0,2,2269297,141366,4.62404
17.0092,0,2,2410947,141650,4.6344
18.0094,0,2,2553066,142102,4.64871
19.0094,0,2,2694516,141450,4.62778
1,0,3,143307,143307,4.68716
2.00101,0,3,285063,141613,4.63163
3.00101,0,3,426868,141805,4.6377
4.00101,0,3,568303,141435,4.62644
5.00366,0,3,710643,141964,4.64334
6.00478,0,3,852965,142162,4.6499
7.00478,0,3,994529,141564,4.63057
8.00478,0,3,1136023,141494,4.62806
9.00478,0,3,1277868,141845,4.63885
10.0048,0,3,1419440,141572,4.63018
11.0048,0,3,1561359,141919,4.6416
12.0071,0,3,1702851,141162,4.61681
13.0086,0,3,1844624,141563,4.6299
14.0086,0,3,1986357,141733,4.63589
15.0086,0,3,2128183,141826,4.63869
16.0092,0,3,2269750,141477,4.62735
17.0092,0,3,2411303,141553,4.63042
18.0094,0,3,2553177,141857,4.64025
19.0094,0,3,2694946,141769,4.6368
1.00001,1,0,143369,143367,4.68912
2.00002,1,0,284989,141620,4.63243
3.00002,1,0,426581,141592,4.63233
4.00192,1,0,568427,141577,4.6318
5.00192,1,0,710660,142233,4.65262
6.00192,1,0,852793,142133,4.64927
7.00192,1,0,994196,141403,4.62582
8.00192,1,0,1135618,141422,4.62617
9.00192,1,0,1277182,141564,4.63042
10.0019,1,0,1419034,141852,4.64014
