timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00289,0,0,137792,137791,4.50382
2.00289,0,0,268013,130221,4.24833
3.00289,0,0,407574,139561,4.56425
4.00289,0,0,550829,143255,4.68758
5.00289,0,0,678271,127442,4.16401
6.00289,0,0,809317,131046,4.27566
7.00289,0,0,937376,128059,4.18713
8.00291,0,0,1053969,116590,3.81113
9.00291,0,0,1176694,122725,3.98598
10.0029,0,0,1310779,134085,4.37334
11.003,0,0,1434784,124000,4.05717
12.003,0,0,1551947,117163,3.81814
13.003,0,0,1660617,108668,3.54424
14.003,0,0,1770530,109910,3.59542
15.003,0,0,1888744,118214,3.86741
16.003,0,0,1998500,109756,3.59473
17.003,0,0,2107286,108786,3.55826
18.003,0,0,2213425,106138,3.47116
19.003,0,0,2323878,110453,3.60929
1.00289,0,1,135220,135219,4.40457
2.00289,0,1,264498,129278,4.20894
3.00289,0,1,402386,137888,4.49578
4.00289,0,1,545024,142638,4.66123
5.00289,0,1,659955,114931,3.69572
6.00289,0,1,788835,128880,4.19312
7.00289,0,1,913464,124629,4.06053
8.00291,0,1,1026308,112841,3.65523
9.00291,0,1,1151883,125575,4.08187
10.0029,0,1,1286724,134841,4.39623
11.003,0,1,1411363,124634,4.0816
12.003,0,1,1531126,119763,3.92113
13.003,0,1,1627649,96521.3,3.04553
14.003,0,1,1724026,96373.9,3.03878
15.003,0,1,1820418,96391.9,3.03787
16.003,0,1,1916837,96419,3.03776
17.003,0,1,2013185,96348,3.03713
18.003,0,1,2109562,96376.5,3.03871
19.003,0,1,2216817,107255,3.46829
1.00289,0,2,138584,138583,4.53063
2.00289,0,2,270309,131725,4.30232
3.00289,0,2,410490,140181,4.57895
4.00289,0,2,554426,143936,4.71247
5.00289,0,2,682265,127839,4.17784
6.00289,0,2,814766,132501,4.32066
7.00289,0,2,943272,128506,4.20337
8.00291,0,2,1060031,116756,3.81786
9.00291,0,2,1184722,124691,4.05956
10.0029,0,2,1320007,135285,4.41593
11.003,0,2,1421438,101427,3.21386
12.003,0,2,1517834,96395.9,3.0383
13.003,0,2,1614168,96332.3,3.0382
14.003,0,2,1710525,96353.9,3.03847
15.003,0,2,1826407,115882,3.76866
16.003,0,2,1933156,106749,3.46409
17.003,0,2,2029513,96357,3.03733
18.003,0,2,2125885,96371.5,3.03903
19.003,0,2,2222234,96348.9,3.03788
1.00289,0,3,139511,139510,4.56502
2.00289,0,3,267206,127695,4.15064
3.00289,0,3,407571,140365,4.59163
4.00289,0,3,550373,142802,4.66599
5.00289,0,3,677432,127059,4.15053
6.00289,0,3,809502,132070,4.30596
7.00289,0,3,926709,117207,3.77561
8.00291,0,3,1023281,96569.9,3.03725
9.00291,0,3,1150033,126752,4.12799
10.0029,0,3,1285129,135096,4.40907
11.003,0,3,1409498,124364,4.07014
12.003,0,3,1528646,119148,3.89416
13.003,0,3,1638703,110055,3.60156
14.003,0,3,1748133,109427,3.57443
15.003,0,3,1866007,117874,3.85159
16.003,0,3,1962354,96347,3.03791
17.003,0,3,2066038,103684,3.33577
18.003,0,3,2162331,96292.5,3.03833
19.003,0,3,2263570,101239,3.22145
1.00189,1,0,140090,140090,4.5742
