case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-05_06-28-09,5,8,2,33.69944,33.70494,32.98852363636363,32.98830272727273
2024-10-05_06-28-09,6,8,2,35.78347,35.7872,32.98852363636363,32.98830272727273
2024-10-05_06-28-09,7,8,2,34.58479,34.58312,32.98852363636363,32.98830272727273
2024-10-05_06-28-09,8,8,2,33.51371,33.5229,32.98852363636363,32.98830272727273
2024-10-05_06-28-09,9,8,2,33.77052,33.75613,32.98852363636363,32.98830272727273
2024-10-05_06-28-09,10,8,2,36.48595,36.49085,32.98852363636363,32.98830272727273
2024-10-05_06-28-09,11,8,2,32.73628,32.7399,32.98852363636363,32.98830272727273
2024-10-05_06-28-09,12,8,2,33.13397,33.12391,32.98852363636363,32.98830272727273
2024-10-05_06-28-09,13,8,2,31.408189999999998,31.40913,32.98852363636363,32.98830272727273
2024-10-05_06-28-09,14,8,2,28.109939999999998,28.12315,32.98852363636363,32.98830272727273
2024-10-05_06-28-09,15,8,2,29.6475,29.6301,32.98852363636363,32.98830272727273
