timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00057,0,0,198954,198950,4.95545
2.00062,0,0,374912,175950,4.95363
3.00064,0,0,539539,164623,4.89829
4.00064,0,0,700425,160886,4.83613
5.00064,0,0,889688,189263,4.92015
6.00064,0,0,1059511,169823,4.86883
7.00064,0,0,1225535,166023,4.94705
8.00064,0,0,1380069,154534,4.59381
9.00082,0,0,1541526,161429,4.84978
10.0009,0,0,1710678,169140,4.89179
11.0009,0,0,1875714,165035,4.93513
12.0009,0,0,2038625,162907,4.84332
13.0009,0,0,2201951,163322,4.90621
14.001,0,0,2367511,165557,4.96018
15.001,0,0,2533178,165667,4.96024
16.001,0,0,2701118,167940,4.85406
17.0012,0,0,2879542,178390,4.8638
18.0012,0,0,3036071,156518,4.71795
19.0013,0,0,3201523,165440,4.93991
