case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-05_09-35-48,5,1,1,4.90825,4.90386,4.845062727272727,4.844947272727272
2024-10-05_09-35-48,6,1,1,4.16534,4.16537,4.845062727272727,4.844947272727272
2024-10-05_09-35-48,7,1,1,4.91276,4.91657,4.845062727272727,4.844947272727272
2024-10-05_09-35-48,8,1,1,4.96096,4.96077,4.845062727272727,4.844947272727272
2024-10-05_09-35-48,9,1,1,4.96075,4.96085,4.845062727272727,4.844947272727272
2024-10-05_09-35-48,10,1,1,4.96139,4.96195,4.845062727272727,4.844947272727272
2024-10-05_09-35-48,11,1,1,4.88693,4.88649,4.845062727272727,4.844947272727272
2024-10-05_09-35-48,12,1,1,4.89518,4.89524,4.845062727272727,4.844947272727272
2024-10-05_09-35-48,13,1,1,4.9614,4.96084,4.845062727272727,4.844947272727272
2024-10-05_09-35-48,14,1,1,4.80172,4.79949,4.845062727272727,4.844947272727272
2024-10-05_09-35-48,15,1,1,4.88101,4.88299,4.845062727272727,4.844947272727272
