timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00611,0,0,112431,112428,3.60505
2.00673,0,0,248222,135707,4.37448
3.00683,0,0,405006,156768,4.96682
4.00723,0,0,558578,153511,4.91029
5.00763,0,0,705882,147244,4.72538
6.00782,0,0,859257,153346,4.89926
7.00787,0,0,1004926,145662,4.6792
8.00794,0,0,1155121,150185,4.83033
9.00801,0,0,1300514,145382,4.68125
10.008,0,0,1441112,140598,4.51953
11.0084,0,0,1565390,124224,3.99903
12.009,0,0,1684870,119419,3.84934
13.0098,0,0,1822771,137779,4.38763
14.0101,0,0,1956796,133992,4.31229
15.0105,0,0,2093346,136488,4.38553
16.0106,0,0,2232468,139118,4.46456
17.0107,0,0,2382635,150151,4.73193
18.0107,0,0,2537339,154704,4.82916
19.0108,0,0,2688002,150641,4.84004
20.0109,0,0,2842112,154100,4.94048
21.0114,0,0,2995159,152966,4.85702
22.012,0,0,3141542,146298,4.71252
23.0122,0,0,3288746,147174,4.73842
24.0122,0,0,3442565,153819,4.96752
25.0123,0,0,3591338,148761,4.82528
26.0123,0,0,3742243,150905,4.87545
27.0125,0,0,3893395,151122,4.86141
28.0127,0,0,4051877,158444,4.95427
29.0128,0,0,4200094,148207,4.7519
30.0129,0,0,4347264,147148,4.73561
31.0133,0,0,4494824,147504,4.74297
32.0134,0,0,4642613,147783,4.7407
33.0135,0,0,4789533,146892,4.70335
34.0138,0,0,4935565,145990,4.69787
35.0142,0,0,5081820,146208,4.71123
36.0142,0,0,5233487,151665,4.78572
37.0147,0,0,5379914,146356,4.6455
38.0148,0,0,5533052,153124,4.83309
39.015,0,0,5692564,159478,4.96236
40.015,0,0,5842772,150206,4.7853
41.015,0,0,5996697,153921,4.86892
42.0152,0,0,6156195,159468,4.96226
43.0155,0,0,6295432,139197,4.39248
44.0157,0,0,6443151,147687,4.68024
45.0159,0,0,6602691,159508,4.96627
46.0161,0,0,6754663,151936,4.82988
47.017,0,0,6905318,150519,4.84018
48.0171,0,0,7050423,145092,4.65471
49.0173,0,0,7177484,127041,4.05762
50.0174,0,0,7314780,137276,4.35003
51.018,0,0,7469766,154894,4.83544
52.0183,0,0,7608546,138743,4.46101
53.0187,0,0,7759520,150914,4.84966
54.0189,0,0,7912362,152802,4.88317
55.0192,0,0,8067707,155309,4.84163
56.0194,0,0,8216220,148474,4.76662
57.02,0,0,8368301,151998,4.88097
58.0201,0,0,8515122,146808,4.69124
59.0201,0,0,8664232,149104,4.77724
1.00613,1,0,156114,156073,4.96706
2.00613,1,0,270610,114496,3.66732
3.00643,1,0,405014,134364,4.29418
4.00646,1,0,531419,126402,4.04463
5.00647,1,0,647189,115769,3.71044
6.00656,1,0,784460,137258,4.36556
7.00712,1,0,922128,137590,4.37402
8.00724,1,0,1046006,123864,3.96762
9.00731,1,0,1170537,124522,3.96576
10.0073,1,0,1279631,109094,3.48553
11.0074,1,0,1424700,145050,4.62689
12.0076,1,0,1568523,143804,4.59388
13.0078,1,0,1725933,157376,4.90153
14.0079,1,0,1885384,159436,4.96539
15.0079,1,0,2018077,132688,4.24208
16.008,1,0,2137552,119464,3.7933
17.0081,1,0,2251821,114259,3.62397
18.0081,1,0,2378305,126482,4.01308
19.0084,1,0,2513515,135173,4.29762
20.0085,1,0,2650759,137225,4.38942
21.0087,1,0,2783519,132738,4.24549
22.0088,1,0,2914610,131079,4.18015
23.0091,1,0,3053067,138414,4.39818
24.0094,1,0,3188406,135305,4.31928
25.0096,1,0,3323619,135183,4.29686
26.0101,1,0,3448368,124685,3.98704
27.0103,1,0,3576661,128271,4.10468
28.0107,1,0,3708407,131683,4.21662
29.0109,1,0,3845333,136910,4.37098
30.011,1,0,3980571,135215,4.32112
31.0111,1,0,4107370,126784,4.03073
32.0114,1,0,4228539,121140,3.8619
33.0114,1,0,4360799,132254,4.245
34.0116,1,0,4483307,122488,3.90527
35.0116,1,0,4603843,120531,3.86465
36.0122,1,0,4706146,102246,3.24208
37.0122,1,0,4801880,95734,3.0269
38.0122,1,0,4918237,116352,3.70081
39.0124,1,0,5061678,143419,4.57476
40.0124,1,0,5210469,148791,4.74469
41.0124,1,0,5347255,136785,4.34603
42.0124,1,0,5465272,118011,3.75838
43.0128,1,0,5603305,137990,4.34457
44.0128,1,0,5744918,141613,4.5157
45.0132,1,0,5884719,139743,4.45493
46.0136,1,0,6009117,124346,3.97491
47.0141,1,0,6122874,113699,3.62694
48.0143,1,0,6241114,118215,3.7633
49.0146,1,0,6347893,106746,3.37516
50.0146,1,0,6455706,107813,3.42959
51.0148,1,0,6598390,142656,4.52217
52.0149,1,0,6752674,154267,4.82398
53.0152,1,0,6887589,134883,4.29278
54.0153,1,0,7024262,136661,4.35306
55.0153,1,0,7169959,145697,4.62782
56.0153,1,0,7311009,141045,4.49433
57.0153,1,0,7449011,137994,4.40331
58.0155,1,0,7575009,125976,4.01746
59.0155,1,0,7715607,140598,4.5021
1.00626,2,0,157525,157499,4.96641
2.00628,2,0,313900,156372,4.96212
3.00655,2,0,470335,156392,4.96536
4.0066,2,0,627011,156668,4.96628
5.00675,2,0,783397,156364,4.96316
6.00686,2,0,939768,156353,4.9635
7.0071,2,0,1096214,156409,4.96432
8.00713,2,0,1252693,156474,4.96473
9.0073,2,0,1409054,156334,4.96702
10.0073,2,0,1565244,156188,4.96416
11.0074,2,0,1721498,156240,4.96321
12.0074,2,0,1877884,156386,4.96597
13.0076,2,0,2034100,156192,4.96343
14.0077,2,0,2190329,156212,4.96409
15.0077,2,0,2346617,156274,4.96534
16.008,2,0,2502803,156148,4.9645
17.008,2,0,2658871,156065,4.96482
18.0083,2,0,2815044,156132,4.96528
19.0083,2,0,2971186,156142,4.96394
20.0083,2,0,3127423,156237,4.96637
21.0083,2,0,3283483,156050,4.96182
22.0084,2,0,3439723,156236,4.96476
23.0085,2,0,3595964,156222,4.96392
24.0086,2,0,3752502,156524,4.96551
25.0086,2,0,3909015,156510,4.96457
26.0087,2,0,4065366,156334,4.96448
27.0088,2,0,4221618,156233,4.96407
28.009,2,0,4377938,156298,4.96635
29.0091,2,0,4534246,156289,4.96258
30.0092,2,0,4690636,156367,4.96641
31.0093,2,0,4846940,156299,4.96332
32.0093,2,0,5003285,156338,4.96533
33.0093,2,0,5159633,156345,4.96434
34.0096,2,0,5315993,156326,4.96442
35.0096,2,0,5472317,156319,4.96598
36.0096,2,0,5628686,156369,4.9634
37.0096,2,0,5785080,156394,4.9653
38.0096,2,0,5941532,156447,4.96503
39.0098,2,0,6097904,156340,4.96239
40.0098,2,0,6254273,156368,4.96656
41.0098,2,0,6410593,156319,4.96311
42.0101,2,0,6566968,156336,4.96563
43.0102,2,0,6723342,156361,4.96519
44.0102,2,0,6879591,156245,4.9637
45.0108,2,0,7035972,156294,4.96374
46.0109,2,0,7192402,156410,4.96493
47.011,2,0,7348739,156314,4.96461
48.0113,2,0,7505074,156298,4.96417
49.0113,2,0,7661510,156430,4.96671
50.0116,2,0,7817834,156284,4.96466
51.0118,2,0,7974135,156256,4.9635
52.0121,2,0,8130374,156202,4.9646
53.0123,2,0,8286639,156227,4.96543
54.0125,2,0,8442817,156154,4.96432
55.0125,2,0,8598851,156024,4.96404
56.0125,2,0,8755117,156264,4.96429
57.0127,2,0,8911315,156180,4.96601
58.0127,2,0,9067548,156220,4.96375
59.0131,2,0,9223783,156186,4.96443
1.00615,3,0,156599,156585,4.96345
2.00644,3,0,249233,92607.4,2.91605
3.00644,3,0,358401,109168,3.46845
4.00652,3,0,505893,147479,4.71734
5.00652,3,0,652942,147049,4.70487
6.00661,3,0,802476,149521,4.78188
7.00682,3,0,953314,150807,4.81249
8.00719,3,0,1101412,148042,4.70697
9.00721,3,0,1216262,114849,3.6718
10.0073,3,0,1370709,154430,4.96388
11.0074,3,0,1524949,154227,4.95026
12.0078,3,0,1679556,154549,4.96488
13.0078,3,0,1820420,140856,4.50588
14.0082,3,0,1949247,128779,4.12819
15.0082,3,0,2094297,145046,4.62845
16.0082,3,0,2243118,148821,4.78901
17.0083,3,0,2385568,142438,4.57848
18.0085,3,0,2534495,148903,4.73907
19.0085,3,0,2688156,153652,4.86546
20.0089,3,0,2810821,122622,3.8954
21.009,3,0,2945253,134415,4.31737
22.0091,3,0,3097869,152601,4.83651
23.0091,3,0,3211223,113351,3.58631
24.0092,3,0,3369712,158476,4.9632
25.0092,3,0,3527181,157465,4.96478
26.0094,3,0,3683926,156721,4.96172
27.0094,3,0,3841181,157251,4.96619
28.0098,3,0,3994576,153332,4.76924
29.01,3,0,4105103,110510,3.50428
30.01,3,0,4245941,140838,4.49615
31.01,3,0,4386029,140084,4.47183
32.0101,3,0,4517214,131170,4.18009
33.0105,3,0,4651996,134730,4.30081
34.0105,3,0,4790959,138963,4.42118
35.0106,3,0,4928002,137029,4.3695
36.0107,3,0,5084795,156784,4.93501
37.0108,3,0,5238805,153997,4.86547
38.011,3,0,5319600,80776.7,2.53944
39.0111,3,0,5477444,157833,4.96526
40.0112,3,0,5634402,156943,4.96377
41.0114,3,0,5790604,156169,4.94706
42.0114,3,0,5948001,157385,4.96342
43.0115,3,0,6092844,144838,4.56173
44.0117,3,0,6191351,98481.7,3.11868
45.0119,3,0,6309966,118591,3.76466
46.0122,3,0,6452120,142115,4.48969
47.0122,3,0,6517748,65625.6,2.0486
48.0123,3,0,6608756,91006.3,2.85279
49.0123,3,0,6756697,147934,4.67965
50.0125,3,0,6863616,106904,3.40429
51.0125,3,0,6972291,108672,3.44876
52.0126,3,0,7087889,115587,3.66721
53.0128,3,0,7247342,159420,4.96145
54.0131,3,0,7404331,156946,4.96743
55.0131,3,0,7559402,155059,4.84942
56.0135,3,0,7661426,101983,3.22357
57.0139,3,0,7805744,144264,4.61726
58.014,3,0,7962816,157052,4.96507
59.0141,3,0,8097216,134398,4.26788
1.00644,4,0,129160,129113,4.11946
2.0065,4,0,282985,153816,4.96414
3.00653,4,0,373055,90067.3,2.83936
4.00653,4,0,464711,91656,2.8862
5.00675,4,0,620658,155914,4.96288
6.00686,4,0,776652,155976,4.96423
7.00695,4,0,932313,155648,4.95618
8.00701,4,0,1088300,155977,4.96446
9.00723,4,0,1244246,155912,4.96328
10.0072,4,0,1400261,156014,4.96559
11.0073,4,0,1556201,155926,4.96405
12.0074,4,0,1712212,155999,4.96501
13.0076,4,0,1853409,141165,4.49576
14.0077,4,0,1992847,139423,4.44137
15.0078,4,0,2146766,153914,4.89975
16.0078,4,0,2302763,155997,4.96506
17.0078,4,0,2458712,155940,4.9641
18.0079,4,0,2614755,156025,4.96476
19.0079,4,0,2766584,151826,4.8657
20.008,4,0,2920575,153982,4.96462
21.0081,4,0,3054117,133534,4.28375
22.0081,4,0,3208084,153960,4.96359
23.0081,4,0,3347549,139462,4.47749
24.0082,4,0,3435709,88153,2.77719
25.0082,4,0,3575072,139363,4.45898
26.0083,4,0,3729680,154598,4.96135
27.0083,4,0,3884172,154487,4.96478
28.0086,4,0,4007542,123338,3.9236
29.0087,4,0,4156779,149219,4.78666
30.0087,4,0,4311957,155174,4.9672
31.0087,4,0,4464773,152816,4.87137
32.0088,4,0,4620577,155793,4.96466
33.0089,4,0,4762664,142074,4.54325
34.0089,4,0,4916676,154012,4.94949
35.0091,4,0,5071261,154557,4.96438
36.0091,4,0,5261630,190368,4.8272
37.0091,4,0,5464707,203075,4.96465
38.0091,4,0,5666909,202194,4.96232
39.0092,4,0,5868973,202053,4.9649
40.0092,4,0,6052477,183496,4.96328
41.0093,4,0,6207477,154991,4.942
42.0093,4,0,6363289,155805,4.96538
43.0094,4,0,6514822,151512,4.82997
44.0095,4,0,6670643,155811,4.96496
45.0095,4,0,6826386,155743,4.96352
46.0095,4,0,6982135,155744,4.96449
47.0096,4,0,7137934,155796,4.96509
48.0097,4,0,7293150,155196,4.94931
49.0098,4,0,7447598,154436,4.9645
50.0102,4,0,7592025,144370,4.6335
51.0102,4,0,7689975,97947.5,3.1
52.0102,4,0,7831598,141621,4.52785
53.0102,4,0,7985786,154188,4.96511
54.0103,4,0,8134418,148618,4.77458
55.0104,4,0,8268268,133838,4.26153
56.0104,4,0,8424276,156002,4.96426
57.0104,4,0,8579715,155438,4.94929
58.0109,4,0,8733588,153808,4.95842
59.0109,4,0,8904500,170912,4.96516
1.00631,5,0,158157,158125,4.96604
2.00641,5,0,315631,157458,4.96547
3.00651,5,0,474845,159198,4.96405
4.00665,5,0,634185,159319,4.96192
5.007,5,0,792682,158441,4.96712
6.00725,5,0,950704,157983,4.96418
7.00725,5,0,1108202,157498,4.96194
8.00725,5,0,1265890,157688,4.96573
9.00725,5,0,1423158,157268,4.96435
10.0074,5,0,1582495,159315,4.96362
11.0075,5,0,1740393,157888,4.96556
12.0076,5,0,1898401,157991,4.96117
13.0079,5,0,2056696,158248,4.96736
14.008,5,0,2214330,157608,4.96439
15.0082,5,0,2372428,158066,4.96505
16.0086,5,0,2529973,157487,4.96414
17.0088,5,0,2688729,158715,4.96393
18.0089,5,0,2848521,159781,4.9646
19.0092,5,0,3006719,158155,4.96404
20.0094,5,0,3165076,158328,4.96547
21.0094,5,0,3323515,158432,4.96316
22.0096,5,0,3481474,157922,4.9662
