case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-06_04-54-40,5,1,1,4.96521,4.96464,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,6,1,1,4.96478,4.9644,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,7,1,1,4.96471,4.96467,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,8,1,1,4.96428,4.96463,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,9,1,1,4.96452,4.96454,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,10,1,1,4.96514,4.96473,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,11,1,1,4.96447,4.96459,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,12,1,1,4.96353,4.96484,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,13,1,1,4.96498,4.96452,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,14,1,1,4.96483,4.96426,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,15,1,1,4.96591,4.96484,4.964729166666666,4.964580000000001
2024-10-06_04-54-40,16,1,1,4.96439,4.9643,4.964729166666666,4.964580000000001
2024-10-06_04-55-03,5,4,1,19.78353,19.79093,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,6,4,1,19.66684,19.69489,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,7,4,1,19.71647,19.67219,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,8,4,1,19.6647,19.67092,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,9,4,1,19.774279999999997,19.75091,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,10,4,1,19.75834,19.80852,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,11,4,1,19.6911,19.66732,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,12,4,1,19.74169,19.79451,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,13,4,1,19.72459,19.656100000000002,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,14,4,1,19.65132,19.64628,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,15,4,1,19.62254,19.68704,19.716504166666663,19.714677499999997
2024-10-06_04-55-03,16,4,1,19.80265,19.73652,19.716504166666663,19.714677499999997
2024-10-06_04-55-26,5,8,1,20.23768,20.23808,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,6,8,1,20.22846,20.22876,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,7,8,1,20.14778,20.147689999999997,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,8,8,1,20.21627,20.216540000000002,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,9,8,1,20.24946,20.248910000000002,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,10,8,1,20.2226,20.22299,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,11,8,1,20.17399,20.173560000000002,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,12,8,1,20.55501,20.60253,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,13,8,1,19.95037,20.37182,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,14,8,1,19.79262,19.75836,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,15,8,1,19.782429999999998,19.79341,20.112030833333332,20.153130000000004
2024-10-06_04-55-26,16,8,1,19.7877,19.83491,20.112030833333332,20.153130000000004
2024-10-06_04-55-49,5,12,1,19.13068,19.10529,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,6,12,1,19.14714,19.15126,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,7,12,1,19.15536,19.18929,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,8,12,1,19.13671,19.15669,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,9,12,1,19.14236,19.11535,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,10,12,1,19.15524,19.13497,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,11,12,1,19.13346,19.11398,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,12,12,1,19.11916,19.14532,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,13,12,1,19.13348,19.09776,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,14,12,1,19.144840000000002,19.14644,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,15,12,1,19.137990000000002,19.13425,19.138459166666667,19.136552500000004
2024-10-06_04-55-49,16,12,1,19.12509,19.14803,19.138459166666667,19.136552500000004
2024-10-06_04-56-12,5,16,1,17.94242,17.94352,17.97365,17.973636666666668
2024-10-06_04-56-12,6,16,1,17.90119,17.90839,17.97365,17.973636666666668
2024-10-06_04-56-12,7,16,1,17.65985,17.65786,17.97365,17.973636666666668
2024-10-06_04-56-12,8,16,1,17.73396,17.732,17.97365,17.973636666666668
2024-10-06_04-56-12,9,16,1,18.01489,18.01004,17.97365,17.973636666666668
2024-10-06_04-56-12,10,16,1,17.94048,17.93174,17.97365,17.973636666666668
2024-10-06_04-56-12,11,16,1,17.87413,17.87268,17.97365,17.973636666666668
2024-10-06_04-56-12,12,16,1,17.8545,17.85595,17.97365,17.973636666666668
2024-10-06_04-56-12,13,16,1,17.98853,17.98811,17.97365,17.973636666666668
2024-10-06_04-56-12,14,16,1,18.06902,18.070439999999998,17.97365,17.973636666666668
2024-10-06_04-56-12,15,16,1,18.349809999999998,18.35404,17.97365,17.973636666666668
2024-10-06_04-56-12,16,16,1,18.35502,18.35887,17.97365,17.973636666666668
