timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00125,0,0,83840,83839.2,2.74985
2.00125,0,0,168101,84260.6,2.76375
3.00126,0,0,252438,84336,2.76622
4.00127,0,0,336574,84135.1,2.75963
5.00128,0,0,420288,83713.5,2.7458
6.00129,0,0,504717,84428.4,2.76925
7.0013,0,0,589276,84558,2.7735
8.00131,0,0,673378,84101.2,2.75852
9.00131,0,0,756888,83510,2.73913
10.0013,0,0,840293,83404.4,2.73567
11.0013,0,0,923804,83510.8,2.73915
12.0013,0,0,1007602,83797.9,2.74857
13.0013,0,0,1091305,83702.9,2.74545
14.0013,0,0,1175130,83824.5,2.74944
15.0013,0,0,1259129,83998.9,2.75516
16.0013,0,0,1342256,83126.2,2.72654
17.0013,0,0,1424937,82680.9,2.71193
18.0013,0,0,1508837,83899.5,2.7519
19.0014,0,0,1591970,83132.3,2.72674
20.0014,0,0,1676149,84178.7,2.76106
1.00125,0,1,83879,83878.2,2.75104
2.00125,0,1,168140,84260.6,2.76375
3.00126,0,1,252477,84336,2.76622
4.00127,0,1,336613,84135.1,2.75963
5.00128,0,1,420327,83713.5,2.7458
6.00129,0,1,504756,84428.4,2.76925
7.0013,0,1,589315,84558,2.7735
8.00131,0,1,673417,84101.2,2.75852
9.00131,0,1,756927,83510,2.73913
10.0013,0,1,840332,83404.4,2.73567
11.0013,0,1,923843,83510.8,2.73915
12.0013,0,1,1007641,83797.9,2.74857
13.0013,0,1,1091344,83702.9,2.74545
14.0013,0,1,1175169,83824.5,2.74944
15.0013,0,1,1259168,83998.9,2.75516
16.0013,0,1,1342295,83126.2,2.72654
17.0013,0,1,1424976,82680.9,2.71193
18.0013,0,1,1508876,83899.5,2.7519
19.0014,0,1,1592009,83132.3,2.72674
20.0014,0,1,1676188,84178.7,2.76106
1.00125,0,2,83864,83863.2,2.7506
2.00125,0,2,168125,84260.6,2.76375
3.00126,0,2,252462,84336,2.76622
4.00127,0,2,336598,84135.1,2.75963
5.00128,0,2,420312,83713.5,2.7458
6.00129,0,2,504741,84428.4,2.76925
7.0013,0,2,589300,84558,2.7735
8.00131,0,2,673402,84101.2,2.75852
9.00131,0,2,756912,83510,2.73913
10.0013,0,2,840317,83404.4,2.73567
11.0013,0,2,923828,83510.8,2.73915
12.0013,0,2,1007626,83797.9,2.74857
13.0013,0,2,1091329,83702.9,2.74545
14.0013,0,2,1175154,83824.5,2.74944
15.0013,0,2,1259153,83998.9,2.75516
16.0013,0,2,1342280,83126.2,2.72654
17.0013,0,2,1424961,82680.9,2.71193
18.0013,0,2,1508861,83899.5,2.7519
19.0014,0,2,1591994,83132.3,2.72674
20.0014,0,2,1676173,84178.7,2.76106
1.00125,0,3,83862,83861.2,2.75054
2.00125,0,3,168123,84260.6,2.76375
3.00126,0,3,252460,84336,2.76622
4.00127,0,3,336596,84135.1,2.75963
5.00128,0,3,420310,83713.5,2.7458
6.00129,0,3,504739,84428.4,2.76925
7.0013,0,3,589298,84558,2.7735
8.00131,0,3,673400,84101.2,2.75852
9.00131,0,3,756910,83510,2.73913
10.0013,0,3,840315,83404.4,2.73567
11.0013,0,3,923826,83510.8,2.73915
12.0013,0,3,1007624,83797.9,2.74857
13.0013,0,3,1091327,83702.9,2.74545
14.0013,0,3,1175152,83824.5,2.74944
15.0013,0,3,1259151,83998.9,2.75516
16.0013,0,3,1342278,83126.2,2.72654
17.0013,0,3,1424959,82680.9,2.71193
18.0013,0,3,1508859,83899.5,2.7519
19.0014,0,3,1591992,83132.3,2.72674
20.0014,0,3,1676171,84178.7,2.76106
