case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-06_05-10-18,5,4,1,10.92808,10.92688,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,6,4,1,10.99284,10.99426,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,7,4,1,10.96896,10.96819,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,8,4,1,10.90656,10.906179999999999,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,9,4,1,10.88824,10.88868,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,10,4,1,10.89492,10.89459,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,11,4,1,10.89972,10.89972,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,12,4,1,10.9186,10.9183,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,13,4,1,10.90588,10.90693,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,14,4,1,10.91488,10.9138,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,15,4,1,10.83216,10.8325,10.912439999999998,10.912410833333334
2024-10-06_05-10-18,16,4,1,10.89844,10.8989,10.912439999999998,10.912410833333334
2024-10-06_05-10-41,5,32,8,75.45706,75.46101,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,6,32,8,75.65239,75.65188,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,7,32,8,75.54586,75.54852,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,8,32,8,75.65233,75.64899,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,9,32,8,75.98537,75.98675,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,10,32,8,75.78016,75.78326,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,11,32,8,75.86493,75.86298,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,12,32,8,75.78193,75.78221,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,13,32,8,75.84877,75.85353,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,14,32,8,75.79029,75.79225,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,15,32,8,75.93638,75.93491,75.76920166666666,75.77021583333332
2024-10-06_05-10-41,16,32,8,75.93495,75.9363,75.76920166666666,75.77021583333332
2024-10-06_05-11-04,5,64,16,129.67156,129.66936,119.51284,129.47989076923074
2024-10-06_05-11-04,6,64,16,129.60613,129.63737,119.51284,129.47989076923074
2024-10-06_05-11-04,7,64,16,129.59384,129.60398,119.51284,129.47989076923074
2024-10-06_05-11-04,8,64,16,129.21382,129.19822,119.51284,129.47989076923074
2024-10-06_05-11-04,9,64,16,129.4814,129.51093,119.51284,129.47989076923074
2024-10-06_05-11-04,10,64,16,129.70432,129.70537,119.51284,129.47989076923074
2024-10-06_05-11-04,11,64,16,129.09935,129.12284,119.51284,129.47989076923074
2024-10-06_05-11-04,12,64,16,129.47016,129.48821,119.51284,129.47989076923074
2024-10-06_05-11-04,13,64,16,129.40636,129.41114,119.51284,129.47989076923074
2024-10-06_05-11-04,14,64,16,129.36064,129.36521,119.51284,129.47989076923074
2024-10-06_05-11-04,15,64,16,129.49048,129.50334,119.51284,129.47989076923074
2024-10-06_05-11-04,16,64,16,129.56886,129.59832,119.51284,129.47989076923074
2024-10-06_05-11-04,17,64,16,0.0,129.42428999999998,119.51284,129.47989076923074
2024-10-06_05-11-27,5,96,24,172.086926,172.115527,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,6,96,24,172.321767,172.402054,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,7,96,24,171.983319,171.997378,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,8,96,24,171.952612,171.970927,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,9,96,24,172.138747,172.200138,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,10,96,24,171.927279,171.978488,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,11,96,24,171.835164,171.887304,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,12,96,24,172.178421,172.150687,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,13,96,24,171.918397,171.91651,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,14,96,24,171.785019,171.802019,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,15,96,24,171.693285,171.72398,171.94712233333334,171.97525900000002
2024-10-06_05-11-27,16,96,24,171.544532,171.558096,171.94712233333334,171.97525900000002
2024-10-06_05-11-50,5,128,32,194.4971406,194.4789483,194.72168796666665,194.73027959
2024-10-06_05-11-50,6,128,32,194.4669364,194.8348782,194.72168796666665,194.73027959
2024-10-06_05-11-50,7,128,32,194.7889276,194.6972496,194.72168796666665,194.73027959
2024-10-06_05-11-50,8,128,32,194.6309572,194.70460377,194.72168796666665,194.73027959
2024-10-06_05-11-50,9,128,32,194.9281168,194.8441127,194.72168796666665,194.73027959
2024-10-06_05-11-50,10,128,32,194.7209614,194.5578914,194.72168796666665,194.73027959
2024-10-06_05-11-50,11,128,32,194.4116174,194.98862391,194.72168796666665,194.73027959
2024-10-06_05-11-50,12,128,32,194.9277604,194.5512001,194.72168796666665,194.73027959
2024-10-06_05-11-50,13,128,32,194.8242708,194.6828255,194.72168796666665,194.73027959
2024-10-06_05-11-50,14,128,32,194.689704,194.5010853,194.72168796666665,194.73027959
2024-10-06_05-11-50,15,128,32,194.7071714,194.9953762,194.72168796666665,194.73027959
2024-10-06_05-11-50,16,128,32,195.0666916,194.9265601,194.72168796666665,194.73027959
