timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00192,0,0,138322,138322,4.52941
2.00192,0,0,282376,144054,4.71444
3.00193,0,0,430638,148262,4.85706
4.00193,0,0,579435,148797,4.87515
5.00193,0,0,727514,148079,4.85225
6.00193,0,0,873297,145783,4.77128
7.00193,0,0,1021041,147744,4.84128
8.00193,0,0,1167918,146877,4.80441
9.00193,0,0,1316451,148533,4.86583
10.0019,0,0,1465069,148618,4.86991
11.0019,0,0,1613608,148539,4.86677
12.0019,0,0,1762846,149238,4.89023
13.0019,0,0,1911698,148852,4.87758
14.0019,0,0,2060096,148398,4.8627
15.0019,0,0,2207863,147767,4.83925
16.0019,0,0,2356730,148867,4.87807
17.0019,0,0,2505886,149156,4.88719
18.0019,0,0,2653412,147526,4.83407
19.0019,0,0,2801303,147891,4.8456
1.00192,0,1,138543,138543,4.53972
2.00192,0,1,282834,144291,4.7273
3.00193,0,1,431132,148298,4.8589
4.00193,0,1,579922,148790,4.87554
5.00193,0,1,728037,148115,4.85343
6.00193,0,1,873880,145843,4.77663
7.00193,0,1,1021630,147750,4.84113
8.00193,0,1,1168763,147133,4.81857
9.00193,0,1,1317360,148597,4.86906
10.0019,0,1,1465953,148593,4.86909
11.0019,0,1,1614509,148556,4.86747
12.0019,0,1,1763748,149239,4.89026
13.0019,0,1,1912599,148851,4.87755
14.0019,0,1,2060984,148385,4.86228
15.0019,0,1,2208963,147979,4.8479
16.0019,0,1,2357816,148853,4.87762
17.0019,0,1,2506986,149170,4.88722
18.0019,0,1,2654384,147398,4.82782
19.0019,0,1,2802288,147904,4.84497
1.00192,0,2,135149,135149,4.40831
2.00192,0,2,279101,143952,4.70787
3.00193,0,2,427350,148249,4.85423
4.00193,0,2,576163,148813,4.87627
5.00193,0,2,724206,148043,4.84981
6.00193,0,2,870028,145822,4.77464
7.00193,0,2,1017554,147526,4.82898
8.00193,0,2,1164732,147178,4.82201
9.00193,0,2,1313314,148582,4.86872
10.0019,0,2,1461844,148530,4.86469
11.0019,0,2,1610366,148522,4.86631
12.0019,0,2,1759569,149203,4.8886
13.0019,0,2,1908413,148844,4.87732
14.0019,0,2,2056815,148402,4.86281
15.0019,0,2,2204761,147946,4.84745
16.0019,0,2,2353461,148700,4.87107
