Timestamp,bucket,client_throughput_gbit_per_second,server_throughput_gbit_per_second,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD,SERVER_ADDR,QUEUE_DEPTH,INFLIGHT_OPS,PAGE_SIZE,PORT,VERBOSE,USE_ALIGNED_ALLOCATIONS,HALF_DUPLEX_MODE,RUN_DURATION_SECONDS
2024-10-06_09-27-49,1,34.72946,34.88033,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,2,34.73613,34.75425,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,3,34.71112,34.7054,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,4,34.66726,34.68103,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,5,34.69491,34.66948,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,6,34.82658,34.82531,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,7,34.86868,34.88933,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,8,34.88176,34.87582,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,9,34.83789,34.824690000000004,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,10,34.86596,34.87666,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,11,34.8317,34.80618,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,12,34.76926,34.77736,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,13,34.81184,34.82454,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,14,34.80285,34.81819,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,15,34.77822,34.77936,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,16,34.72158,34.72137,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,17,34.72909,34.71844,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,18,34.77258,34.77361,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,19,34.74427,34.75704,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,1,34.11986,34.322720000000004,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,2,34.26617,34.26451,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,3,34.05297,34.06717,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,4,34.23111,34.22128,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,5,34.18645,34.18581,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,6,34.21521,34.22683,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,7,34.22057,34.20964,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,8,34.24403,34.24659,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,9,34.20822,34.20534,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,10,34.21815,34.22502,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,11,34.17122,34.15524,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,12,34.17975,34.18896,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,13,34.17216,34.16216,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,14,34.22397,34.22201,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,15,34.10341,34.09698,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,16,34.1353,34.15344,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,17,34.04578,34.01855,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,18,34.09651,34.11332,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-28-11,19,34.38589,34.4003,0,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
