Timestamp,Average_Client_Throughput_Gbps,Average_Server_Throughput_Gbps,Combined_Average_Throughput_Gbps,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD
2024-10-06_09-27-49,34.777954736842105,34.78728368421052,34.78261921052631,0,0,0,0,2,4
2024-10-06_09-28-11,34.18298578947369,34.193993157894745,34.188489473684214,0,0,0,1,2,4
2024-10-06_09-28-33,39.04669421052632,39.04687631578947,39.046785263157894,0,0,1,0,2,4
2024-10-06_09-28-55,38.580009999999994,38.5826105263158,38.581310263157896,0,0,1,1,2,4
2024-10-06_09-29-17,38.31134263157895,38.320256842105266,38.31579973684211,0,1,0,0,2,4
2024-10-06_09-29-39,37.37883105263159,37.40262210526316,37.39072657894738,0,1,0,1,2,4
2024-10-06_09-30-01,39.00103473684211,39.001943157894736,39.00148894736842,0,1,1,0,2,4
2024-10-06_09-30-23,38.91120947368421,38.91341894736842,38.91231421052632,0,1,1,1,2,4
2024-10-06_09-30-45,39.699517894736836,39.72632052631579,39.71291921052631,1,0,0,0,2,4
2024-10-06_09-31-07,36.18517052631579,36.19803368421053,36.19160210526316,1,0,0,1,2,4
2024-10-06_09-31-29,39.37664210526316,39.37803,39.37733605263158,1,0,1,0,2,4
2024-10-06_09-31-51,38.2084,38.209918947368415,38.20915947368421,1,0,1,1,2,4
2024-10-06_09-32-13,40.23050894736842,40.25256368421053,40.241536315789475,1,1,0,0,2,4
2024-10-06_09-32-35,38.94616736842106,38.96608105263157,38.95612421052631,1,1,0,1,2,4
2024-10-06_09-32-57,37.90151894736842,37.90297842105264,37.902248684210534,1,1,1,0,2,4
2024-10-06_09-33-19,37.90320315789473,37.90556105263158,37.90438210526315,1,1,1,1,2,4
