timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00243,0,0,147456,147456,4.8317
2.00243,0,0,294520,147064,4.81899
3.00243,0,0,441663,147143,4.82158
4.00243,0,0,588547,146884,4.81309
5.00243,0,0,735492,146945,4.81509
6.00243,0,0,882451,146959,4.81555
7.00243,0,0,1029505,147054,4.81866
8.00243,0,0,1176576,147071,4.81922
9.00243,0,0,1323570,146994,4.8167
10.0024,0,0,1470646,147076,4.81938
11.0024,0,0,1619200,148554,4.86781
12.0024,0,0,1767721,148521,4.86673
13.0024,0,0,1916119,148398,4.8627
14.0024,0,0,2064671,148552,4.86775
15.0024,0,0,2213137,148466,4.86493
16.0024,0,0,2361720,148583,4.86876
17.0024,0,0,2510262,148542,4.86742
18.0024,0,0,2658767,148505,4.86621
19.0024,0,0,2807369,148602,4.86939
20.0024,0,0,2955822,148453,4.8645
21.0024,0,0,3104306,148484,4.86552
22.0024,0,0,3252749,148443,4.86417
23.0024,0,0,3401080,148331,4.8605
24.0024,0,0,3549457,148377,4.86202
25.0024,0,0,3697935,148478,4.86532
26.0024,0,0,3846582,148647,4.87086
27.0025,0,0,3995725,149143,4.88711
28.0025,0,0,4145064,149339,4.89353
29.0025,0,0,4294415,149351,4.89393
1.00243,0,1,147456,147456,4.83163
2.00243,0,1,294501,147045,4.81837
3.00243,0,1,441697,147196,4.82331
4.00243,0,1,588546,146849,4.81194
5.00243,0,1,735491,146945,4.81509
6.00243,0,1,882450,146959,4.81555
7.00243,0,1,1029477,147027,4.81778
8.00243,0,1,1176576,147099,4.82013
9.00243,0,1,1323589,147013,4.81732
10.0024,0,1,1470705,147116,4.82069
11.0024,0,1,1619200,148495,4.86588
12.0024,0,1,1767731,148531,4.86706
13.0024,0,1,1916160,148429,4.86372
14.0024,0,1,2064672,148512,4.86644
15.0024,0,1,2213136,148464,4.86487
16.0024,0,1,2361701,148565,4.86817
17.0024,0,1,2510304,148603,4.86942
18.0024,0,1,2658816,148512,4.86643
19.0024,0,1,2807397,148581,4.8687
20.0024,0,1,2955838,148441,4.86411
21.0024,0,1,3104325,148487,4.86562
22.0024,0,1,3252749,148424,4.86355
23.0024,0,1,3401061,148312,4.85988
24.0024,0,1,3549456,148395,4.86261
25.0024,0,1,3697935,148479,4.86535
26.0024,0,1,3846654,148719,4.87322
27.0025,0,1,3995749,149095,4.88554
28.0025,0,1,4145031,149282,4.89166
29.0025,0,1,4294415,149384,4.89501
1.00243,0,2,147456,147456,4.83155
2.00243,0,2,294556,147100,4.82017
3.00243,0,2,441699,147143,4.82158
4.00243,0,2,588546,146847,4.81187
5.00243,0,2,735491,146945,4.81509
6.00243,0,2,882450,146959,4.81555
7.00243,0,2,1029615,147165,4.8223
8.00243,0,2,1176576,146961,4.81561
9.00243,0,2,1323591,147015,4.81739
10.0024,0,2,1470720,147129,4.82112
11.0024,0,2,1619200,148480,4.86539
12.0024,0,2,1767730,148530,4.86703
13.0024,0,2,1916160,148430,4.86375
14.0024,0,2,2064677,148517,4.8666
15.0024,0,2,2213136,148459,4.8647
16.0024,0,2,2361792,148656,4.87115
17.0024,0,2,2510336,148544,4.86749
18.0024,0,2,2658816,148480,4.86539
19.0024,0,2,2807401,148585,4.86883
20.0024,0,2,2955839,148438,4.86401
21.0024,0,2,3104326,148487,4.86562
22.0024,0,2,3252749,148423,4.86352
23.0024,0,2,3401068,148319,4.86011
24.0024,0,2,3549456,148388,4.86238
25.0024,0,2,3697934,148478,4.86532
26.0024,0,2,3846656,148722,4.87331
27.0025,0,2,3995753,149097,4.8856
28.0025,0,2,4145152,149399,4.8955
29.0025,0,2,4294414,149262,4.89101
1.00243,0,3,147334,147334,4.82751
2.00243,0,3,294504,147170,4.82247
3.00243,0,3,441666,147162,4.8222
4.00243,0,3,588464,146798,4.81027
5.00243,0,3,735408,146944,4.81506
6.00243,0,3,882450,147042,4.81827
7.00243,0,3,1029480,147030,4.81788
8.00243,0,3,1176478,146998,4.81682
9.00243,0,3,1323574,147096,4.82004
10.0024,0,3,1470569,146995,4.81673
11.0024,0,3,1619080,148511,4.8664
12.0024,0,3,1767726,148646,4.87083
13.0024,0,3,1916037,148311,4.85985
14.0024,0,3,2064671,148634,4.87043
15.0024,0,3,2213119,148448,4.86434
16.0024,0,3,2361704,148585,4.86883
17.0024,0,3,2510185,148481,4.86542
18.0024,0,3,2658691,148506,4.86624
19.0024,0,3,2807372,148681,4.87198
20.0024,0,3,2955822,148450,4.8644
21.0024,0,3,3104309,148487,4.86562
22.0024,0,3,3252698,148389,4.8624
23.0024,0,3,3401064,148366,4.86165
24.0024,0,3,3549440,148376,4.86198
25.0024,0,3,3697888,148448,4.86434
26.0024,0,3,3846505,148617,4.86987
27.0025,0,3,3995729,149224,4.88977
28.0025,0,3,4145000,149271,4.8913
29.0025,0,3,4294369,149369,4.89452
1.00234,1,0,146557,146557,4.80228
2.00234,1,0,293551,146994,4.8167
3.00234,1,0,440365,146814,4.8108
4.00235,1,0,586966,146601,4.80381
5.00235,1,0,733440,146474,4.79965
6.00235,1,0,880128,146688,4.80667
7.00235,1,0,1026813,146685,4.80657
8.00235,1,0,1173364,146551,4.80218
9.00235,1,0,1320061,146697,4.80697
10.0026,1,0,1462346,142256,4.65994
11.0026,1,0,1580921,118565,3.87522
12.0026,1,0,1699266,118345,3.86829
13.0026,1,0,1817909,118643,3.87783
14.0027,1,0,1936392,118480,3.87196
15.0029,1,0,2054729,118307,3.86619
16.0029,1,0,2173161,118432,3.87092
17.0029,1,0,2291978,118817,3.88409
18.003,1,0,2410655,118669,3.87974
19.003,1,0,2529276,118620,3.87864
20.003,1,0,2648110,118834,3.88437
21.003,1,0,2766776,118666,3.87901
22.003,1,0,2885396,118617,3.877
23.003,1,0,3003812,118416,3.87065
24.003,1,0,3122512,118700,3.88012
25.003,1,0,3241420,118906,3.88636
26.0031,1,0,3360256,118833,3.88329
27.0031,1,0,3479012,118756,3.88206
28.0031,1,0,3597840,118828,3.88389
29.0031,1,0,3715998,118158,3.86272
1.00234,1,1,146522,146522,4.80114
2.00234,1,1,293494,146972,4.81598
3.00234,1,1,440355,146861,4.81234
