timestamp,thread_id,connection_num,message_count,throughput,gbit_per_second
1.00007,0,0,149759,149748,4.9023
2.00007,0,0,298134,148375,4.85716
3.00007,0,0,446221,148087,4.84759
4.00007,0,0,594404,148183,4.85142
5.00176,0,0,742980,148326,4.85535
6.00176,0,0,891869,148889,4.87357
7.00176,0,0,1040010,148141,4.8495
8.00199,0,0,1188374,148331,4.85538
9.00199,0,0,1336668,148294,4.85413
10.002,0,0,1478697,142029,4.64997
11.002,0,0,1596969,118270,3.87548
12.002,0,0,1715085,118116,3.87041
13.002,0,0,1833483,118398,3.87967
14.002,0,0,1951529,118046,3.86813
15.002,0,0,2069545,118016,3.86714
16.0021,0,0,2187732,118182,3.8726
17.0021,0,0,2306345,118613,3.8867
18.0021,0,0,2424617,118272,3.87553
19.0021,0,0,2542899,118282,3.87586
20.0021,0,0,2661634,118735,3.89071
21.0021,0,0,2779945,118311,3.87681
22.0021,0,0,2898217,118272,3.87554
23.0021,0,0,3016404,118187,3.87274
24.0021,0,0,3134761,118356,3.8783
25.0021,0,0,3253289,118528,3.88393
26.0021,0,0,3371851,118562,3.88504
27.0021,0,0,3490345,118492,3.88274
28.0021,0,0,3608873,118528,3.88393
29.0021,0,0,3726889,118016,3.86715
1.00007,0,1,148100,148089,4.84074
2.00007,0,1,295523,147423,4.81786
3.00007,0,1,442884,147361,4.81616
4.00007,0,1,589722,146838,4.79893
5.00176,0,1,736793,146823,4.79858
6.00176,0,1,883968,147175,4.81018
7.00176,0,1,1030988,147020,4.80424
8.00199,0,1,1178040,147019,4.80477
9.00199,0,1,1325251,147211,4.81123
10.002,0,1,1466692,141441,4.62454
11.002,0,1,1584964,118270,3.87548
12.002,0,1,1702980,118016,3.86714
13.002,0,1,1821252,118272,3.87554
14.002,0,1,1939437,118185,3.87268
15.002,0,1,2057540,118103,3.86999
16.0021,0,1,2175556,118011,3.867
17.0021,0,1,2294084,118528,3.88392
18.0021,0,1,2412585,118501,3.88304
19.0021,0,1,2530884,118299,3.87642
20.0021,0,1,2649412,118528,3.88392
21.0021,0,1,2767691,118279,3.87576
22.0021,0,1,2886199,118508,3.88327
23.0021,0,1,3004228,118029,3.86756
24.0021,0,1,3122755,118526,3.88387
25.0021,0,1,3241284,118529,3.88396
26.0021,0,1,3359812,118528,3.88392
27.0021,0,1,3478340,118526,3.88385
28.0021,0,1,3596855,118515,3.8835
29.0021,0,1,3714628,117773,3.85918
1.00007,0,2,122493,122484,3.99759
2.00007,0,2,244392,121899,3.97834
3.00007,0,2,366441,122049,3.98323
4.00007,0,2,488246,121805,3.97674
5.00176,0,2,610283,121831,3.97664
6.00176,0,2,732512,122229,3.99051
7.00176,0,2,854432,121920,3.98001
8.00199,0,2,976514,122055,3.98455
9.00199,0,2,1098684,122170,3.98951
10.002,0,2,1219254,120570,3.93929
11.002,0,2,1337526,118270,3.87548
12.002,0,2,1455569,118043,3.86802
13.002,0,2,1573954,118385,3.87924
14.002,0,2,1692086,118132,3.87095
15.002,0,2,1810102,118016,3.86714
16.0021,0,2,1928251,118144,3.87136
17.0021,0,2,2046786,118535,3.88415
18.0021,0,2,2165174,118388,3.87933
19.0021,0,2,2283446,118272,3.87554
20.0021,0,2,2402114,118668,3.88851
21.0021,0,2,2520391,118277,3.87569
22.0021,0,2,2638774,118383,3.87917
23.0021,0,2,2756930,118156,3.87172
24.0021,0,2,2875318,118387,3.87932
25.0021,0,2,2993846,118528,3.88393
26.0021,0,2,3112386,118540,3.88431
27.0021,0,2,3230902,118514,3.88346
28.0021,0,2,3349430,118528,3.88393
29.0021,0,2,3467330,117900,3.86334
1.00007,0,3,147980,147969,4.83375
2.00007,0,3,295307,147327,4.81234
3.00007,0,3,442756,147449,4.8156
4.00007,0,3,589796,147040,4.80302
5.00176,0,3,736783,146739,4.79302
6.00176,0,3,884128,147345,4.81238
7.00176,0,3,1031181,147053,4.80438
8.00199,0,3,1178302,147088,4.8038
9.00199,0,3,1325616,147314,4.8114
10.002,0,3,1466966,141350,4.61887
11.002,0,3,1585274,118306,3.87666
12.002,0,3,1703328,118054,3.86838
13.002,0,3,1821600,118272,3.87554
14.002,0,3,1939751,118151,3.87157
15.002,0,3,2057795,118044,3.86806
16.0021,0,3,2175904,118104,3.87005
17.0021,0,3,2294471,118567,3.88519
18.0021,0,3,2412839,118368,3.87868
19.0021,0,3,2531232,118393,3.8795
20.0021,0,3,2649760,118528,3.88392
21.0021,0,3,2768167,118407,3.87995
22.0021,0,3,2886446,118279,3.87576
23.0021,0,3,3004576,118130,3.87087
24.0021,0,3,3123008,118431,3.88076
25.0021,0,3,3241607,118599,3.88625
26.0021,0,3,3360160,118553,3.88474
27.0021,0,3,3478597,118435,3.88087
28.0021,0,3,3597101,118504,3.88314
29.0021,0,3,3715012,117911,3.8637
1,1,0,149296,149296,4.88167
2,1,0,296793,147497,4.82207
3,1,0,444178,147385,4.81865
4.00121,1,0,591478,147123,4.81001
5.00203,1,0,739003,147404,4.81916
6.00203,1,0,886523,147520,4.8239
7.00203,1,0,1033827,147304,4.81637
8.00203,1,0,1181074,147247,4.81347
9.00203,1,0,1328425,147351,4.81751
10.0021,1,0,1475628,147196,4.81234
11.0023,1,0,1624917,149255,4.87896
12.0023,1,0,1773740,148823,4.86511
13.0023,1,0,1922449,148709,4.86164
14.0023,1,0,2071498,149049,4.87243
15.0023,1,0,2220225,148727,4.8621
16.0023,1,0,2369161,148936,4.86799
17.0023,1,0,2517994,148833,4.8651
18.0023,1,0,2666773,148777,4.86296
19.0023,1,0,2815677,148904,4.86793
20.0028,1,0,2964669,148926,4.86899
21.0028,1,0,3113592,148923,4.86806
22.0028,1,0,3262344,148752,4.86309
23.0028,1,0,3410921,148577,4.85696
24.0032,1,0,3559760,148780,4.86405
25.0041,1,0,3708631,148738,4.86165
26.0044,1,0,3857688,149012,4.87162
27.0044,1,0,4007257,149569,4.89003
28.0044,1,0,4157087,149830,4.89856
29.0044,1,0,4306691,149604,4.89143
1,1,1,122014,122014,3.98043
2,1,1,244111,122097,3.98107
3,1,1,366124,122013,3.97808
4.00121,1,1,488343,122072,3.9808
5.00203,1,1,610322,121879,3.97624
6.00203,1,1,732608,122286,3.98823
7.00203,1,1,854835,122227,3.9855
8.00203,1,1,976846,122011,3.9784
9.00203,1,1,1099059,122213,3.98463
10.0021,1,1,1221603,122538,3.995
11.0023,1,1,1341629,119998,3.91193
12.0023,1,1,1461228,119599,3.8999
13.0023,1,1,1581364,120136,3.9173
14.0023,1,1,1701334,119970,3.91121
15.0023,1,1,1820995,119661,3.90089
16.0023,1,1,1940804,119809,3.90593
17.0023,1,1,2060888,120084,3.91592
18.0023,1,1,2180796,119906,3.90876
19.0023,1,1,2300914,120118,3.91514
20.0028,1,1,2421264,120296,3.92192
21.0028,1,1,2541231,119967,3.91038
22.0028,1,1,2661108,119877,3.90839
23.0028,1,1,2781054,119946,3.91053
24.0032,1,1,2901283,120181,3.9174
25.0041,1,1,3021495,120105,3.91524
26.0044,1,1,3141603,120072,3.91528
27.0044,1,1,3261764,120161,3.91777
28.0044,1,1,3382042,120278,3.92071
29.0044,1,1,3501623,119581,3.89924
1,1,2,149912,149912,4.90565
2,1,2,298556,148644,4.86344
3,1,2,446276,147720,4.83274
4.00121,1,2,595199,148744,4.86676
5.00203,1,2,743689,148368,4.85411
6.00203,1,2,892447,148758,4.8675
