Timestamp,bucket,client_throughput_gbit_per_second,server_throughput_gbit_per_second,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD,SERVER_ADDR,QUEUE_DEPTH,INFLIGHT_OPS,PAGE_SIZE,PORT,VERBOSE,USE_ALIGNED_ALLOCATIONS,HALF_DUPLEX_MODE,RUN_DURATION_SECONDS
2024-10-06_09-50-59,1,64.45519,64.95228,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,2,64.58068,64.56846,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,3,64.69434,64.73716,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,4,70.3233,70.26497,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,5,70.49552,70.51917,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,6,70.2933,70.29749,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,7,70.5291,70.54056,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,8,70.65076,70.63369,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,9,70.56858,70.58525,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,10,70.47206,70.46623,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,11,70.33443,70.33266,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,12,70.4154,70.42431,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,13,70.47966,70.46218,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,14,70.46358000000001,70.4932,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,15,70.34458000000001,70.33178000000001,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,16,70.22764,70.23204,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,17,70.20171,70.20001,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,18,70.1685,70.21388,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,19,70.52948,70.45363,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,20,70.26662,70.29928,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,21,70.41551,70.40788,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,22,70.42753,70.43767,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,23,70.37127,70.33038,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,24,70.31518,70.33103,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,25,70.35251,70.38974,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,26,70.36269,70.34328,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,27,70.29909,70.2797,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,28,70.07283,70.10442,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-50-59,29,70.11053,70.09111,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-57-23,1,74.23803,75.08187,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-57-23,2,74.46694,74.43759,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-57-23,3,74.48653,74.52985,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-57-23,4,74.40426,74.40024,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-57-23,5,74.48094999999999,74.45578,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
