Timestamp,Average_Client_Throughput_Gbps,Average_Server_Throughput_Gbps,Combined_Average_Throughput_Gbps,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD
2024-10-06_09-50-59,69.76626103448275,69.78356689655173,69.77491396551724,0,0,0,1,4,4
2024-10-06_09-57-23,74.41331137931034,74.44171310344827,74.4275122413793,1,1,0,1,4,4
2024-10-06_09-58-27,66.10477137931035,66.10083620689656,66.10280379310345,1,1,1,1,4,4
2024-10-06_09-52-35,70.9312951724138,70.94479724137929,70.93804620689654,0,1,0,0,4,4
2024-10-06_09-55-15,67.11923206896552,67.14366344827586,67.13144775862068,1,0,0,1,4,4
2024-10-06_09-50-27,69.38095517241379,69.39993413793103,69.39044465517242,0,0,0,0,4,4
2024-10-06_09-53-07,64.30187344827587,64.32282,64.31234672413794,0,1,0,1,4,4
2024-10-06_09-54-11,68.24569965517242,68.24746379310345,68.24658172413794,0,1,1,1,4,4
2024-10-06_09-56-19,69.00793896551723,69.00331793103449,69.00562844827586,1,0,1,1,4,4
2024-10-06_09-57-55,71.36091206896552,71.35782344827587,71.35936775862069,1,1,1,0,4,4
2024-10-06_09-55-47,74.18534896551725,74.18474689655173,74.18504793103449,1,0,1,0,4,4
2024-10-06_09-56-51,75.12351517241379,75.14411793103449,75.13381655172414,1,1,0,0,4,4
2024-10-06_09-54-43,75.99691448275863,76.02043448275862,76.00867448275862,1,0,0,0,4,4
2024-10-06_09-51-31,72.63423448275863,72.63698655172414,72.63561051724139,0,0,1,0,4,4
2024-10-06_09-53-39,69.23236344827588,69.2332124137931,69.2327879310345,0,1,1,0,4,4
2024-10-06_09-52-03,71.3051003448276,71.30582620689654,71.30546327586207,0,0,1,1,4,4
