timestamp,thread_id,connection_num,message_count,throughput,gbit_per_second
1,0,0,81461,81461,2.67191
2,0,0,162475,81013.9,2.65726
3,0,0,243125,80649.9,2.64532
4,0,0,323586,80461,2.63912
5,0,0,404225,80638.9,2.64496
6,0,0,484854,80629,2.64463
7.00001,0,0,565832,80977.7,2.65607
8.00002,0,0,646711,80877.8,2.65279
9.00002,0,0,728137,81425.9,2.67077
10,0,0,809345,81207.8,2.66362
11,0,0,890860,81514.8,2.67369
12,0,0,971939,81078.9,2.65939
13.0001,0,0,1053018,81074.7,2.65925
14.0001,0,0,1134186,81167.9,2.66231
15.0001,0,0,1215437,81250.2,2.66501
16.0001,0,0,1296349,80910.4,2.65386
17.0001,0,0,1377287,80937.9,2.65476
18.0001,0,0,1457912,80625,2.6445
19.0001,0,0,1538362,80448.3,2.63871
1,0,1,74274,74274,2.43617
2,0,1,148937,74662.9,2.44894
3,0,1,223733,74795.9,2.45331
4,0,1,298271,74538,2.44485
5,0,1,372873,74601.9,2.44694
6,0,1,447326,74453,2.44206
7.00001,0,1,521731,74404.8,2.44048
8.00002,0,1,596043,74310.9,2.4374
9.00002,0,1,670522,74478.9,2.44291
10,0,1,744823,74300.9,2.43707
11,0,1,819015,74191.8,2.43349
12,0,1,893254,74238.9,2.43504
13.0001,0,1,967481,74223.1,2.43452
14.0001,0,1,1041610,74128.9,2.43143
15.0001,0,1,1115871,74260.3,2.43574
16.0001,0,1,1189901,74028.5,2.42813
17.0001,0,1,1264128,74226.9,2.43464
18.0001,0,1,1338303,74175,2.43294
19.0001,0,1,1412437,74132.5,2.43155
1,0,2,74230,74230,2.43473
2,0,2,148855,74624.9,2.4477
3,0,2,223647,74791.9,2.45317
4,0,2,298188,74541,2.44494
5,0,2,372797,74608.9,2.44717
6,0,2,447254,74457,2.44219
7.00001,0,2,521652,74397.8,2.44025
8.00002,0,2,595963,74309.9,2.43736
9.00002,0,2,670439,74475.9,2.44281
10,0,2,744738,74298.9,2.437
11,0,2,818931,74192.8,2.43353
12,0,2,893170,74238.9,2.43504
13.0001,0,2,967391,74217.1,2.43432
14.0001,0,2,1041539,74147.9,2.43205
15.0001,0,2,1115809,74269.3,2.43603
16.0001,0,2,1189808,73997.5,2.42712
17.0001,0,2,1264050,74241.9,2.43513
18.0001,0,2,1338225,74175,2.43294
19.0001,0,2,1412375,74148.5,2.43207
1,0,3,81501,81501,2.67322
2,0,3,162527,81025.9,2.65765
3,0,3,243178,80650.9,2.64535
4,0,3,323628,80450,2.63876
5,0,3,404272,80643.9,2.64512
6,0,3,484910,80638,2.64493
7.00001,0,3,565878,80967.7,2.65574
8.00002,0,3,646751,80871.8,2.6526
9.00002,0,3,728185,81433.9,2.67103
10,0,3,809399,81213.8,2.66381
11,0,3,890911,81511.8,2.67359
12,0,3,971983,81071.9,2.65916
13.0001,0,3,1053068,81080.7,2.65945
14.0001,0,3,1134234,81165.9,2.66224
15.0001,0,3,1215509,81274.2,2.66579
16.0001,0,3,1296404,80893.4,2.6533
17.0001,0,3,1377353,80948.9,2.65513
18.0001,0,3,1457962,80609,2.64397
19.0001,0,3,1538415,80451.3,2.6388
1,1,0,74396,74395.9,2.44017
2,1,0,149031,74634.9,2.44803
3,1,0,223808,74777,2.45269
4,1,0,298361,74553,2.44534
5.00001,1,0,372979,74617.7,2.44746
6.00002,1,0,447435,74454.9,2.44212
7.00004,1,0,521837,74400.9,2.44035
8.00004,1,0,596133,74296,2.43691
9.00004,1,0,670608,74475,2.44278
10,1,0,744894,74286,2.43658
11,1,0,819103,74208.9,2.43405
12,1,0,893337,74233.9,2.43487
13,1,0,967577,74239.9,2.43507
14,1,0,1041702,74124.6,2.43129
15.0001,1,0,1115980,74277.8,2.43631
16.0001,1,0,1189981,74000.9,2.42723
17.0001,1,0,1264206,74222.2,2.43449
18.0001,1,0,1338388,74181.7,2.43316
19.0001,1,0,1412546,74157.5,2.43237
1,1,1,74595,74594.9,2.44669
2,1,1,149230,74634.9,2.44803
3,1,1,224026,74796,2.45331
4,1,1,298557,74531,2.44462
5.00001,1,1,373184,74626.7,2.44776
6.00002,1,1,447602,74416.9,2.44088
7.00004,1,1,522049,74445.9,2.44182
8.00004,1,1,596329,74280,2.43638
9.00004,1,1,670827,74498,2.44353
10,1,1,745121,74294,2.43684
11,1,1,819322,74200.9,2.43379
12,1,1,893550,74227.9,2.43468
13,1,1,967782,74231.9,2.43481
14,1,1,1041926,74143.6,2.43191
15.0001,1,1,1116168,74241.8,2.43513
16.0001,1,1,1190193,74024.9,2.42802
17.0001,1,1,1264407,74211.2,2.43413
18.0001,1,1,1338610,74202.7,2.43385
19.0001,1,1,1412759,74148.5,2.43207
1,1,2,81485,81484.9,2.67269
2,1,2,162490,81004.9,2.65696
3,1,2,243143,80653,2.64542
4,1,2,323591,80448,2.63869
5.00001,1,2,404251,80659.7,2.64564
6.00002,1,2,484947,80694.8,2.64679
7.00004,1,2,565919,80970.8,2.65584
8.00004,1,2,646812,80893,2.65329
9.00004,1,2,728241,81429,2.67087
10,1,2,809436,81195,2.6632
11,1,2,890946,81509.9,2.67352
12,1,2,972021,81074.9,2.65926
13,1,2,1053115,81093.9,2.65988
14,1,2,1134289,81173.5,2.66249
15.0001,1,2,1215554,81264.8,2.66548
16.0001,1,2,1296447,80892.9,2.65329
17.0001,1,2,1377405,80955,2.65532
18.0001,1,2,1458017,80611.7,2.64406
19.0001,1,2,1538459,80441.5,2.63848
1,1,3,81691,81690.9,2.67944
2,1,3,162716,81024.9,2.65762
3,1,3,243365,80649,2.64529
4,1,3,323826,80461,2.63912
5.00001,1,3,404451,80624.7,2.64449
6.00002,1,3,485101,80648.8,2.64528
7.00004,1,3,566070,80967.8,2.65574
8.00004,1,3,646938,80868,2.65247
9.00004,1,3,728378,81440,2.67123
10,1,3,809567,81189,2.663
11,1,3,891094,81526.9,2.67408
12,1,3,972188,81093.9,2.65988
13,1,3,1053259,81070.9,2.65913
14,1,3,1134427,81167.5,2.6623
15.0001,1,3,1215685,81257.8,2.66525
16.0001,1,3,1296580,80894.9,2.65335
17.0001,1,3,1377546,80963,2.65559
18.0001,1,3,1458158,80611.7,2.64406
19.0001,1,3,1538696,80537.5,2.64163
