timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00164,0,0,93167,93166.5,3.05578
2.00164,0,0,189365,96197.3,3.15527
3.00165,0,0,268643,79277.6,2.53444
4.00165,0,0,348031,79387.6,2.52769
5.00166,0,0,428046,80014.7,2.54858
6.00166,0,0,507368,79321.5,2.52209
7.00167,0,0,586263,78894.6,2.51047
8.00167,0,0,663750,77486.6,2.46698
9.00168,0,0,739833,76082.8,2.42599
10.0017,0,0,815883,76049.9,2.42684
11.0017,0,0,892603,76719.7,2.45053
12.0017,0,0,971819,79215.8,2.53634
13.0017,0,0,1050469,78649.8,2.51466
14.0017,0,0,1128013,77543.6,2.48045
15.0017,0,0,1206237,78223.7,2.50436
16.0017,0,0,1283826,77588.8,2.4861
17.0017,0,0,1360667,76840.8,2.4612
18.0017,0,0,1437312,76644.6,2.45412
19.0017,0,0,1512970,75657.6,2.42107
20.0017,0,0,1590056,77085.5,2.43412
21.0017,0,0,1670591,80534.9,2.54863
22.0017,0,0,1748656,78064.8,2.50425
23.0017,0,0,1821652,72995.5,2.34592
24.0017,0,0,1897499,75846.6,2.43478
25.0017,0,0,1971301,73801.6,2.3745
26.0017,0,0,2046919,75618,2.42534
27.0017,0,0,2126815,79895.7,2.5578
28.0017,0,0,2203001,76185.6,2.44824
29.0018,0,0,2278711,75709.8,2.4278
1.00164,0,1,93200,93199.5,3.05688
2.00164,0,1,189398,96197.3,3.15527
3.00165,0,1,298727,109328,3.58597
4.00165,0,1,409721,110993,3.64058
5.00166,0,1,519399,109678,3.59742
6.00166,0,1,630843,111443,3.65534
7.00167,0,1,741046,110202,3.61464
8.00167,0,1,853297,112250,3.68181
9.00168,0,1,960938,107641,3.53061
10.0017,0,1,1069452,108514,3.55925
11.0017,0,1,1171123,101671,3.30595
12.0017,0,1,1271427,100304,3.26701
13.0017,0,1,1371827,100400,3.25868
14.0017,0,1,1472850,101022,3.25763
15.0017,0,1,1574205,101355,3.25997
16.0017,0,1,1675340,101135,3.26339
17.0017,0,1,1776261,100921,3.26207
18.0017,0,1,1876520,100259,3.24804
19.0017,0,1,1977577,101056,3.26274
20.0017,0,1,2078070,100492,3.23486
21.0017,0,1,2178879,100809,3.28554
22.0017,0,1,2279277,100398,3.26003
23.0017,0,1,2379829,100551,3.27118
24.0017,0,1,2478901,99071.4,3.2275
25.0017,0,1,2579775,100873,3.25821
26.0017,0,1,2680174,100399,3.25924
27.0017,0,1,2782617,102443,3.30202
28.0017,0,1,2883363,100745,3.27658
29.0018,0,1,2984242,100879,3.26319
1.00164,0,2,93645,93644.5,3.07107
2.00164,0,2,189843,96197.3,3.15527
3.00165,0,2,287862,98018.5,3.16642
4.00165,0,2,385876,98013.5,3.15848
5.00166,0,2,484730,98853.6,3.19488
6.00166,0,2,582437,97706.4,3.14182
7.00167,0,2,679800,97362.5,3.13968
8.00167,0,2,777224,97423.5,3.13449
9.00168,0,2,874193,96968.7,3.14483
10.0017,0,2,970863,96669.9,3.12627
11.0017,0,2,1068264,97400.6,3.14533
12.0017,0,2,1165869,97604.7,3.13652
13.0017,0,2,1264435,98565.8,3.1404
14.0017,0,2,1362186,97750.5,3.12305
15.0017,0,2,1460342,98155.7,3.1358
16.0017,0,2,1557886,97543.8,3.14799
17.0017,0,2,1654942,97055.7,3.12379
18.0017,0,2,1751894,96951.5,3.13453
19.0017,0,2,1848558,96663.4,3.12214
20.0017,0,2,1946482,97923.3,3.15544
21.0017,0,2,2044628,98145.9,3.19228
22.0017,0,2,2141819,97190.8,3.14138
23.0017,0,2,2238584,96764.4,3.13955
24.0017,0,2,2335549,96964.4,3.15594
25.0017,0,2,2432575,97025.5,3.13313
26.0017,0,2,2529413,96837.9,3.14077
27.0017,0,2,2627807,98393.6,3.15951
28.0017,0,2,2726182,98374.4,3.19565
29.0018,0,2,2823052,96869.8,3.13385
1.00164,0,3,89810,89809.5,2.92934
2.00164,0,3,177755,87944.3,2.84734
3.00165,0,3,265586,87830.6,2.8201
4.00165,0,3,354061,88474.5,2.83957
5.00166,0,3,442257,88195.7,2.83705
6.00166,0,3,530136,87878.5,2.82686
7.00167,0,3,618141,88004.6,2.83458
8.00167,0,3,706513,88371.6,2.84373
9.00168,0,3,795463,88949.8,2.87008
10.0017,0,3,884306,88842.9,2.86388
11.0017,0,3,972845,88538.6,2.83244
12.0017,0,3,1061342,88496.8,2.83106
13.0017,0,3,1150062,88719.8,2.84281
14.0017,0,3,1238684,88621.5,2.83898
15.0017,0,3,1326670,87985.7,2.8262
16.0017,0,3,1416622,89951.8,2.89049
17.0017,0,3,1505826,89203.7,2.8708
18.0017,0,3,1594186,88359.6,2.84502
19.0017,0,3,1683546,89359.5,2.88059
20.0017,0,3,1772555,89008.4,2.8621
21.0017,0,3,1859629,87073.9,2.80605
22.0017,0,3,1950353,90723.8,2.93836
23.0017,0,3,2041610,91256.4,2.95311
24.0017,0,3,2132555,90944.5,2.94216
25.0017,0,3,2223753,91197.5,2.94811
26.0017,0,3,2314899,91145.9,2.95103
27.0017,0,3,2406449,91549.6,2.956
28.0017,0,3,2497207,90757.5,2.93437
29.0018,0,3,2587970,90762.8,2.93599
1.00259,1,0,107423,107423,3.52284
2.00259,1,0,215407,107984,3.54187
3.0026,1,0,327702,112295,3.68326
4.0026,1,0,440393,112690,3.69624
5.00261,1,0,553054,112660,3.69526
6.00261,1,0,666495,113441,3.72086
7.00262,1,0,779935,113439,3.7208
8.00263,1,0,892220,112284,3.68292
9.00264,1,0,1004971,112750,3.6982
10.0026,1,0,1117924,112952,3.70483
11.0026,1,0,1220935,103010,3.31155
12.0027,1,0,1322681,101745,3.26626
13.0027,1,0,1424046,101364,3.25905
14.0027,1,0,1526941,102894,3.25515
15.0027,1,0,1628393,101452,3.25969
16.0027,1,0,1730046,101652,3.26363
17.0027,1,0,1831687,101641,3.26198
