Timestamp,bucket,client_throughput_gbit_per_second,server_throughput_gbit_per_second,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD,SERVER_ADDR,QUEUE_DEPTH,INFLIGHT_OPS,PAGE_SIZE,PORT,VERBOSE,USE_ALIGNED_ALLOCATIONS,HALF_DUPLEX_MODE,RUN_DURATION_SECONDS
2024-10-06_09-59-50,1,39.58278,39.82482,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,2,39.779759999999996,39.77717,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,3,39.7186,39.72065,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,4,39.86252,39.86427,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,5,39.77768,39.77516,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,6,39.70472,39.70634,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,7,39.6924,39.69411,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,8,39.678200000000004,39.677530000000004,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,9,39.71964,39.71841,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,10,39.70496,39.71086,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,11,39.66836,39.66834,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,12,39.446960000000004,39.4476,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,13,39.68424,39.690239999999996,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,14,39.67516,39.67508,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,15,39.6764,39.67521,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,16,39.67764,39.68008,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,17,39.52936,39.52677,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,18,39.69476,39.69736,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,19,39.61348,39.61504,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,20,39.58404,39.58488,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,21,39.64728,39.64783,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,22,39.63816,39.6358,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,23,39.6656,39.6662,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,24,39.671679999999995,39.672560000000004,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,25,39.639,39.6397,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,26,39.68012,39.67966,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,27,39.615,39.61478,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,28,39.69732,39.69691,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_09-59-50,29,39.60956,39.60899,0,0,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,1,51.47757,51.66467,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,2,51.71148,51.71279,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,3,51.82023,51.81976,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,4,51.84716,51.8477,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,5,51.8693,51.86802,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,6,51.89503,51.89547,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,7,51.86732,51.86804,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,8,51.78198,51.78231,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,9,51.88654,51.88463,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,10,51.9178,51.91614,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,11,51.91888,51.926159999999996,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,12,51.91932,51.91672,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,13,51.944739999999996,51.94549,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,14,51.9243,51.92531,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,15,51.99859,51.99702,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,16,51.91917,51.92308,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,17,51.92524,51.92291,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,18,51.85869,51.86074,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,19,51.84061,51.83949,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,20,51.91233,51.91237,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,21,51.9163,51.91727,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,22,51.86294,51.85952,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,23,51.85273,51.85287,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,24,51.8756,51.87786,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,25,51.81402,51.8145,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,26,51.831559999999996,51.83327,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,27,51.83796,51.83569,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,28,51.850590000000004,51.84993,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-06-14,29,51.82913,51.8294,1,1,0,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,1,48.2104,48.23534,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,2,48.08954,48.0868,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,3,48.286500000000004,48.28484,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,4,48.658789999999996,48.655680000000004,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,5,48.50447,48.5008,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,6,48.57773,48.574,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,7,48.48119,48.47996,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,8,48.390119999999996,48.38764,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,9,48.18587,48.1828,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,10,49.28925,49.29075,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,11,50.01941,50.0173,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,12,48.88074,48.87978,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,13,49.18062,49.1783,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,14,49.06729,49.06784,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,15,49.33928,49.3372,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,16,49.04312,49.04207,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,17,48.77742,48.77653,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
2024-10-06_10-07-18,18,49.08161,49.08131,1,1,1,1,4,4,10.0.1.190,2048,1024,4096,12345,0,1,1,30
