Timestamp,Average_Client_Throughput_Gbps,Average_Server_Throughput_Gbps,Combined_Average_Throughput_Gbps,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD
2024-10-06_09-59-50,39.666737241379316,39.67559827586207,39.6711677586207,0,0,0,1,4,4
2024-10-06_10-06-14,51.858865862068974,51.86548724137932,51.86217655172415,1,1,0,1,4,4
2024-10-06_10-07-18,48.573370000000004,48.57288310344827,48.57312655172414,1,1,1,1,4,4
2024-10-06_10-01-26,48.96421733333333,49.83695666666666,49.400586999999994,0,1,0,0,4,4
2024-10-06_10-04-06,38.815406333333335,39.13361299999999,38.97450966666666,1,0,0,1,4,4
2024-10-06_09-59-18,39.81380933333334,40.145658,39.97973366666667,0,0,0,0,4,4
2024-10-06_10-01-58,48.55482933333334,49.808081333333334,49.18145533333333,0,1,0,1,4,4
2024-10-06_10-03-02,51.44721068965517,51.4496524137931,51.44843155172414,0,1,1,1,4,4
2024-10-06_10-05-10,41.86868655172413,41.86891655172415,41.86880155172414,1,0,1,1,4,4
2024-10-06_10-06-46,45.10412310344828,45.101816551724134,45.10296982758621,1,1,1,0,4,4
2024-10-06_10-04-38,38.55121724137932,38.5510127586207,38.55111500000001,1,0,1,0,4,4
2024-10-06_10-05-42,48.01910137931036,48.018155517241375,48.01862844827586,1,1,0,0,4,4
2024-10-06_10-03-34,39.42562931034483,39.424170000000004,39.42489965517242,1,0,0,0,4,4
2024-10-06_10-00-22,38.18531206896552,38.18813413793103,38.18672310344827,0,0,1,0,4,4
2024-10-06_10-02-30,52.06603103448277,52.06789827586206,52.06696465517241,0,1,1,0,4,4
2024-10-06_10-00-54,38.46452344827586,38.46896448275862,38.46674396551724,0,0,1,1,4,4
