timestamp,thread_id,connection_num,message_count,throughput,gbit_per_second
1,0,0,34883,34883,1.14017
2.00009,0,0,69114,34227.9,1.11795
3.00009,0,0,103358,34244,1.11856
4.00009,0,0,137319,33961,1.10897
5.00009,0,0,171485,34166,1.11594
6.00009,0,0,205537,34052,1.11232
7.00009,0,0,239730,34193,1.11685
8.0001,0,0,274163,34433,1.12438
9.0001,0,0,308557,34394,1.12357
10.0001,0,0,342934,34375.5,1.12279
11.0001,0,0,377464,34530,1.12796
12.0002,0,0,411662,34195.7,1.11686
13.0003,0,0,446227,34563.3,1.12889
14.0003,0,0,480563,34336,1.12144
15.0021,0,0,515203,34577.7,1.12937
16.0021,0,0,549437,34234,1.11805
17.0021,0,0,583968,34531,1.12804
18.0021,0,0,618338,34370,1.12304
19.0021,0,0,652898,34560,1.12905
20.0021,0,0,687355,34457,1.12559
1,0,1,34496,34496,1.12598
2.00009,0,1,68759,34259.9,1.11682
3.00009,0,1,102924,34165,1.11406
4.00009,0,1,137176,34252,1.11649
5.00009,0,1,171369,34193,1.11476
6.00009,0,1,205531,34162,1.11382
7.00009,0,1,239832,34301,1.11805
8.0001,0,1,274211,34379,1.12103
9.0001,0,1,308620,34409,1.12156
10.0001,0,1,343021,34399.5,1.12164
11.0001,0,1,377724,34703,1.1311
12.0002,0,1,412033,34306.7,1.11886
13.0003,0,1,446661,34626.3,1.12849
14.0003,0,1,481147,34486,1.12425
15.0021,0,1,515701,34491.8,1.12354
16.0021,0,1,550169,34468,1.12356
17.0021,0,1,584596,34427,1.12191
18.0021,0,1,619172,34576,1.12707
19.0021,0,1,653693,34521,1.12511
20.0021,0,1,688261,34568,1.12653
1,0,2,34553,34553,1.12759
2.00009,0,2,68814,34257.9,1.11657
3.00009,0,2,103114,34300,1.11784
4.00009,0,2,137244,34130,1.11245
5.00009,0,2,171488,34244,1.11605
6.00009,0,2,205624,34136,1.11253
7.00009,0,2,239937,34313,1.1185
8.0001,0,2,274227,34290,1.11784
9.0001,0,2,308874,34647,1.12901
10.0001,0,2,343323,34447.5,1.12251
11.0001,0,2,377904,34581,1.12652
12.0002,0,2,412355,34448.7,1.1224
13.0003,0,2,446882,34525.3,1.12501
14.0003,0,2,481383,34501,1.12457
15.0021,0,2,515887,34441.9,1.1225
16.0021,0,2,550395,34508,1.12406
17.0021,0,2,584868,34473,1.1233
18.0021,0,2,619413,34545,1.12607
19.0021,0,2,653933,34520,1.12549
20.0021,0,2,688486,34553,1.12592
1,0,3,34899,34899,1.14127
2.00009,0,3,69060,34157.9,1.11618
3.00009,0,3,103351,34291,1.12048
4.00009,0,3,137322,33971,1.11004
5.00009,0,3,171487,34165,1.11636
6.00009,0,3,205600,34113,1.11465
7.00009,0,3,239639,34039,1.11221
8.0001,0,3,274033,34394,1.12388
9.0001,0,3,308459,34426,1.12496
10.0001,0,3,342727,34266.5,1.11977
11.0001,0,3,377385,34658,1.13245
12.0002,0,3,411729,34341.7,1.12226
13.0003,0,3,446014,34283.3,1.12025
14.0003,0,3,480547,34533,1.1284
15.0021,0,3,514983,34374,1.12296
16.0021,0,3,549181,34198,1.11754
17.0021,0,3,583756,34575,1.12939
18.0021,0,3,618199,34443,1.12572
19.0021,0,3,652645,34446,1.12513
20.0021,0,3,687010,34365,1.12293
1,0,4,34948,34948,1.14261
2.00009,0,4,69079,34127.9,1.11539
3.00009,0,4,103298,34219,1.11811
4.00009,0,4,137342,34044,1.11243
5.00009,0,4,171482,34140,1.11577
6.00009,0,4,205622,34140,1.11579
7.00009,0,4,239765,34143,1.11565
8.0001,0,4,274127,34362,1.12258
9.0001,0,4,308442,34315,1.12101
10.0001,0,4,342977,34533.5,1.12853
11.0001,0,4,377381,34404,1.12439
12.0002,0,4,411771,34387.7,1.12373
13.0003,0,4,446119,34346.3,1.12251
14.0003,0,4,480515,34396,1.12361
15.0021,0,4,514986,34409,1.12462
16.0021,0,4,549371,34385,1.12372
17.0021,0,4,583775,34404,1.12413
18.0021,0,4,618168,34393,1.12394
19.0021,0,4,652697,34529,1.12807
20.0021,0,4,687068,34371,1.12339
1,0,5,34438,34438,1.12216
2.00009,0,5,68709,34267.9,1.11552
3.00009,0,5,103060,34351,1.11838
4.00009,0,5,137220,34160,1.11171
5.00009,0,5,171521,34301,1.11707
6.00009,0,5,205788,34267,1.11551
7.00009,0,5,240064,34276,1.11544
8.0001,0,5,274461,34397,1.11982
9.0001,0,5,309063,34602,1.12685
10.0001,0,5,343552,34487.5,1.12254
11.0001,0,5,378153,34601,1.126
12.0002,0,5,412605,34449.7,1.12116
13.0003,0,5,447234,34627.3,1.12701
14.0003,0,5,481677,34443,1.12185
15.0021,0,5,516317,34577.7,1.12569
16.0021,0,5,550761,34444,1.12119
17.0021,0,5,585381,34620,1.12668
18.0021,0,5,619926,34545,1.12464
19.0021,0,5,654523,34597,1.12609
20.0021,0,5,689130,34607,1.1259
1,0,6,34415,34415,1.12205
2.00009,0,6,68713,34294.9,1.11643
3.00009,0,6,103044,34331,1.11799
4.00009,0,6,137237,34193,1.11264
5.00009,0,6,171402,34165,1.11248
6.00009,0,6,205759,34357,1.11874
7.00009,0,6,240041,34282,1.11625
8.0001,0,6,274406,34365,1.11836
9.0001,0,6,308996,34590,1.12621
10.0001,0,6,343563,34565.5,1.12511
11.0001,0,6,378108,34545,1.12434
12.0002,0,6,412613,34502.7,1.12269
13.0003,0,6,447178,34563.3,1.12546
14.0003,0,6,481648,34470,1.12251
15.0021,0,6,516281,34570.7,1.12553
16.0021,0,6,550777,34496,1.12303
17.0021,0,6,585214,34437,1.12133
18.0021,0,6,619879,34665,1.12867
19.0021,0,6,654475,34596,1.12557
20.0021,0,6,689055,34580,1.12593
1,0,7,36026,36026,1.17907
2.00009,0,7,70029,33999.9,1.11244
3.00009,0,7,104208,34179,1.118
4.00009,0,7,138188,33980,1.11204
5.00009,0,7,172181,33993,1.11216
6.00009,0,7,206116,33935,1.11037
7.00009,0,7,240331,34215,1.1196
8.0001,0,7,274639,34308,1.12243
9.0001,0,7,309042,34403,1.1257
10.0001,0,7,343326,34282.5,1.12151
11.0001,0,7,377790,34464,1.12744
12.0002,0,7,412068,34275.7,1.12127
13.0003,0,7,446516,34446.3,1.12701
14.0003,0,7,480785,34269,1.12106
15.0021,0,7,515404,34556.7,1.13055
16.0021,0,7,549579,34175,1.11829
17.0021,0,7,583701,34122,1.11637
18.0021,0,7,618296,34595,1.13167
19.0021,0,7,652661,34365,1.12442
20.0021,0,7,687277,34616,1.13259
1,0,8,34439,34439,1.12308
2.00009,0,8,68708,34265.9,1.11662
3.00009,0,8,103022,34314,1.11755
4.00009,0,8,137104,34082,1.10988
5.00009,0,8,171339,34235,1.11544
6.00009,0,8,205657,34318,1.11791
7.00009,0,8,239946,34289,1.11726
8.0001,0,8,274348,34402,1.12005
9.0001,0,8,308901,34553,1.12517
10.0001,0,8,343397,34494.5,1.12291
11.0001,0,8,377981,34584,1.12652
12.0002,0,8,412444,34460.7,1.12258
13.0003,0,8,447016,34570.3,1.12596
14.0003,0,8,481490,34474,1.12285
15.0021,0,8,516082,34529.7,1.12426
16.0021,0,8,550543,34461,1.12256
17.0021,0,8,585111,34568,1.12526
18.0021,0,8,619637,34526,1.12457
19.0021,0,8,654218,34581,1.12606
20.0021,0,8,688747,34529,1.1248
1,0,9,35455,35455,1.16024
2.00009,0,9,69508,34049.9,1.11376
3.00009,0,9,103807,34299,1.12172
4.00009,0,9,137914,34107,1.11541
5.00009,0,9,171990,34076,1.11402
6.00009,0,9,206032,34042,1.11321
7.00009,0,9,240160,34128,1.11624
8.0001,0,9,274514,34354,1.12349
9.0001,0,9,308933,34419,1.12556
10.0001,0,9,343253,34318.5,1.12236
11.0001,0,9,377649,34396,1.12507
12.0002,0,9,411951,34299.7,1.12149
13.0003,0,9,446391,34438.3,1.126
14.0003,0,9,480698,34307,1.12183
15.0021,0,9,515152,34392,1.12454
16.0021,0,9,549511,34359,1.12356
17.0021,0,9,583931,34420,1.12536
18.0021,0,9,618399,34468,1.12737
19.0021,0,9,652656,34257,1.12042
20.0021,0,9,687231,34575,1.13058
1,0,10,34515,34515,1.12606
2.00009,0,10,68824,34305.9,1.11757
3.00009,0,10,103099,34275,1.1174
4.00009,0,10,137187,34088,1.1109
5.00009,0,10,171358,34171,1.11349
6.00009,0,10,205606,34248,1.11596
7.00009,0,10,239922,34316,1.11803
