case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-06_06-31-20,5,1,1,9.53309,9.53303,9.5334,9.533319166666667
2024-10-06_06-31-20,6,1,1,9.5335,9.54475,9.5334,9.533319166666667
2024-10-06_06-31-20,7,1,1,9.53328,9.52099,9.5334,9.533319166666667
2024-10-06_06-31-20,8,1,1,9.53359,9.53395,9.5334,9.533319166666667
2024-10-06_06-31-20,9,1,1,9.53345,9.53412,9.5334,9.533319166666667
2024-10-06_06-31-20,10,1,1,9.5334,9.54407,9.5334,9.533319166666667
2024-10-06_06-31-20,11,1,1,9.53319,9.52153,9.5334,9.533319166666667
2024-10-06_06-31-20,12,1,1,9.53408,9.53566,9.5334,9.533319166666667
2024-10-06_06-31-20,13,1,1,9.53263,9.531,9.5334,9.533319166666667
2024-10-06_06-31-20,14,1,1,9.53351,9.53364,9.5334,9.533319166666667
2024-10-06_06-31-20,15,1,1,9.53351,9.53333,9.5334,9.533319166666667
2024-10-06_06-31-20,16,1,1,9.53357,9.53376,9.5334,9.533319166666667
2024-10-06_06-31-43,5,4,1,16.87679,16.87671,16.98838166666667,16.9883875
2024-10-06_06-31-43,6,4,1,17.1446,17.1435,16.98838166666667,16.9883875
2024-10-06_06-31-43,7,4,1,16.85004,16.85124,16.98838166666667,16.9883875
2024-10-06_06-31-43,8,4,1,16.99714,16.9966,16.98838166666667,16.9883875
2024-10-06_06-31-43,9,4,1,16.87769,16.87855,16.98838166666667,16.9883875
2024-10-06_06-31-43,10,4,1,17.00272,17.00257,16.98838166666667,16.9883875
2024-10-06_06-31-43,11,4,1,16.99414,16.99428,16.98838166666667,16.9883875
2024-10-06_06-31-43,12,4,1,17.05534,17.05517,16.98838166666667,16.9883875
2024-10-06_06-31-43,13,4,1,16.984650000000002,16.98462,16.98838166666667,16.9883875
2024-10-06_06-31-43,14,4,1,17.11405,17.1142,16.98838166666667,16.9883875
2024-10-06_06-31-43,15,4,1,17.00878,17.00862,16.98838166666667,16.9883875
2024-10-06_06-31-43,16,4,1,16.95464,16.95459,16.98838166666667,16.9883875
2024-10-06_06-32-06,5,8,1,19.63429,19.63327,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,6,8,1,19.66779,19.66805,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,7,8,1,19.64437,19.64409,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,8,8,1,19.69034,19.69165,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,9,8,1,19.64007,19.63851,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,10,8,1,19.67514,19.6753,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,11,8,1,19.68814,19.69005,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,12,8,1,19.71185,19.71174,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,13,8,1,19.69739,19.69765,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,14,8,1,19.728659999999998,19.72852,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,15,8,1,19.73705,19.73582,19.687953333333333,19.687875833333333
2024-10-06_06-32-06,16,8,1,19.74035,19.73986,19.687953333333333,19.687875833333333
2024-10-06_06-32-29,5,12,1,18.58762,18.58971,18.719904166666666,18.7208
2024-10-06_06-32-29,6,12,1,18.54738,18.54833,18.719904166666666,18.7208
2024-10-06_06-32-29,7,12,1,18.77632,18.7782,18.719904166666666,18.7208
2024-10-06_06-32-29,8,12,1,18.80977,18.81031,18.719904166666666,18.7208
2024-10-06_06-32-29,9,12,1,18.78579,18.78523,18.719904166666666,18.7208
2024-10-06_06-32-29,10,12,1,18.73799,18.74008,18.719904166666666,18.7208
2024-10-06_06-32-29,11,12,1,18.76039,18.75984,18.719904166666666,18.7208
2024-10-06_06-32-29,12,12,1,18.533079999999998,18.53165,18.719904166666666,18.7208
2024-10-06_06-32-29,13,12,1,18.725099999999998,18.72658,18.719904166666666,18.7208
2024-10-06_06-32-29,14,12,1,18.78518,18.78616,18.719904166666666,18.7208
2024-10-06_06-32-29,15,12,1,18.81382,18.81321,18.719904166666666,18.7208
2024-10-06_06-32-29,16,12,1,18.77641,18.7803,18.719904166666666,18.7208
2024-10-06_06-32-52,5,16,1,17.82427,17.84082,17.9464525,17.946379166666667
2024-10-06_06-32-52,6,16,1,17.84582,17.8341,17.9464525,17.946379166666667
2024-10-06_06-32-52,7,16,1,17.85615,17.86688,17.9464525,17.946379166666667
2024-10-06_06-32-52,8,16,1,17.958009999999998,17.94021,17.9464525,17.946379166666667
2024-10-06_06-32-52,9,16,1,17.99244,17.99792,17.9464525,17.946379166666667
2024-10-06_06-32-52,10,16,1,17.97572,17.95672,17.9464525,17.946379166666667
2024-10-06_06-32-52,11,16,1,17.98424,18.04704,17.9464525,17.946379166666667
2024-10-06_06-32-52,12,16,1,17.985609999999998,17.93665,17.9464525,17.946379166666667
2024-10-06_06-32-52,13,16,1,17.98775,18.01358,17.9464525,17.946379166666667
2024-10-06_06-32-52,14,16,1,17.98371,17.96695,17.9464525,17.946379166666667
2024-10-06_06-32-52,15,16,1,17.99629,18.01114,17.9464525,17.946379166666667
2024-10-06_06-32-52,16,16,1,17.96742,17.94454,17.9464525,17.946379166666667
