case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-06_10-46-33,5,4,1,13.24473,13.24452,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,6,4,1,13.189210000000001,13.18912,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,7,4,1,13.14706,13.14676,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,8,4,1,13.149750000000001,13.14932,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,9,4,1,13.264759999999999,13.265,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,10,4,1,13.496210000000001,13.4956,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,11,4,1,13.35454,13.35456,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,12,4,1,13.32297,13.32264,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,13,4,1,13.42296,13.42312,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,14,4,1,13.3965,13.39576,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,15,4,1,13.27653,13.2768,13.293751666666667,13.293553333333335
2024-10-06_10-46-33,16,4,1,13.2598,13.25944,13.293751666666667,13.293553333333335
2024-10-06_10-46-56,5,32,8,99.83639,99.83606,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,6,32,8,99.67729,99.67544,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,7,32,8,99.68149,99.67718,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,8,32,8,99.88852,99.89148,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,9,32,8,100.00849,100.00013,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,10,32,8,99.83775,99.83641,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,11,32,8,99.89382,99.89219,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,12,32,8,99.93843,99.93492,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,13,32,8,99.72435,99.72865999999999,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,14,32,8,99.63227,99.62642,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,15,32,8,99.65633,99.6546,99.81177583333333,99.80995416666667
2024-10-06_10-46-56,16,32,8,99.96618,99.96596,99.81177583333333,99.80995416666667
2024-10-06_10-47-19,5,64,16,188.35121,188.35962,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,6,64,16,187.78412,187.87394,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,7,64,16,187.52661,187.5263,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,8,64,16,187.45322,187.44882,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,9,64,16,187.24234,187.26662,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,10,64,16,186.94407,186.9033,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,11,64,16,187.11887,187.17139,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,12,64,16,187.10546,187.07427,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,13,64,16,187.24747,187.26383,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,14,64,16,187.28446,187.28532,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,15,64,16,187.60804,187.59147000000002,187.3987691666667,187.40363666666667
2024-10-06_10-47-19,16,64,16,187.11936,187.07876,187.3987691666667,187.40363666666667
2024-10-06_10-47-42,5,96,24,196.18869,196.245789,196.23238475000002,196.24077575
2024-10-06_10-47-42,6,96,24,196.307212,196.253169,196.23238475000002,196.24077575
2024-10-06_10-47-42,7,96,24,196.06645,196.184376,196.23238475000002,196.24077575
2024-10-06_10-47-42,8,96,24,196.273665,196.306199,196.23238475000002,196.24077575
2024-10-06_10-47-42,9,96,24,196.232128,196.231871,196.23238475000002,196.24077575
2024-10-06_10-47-42,10,96,24,196.22445,196.21671,196.23238475000002,196.24077575
2024-10-06_10-47-42,11,96,24,196.477391,196.218614,196.23238475000002,196.24077575
2024-10-06_10-47-42,12,96,24,196.117321,196.266149,196.23238475000002,196.24077575
2024-10-06_10-47-42,13,96,24,196.215961,196.259592,196.23238475000002,196.24077575
2024-10-06_10-47-42,14,96,24,196.2959,196.22645,196.23238475000002,196.24077575
2024-10-06_10-47-42,15,96,24,196.175157,196.264756,196.23238475000002,196.24077575
2024-10-06_10-47-42,16,96,24,196.214292,196.215634,196.23238475000002,196.24077575
2024-10-06_10-48-05,5,128,32,196.303563,196.194068,196.26282783333338,196.26105625
2024-10-06_10-48-05,6,128,32,196.375274,196.292804,196.26282783333338,196.26105625
2024-10-06_10-48-05,7,128,32,196.250947,196.290877,196.26282783333338,196.26105625
2024-10-06_10-48-05,8,128,32,196.160891,196.256712,196.26282783333338,196.26105625
2024-10-06_10-48-05,9,128,32,196.296044,196.235682,196.26282783333338,196.26105625
2024-10-06_10-48-05,10,128,32,196.143413,196.347984,196.26282783333338,196.26105625
2024-10-06_10-48-05,11,128,32,196.248757,196.310685,196.26282783333338,196.26105625
2024-10-06_10-48-05,12,128,32,196.288741,196.046657,196.26282783333338,196.26105625
2024-10-06_10-48-05,13,128,32,196.059136,196.389314,196.26282783333338,196.26105625
2024-10-06_10-48-05,14,128,32,196.633313,196.230056,196.26282783333338,196.26105625
2024-10-06_10-48-05,15,128,32,196.088396,196.368636,196.26282783333338,196.26105625
2024-10-06_10-48-05,16,128,32,196.305459,196.1692,196.26282783333338,196.26105625
