timestamp,thread_id,connection_num,message_count,throughput,gbit_per_second
1,0,0,25441,25441,0.83359
2,0,0,51041,25600,0.838861
3,0,0,76677,25636,0.84004
4,0,0,102533,25856,0.847249
5,0,0,128605,26072,0.854327
6,0,0,154209,25603.9,0.83899
7.00001,0,0,180065,25855.9,0.847246
8.00001,0,0,205921,25856,0.847249
9.00001,0,0,231777,25855.9,0.847247
10,0,0,257633,25856,0.847248
11,0,0,283489,25856,0.847249
12,0,0,309345,25856,0.847249
13,0,0,335201,25856,0.847249
14,0,0,361057,25856,0.847249
15,0,0,386657,25600,0.838861
16,0,0,412769,26111.9,0.855635
17,0,0,438529,25759.9,0.844101
18,0,0,464225,25696,0.842006
19,0,0,489825,25600,0.838861
20,0,0,515425,25599.9,0.838857
21,0,0,541067,25642,0.840237
22,0,0,566881,25813.9,0.845871
23,0,0,592517,25636,0.84004
24,0,0,618117,25600,0.838859
25,0,0,643937,25819.9,0.846067
26,0,0,669537,25600,0.838861
27,0,0,695393,25856,0.847248
28,0,0,720993,25600,0.83886
29,0,0,746849,25856,0.847248
30,0,0,772449,25599.9,0.838859
31,0,0,798305,25856,0.847248
32,0,0,823905,25600,0.83886
33,0,0,849761,25856,0.847249
34,0,0,875402,25641,0.840204
35,0,0,901217,25815,0.845905
36,0,0,927073,25856,0.847249
37,0,0,952709,25636,0.84004
38,0,0,978466,25757,0.844005
39.0001,0,0,1004165,25699,0.842103
40.0001,0,0,1029985,25820,0.846068
41.0001,0,0,1055841,25856,0.847249
42.0001,0,0,1081441,25600,0.83886
43.0001,0,0,1107077,25636,0.84004
44.0001,0,0,1132897,25820,0.846069
45.0001,0,0,1158497,25600,0.83886
46.0001,0,0,1184133,25636,0.840039
47.0001,0,0,1209953,25819.9,0.846068
48.0001,0,0,1235809,25856,0.847249
49.0001,0,0,1261477,25668,0.841088
50.0001,0,0,1287197,25720,0.842793
51.0001,0,0,1313121,25924,0.849477
52.0001,0,0,1338721,25600,0.838859
53.0001,0,0,1364577,25856,0.847249
54.0001,0,0,1390177,25600,0.83886
55.0001,0,0,1416033,25855.9,0.847247
56.0001,0,0,1441669,25636,0.840039
57.0001,0,0,1467489,25820,0.846069
58.0001,0,0,1493089,25600,0.838859
59.0001,0,0,1518689,25599.9,0.838858
1,0,1,25440,25440,0.83359
2,0,1,51040,25600,0.838861
3,0,1,76840,25800,0.845414
4,0,1,102680,25840,0.846725
5,0,1,128607,25927,0.849576
6,0,1,154208,25600.9,0.838892
7.00001,0,1,180064,25855.9,0.847246
8.00001,0,1,205920,25856,0.847249
9.00001,0,1,231776,25855.9,0.847247
10,0,1,257632,25856,0.847248
11,0,1,283488,25856,0.847249
12,0,1,309344,25856,0.847249
13,0,1,335200,25856,0.847249
14,0,1,361056,25856,0.847249
15,0,1,386656,25600,0.838861
16,0,1,412768,26111.9,0.855635
17,0,1,438623,25854.9,0.847214
18,0,1,464224,25601,0.838893
19,0,1,489824,25600,0.838861
20,0,1,515424,25599.9,0.838857
21,0,1,541231,25807,0.845643
22,0,1,566880,25648.9,0.840464
23,0,1,592480,25600,0.83886
24,0,1,618208,25727.9,0.843053
25,0,1,643936,25727.9,0.843053
26,0,1,669536,25600,0.838861
27,0,1,695392,25856,0.847248
28,0,1,720992,25600,0.83886
29,0,1,746848,25856,0.847248
30,0,1,772448,25599.9,0.838859
31,0,1,798304,25856,0.847248
32,0,1,823904,25600,0.83886
33,0,1,849760,25856,0.847249
34,0,1,875566,25806,0.845611
35,0,1,901216,25650,0.840499
36,0,1,927072,25856,0.847249
37,0,1,952672,25600,0.838861
38,0,1,978527,25855,0.847216
39.0001,0,1,1004128,25601,0.838892
40.0001,0,1,1029984,25856,0.847248
41.0001,0,1,1055840,25856,0.847249
42.0001,0,1,1081440,25600,0.83886
43.0001,0,1,1107192,25752,0.843841
44.0001,0,1,1132896,25704,0.842268
45.0001,0,1,1158496,25600,0.83886
46.0001,0,1,1184151,25655,0.840662
47.0001,0,1,1209952,25800.9,0.845445
48.0001,0,1,1235808,25856,0.847249
49.0001,0,1,1261638,25830,0.846397
50.0001,0,1,1287263,25625,0.83968
51.0001,0,1,1313120,25857,0.847281
52.0001,0,1,1338720,25600,0.838859
53.0001,0,1,1364576,25856,0.847249
54.0001,0,1,1390176,25600,0.83886
55.0001,0,1,1416032,25855.9,0.847247
56.0001,0,1,1441647,25615,0.839351
57.0001,0,1,1467488,25841,0.846757
58.0001,0,1,1493088,25600,0.838859
59.0001,0,1,1518688,25599.9,0.838858
1,0,2,25184,25184,0.825188
2,0,2,50784,25600,0.838855
3,0,2,76630,25846,0.846921
4,0,2,102486,25856,0.847249
5,0,2,128342,25856,0.847249
6,0,2,153952,25609.9,0.839187
7.00001,0,2,179814,25861.9,0.847442
8.00001,0,2,205654,25840,0.846725
9.00001,0,2,231536,25881.9,0.848099
10,0,2,257426,25890,0.848362
11,0,2,283363,25937,0.849903
12,0,2,309088,25725,0.842956
13,0,2,334944,25856,0.847249
14,0,2,360800,25856,0.847249
15,0,2,386554,25754,0.843907
16,0,2,412512,25957.9,0.850589
17,0,2,438358,25845.9,0.846919
18,0,2,463968,25610,0.839188
19,0,2,489558,25590,0.838533
20,0,2,515255,25696.9,0.842036
21,0,2,541014,25759,0.84407
22,0,2,566624,25609.9,0.839186
23,0,2,592470,25846,0.846921
24,0,2,618070,25600,0.838859
25,0,2,643680,25609.9,0.839186
26,0,2,669331,25651,0.840532
27,0,2,695136,25805,0.845577
28,0,2,720874,25738,0.843382
29,0,2,746665,25791,0.845118
30,0,2,772346,25680.9,0.841513
31,0,2,798048,25702,0.842202
32,0,2,823802,25754,0.843906
