case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-03_10-48-43,5,1,1,4.96462,4.97425,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,6,1,1,4.96467,4.95616,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,7,1,1,4.9646,4.9646,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,8,1,1,4.96481,4.96452,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,9,1,1,4.96437,4.96465,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,10,1,1,4.96448,4.96447,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,11,1,1,4.96448,4.96455,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,12,1,1,4.96462,4.96461,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,13,1,1,4.96467,4.96467,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,14,1,1,4.96451,4.96449,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,15,1,1,4.9649,4.96431,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,16,1,1,4.96519,4.96469,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,17,1,1,4.96446,4.96476,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,18,1,1,4.96462,4.9646,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,19,1,1,4.96353,4.96532,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,20,1,1,4.96487,4.96355,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,21,1,1,4.96461,4.96479,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,22,1,1,4.96456,4.96463,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,23,1,1,4.96522,4.9645,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,24,1,1,4.96382,4.96465,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,25,1,1,4.96531,4.9646,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,26,1,1,4.96475,4.96457,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,27,1,1,4.9645,4.96438,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,28,1,1,4.96364,4.9648,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,29,1,1,4.96474,4.96455,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,30,1,1,4.96544,4.96437,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,31,1,1,4.96396,4.97604,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,32,1,1,4.96464,4.95304,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,33,1,1,4.96451,4.97617,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,34,1,1,4.96491,4.9525,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,35,1,1,4.96419,4.96591,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,36,1,1,4.96472,4.96354,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,37,1,1,4.96452,4.97261,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,38,1,1,4.96432,4.95688,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,39,1,1,4.9651,4.97572,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,40,1,1,4.96421,4.95325,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,41,1,1,4.96499,4.9647,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,42,1,1,4.96421,4.96438,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,43,1,1,4.96475,4.96504,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,44,1,1,4.9665,4.96415,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,45,1,1,4.96555,4.96457,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,46,1,1,4.96475,4.96442,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,47,1,1,4.96456,4.96441,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,48,1,1,4.96502,4.96487,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,49,1,1,4.96439,4.96441,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,50,1,1,4.96398,4.96486,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,51,1,1,4.96493,4.96451,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,52,1,1,4.93957,4.9582,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,53,1,1,4.97974,4.96461,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,54,1,1,4.96454,4.96449,4.96445843137255,4.964465294117647
2024-10-03_10-48-43,55,1,1,4.96483,4.96441,4.96445843137255,4.964465294117647
2024-10-03_10-49-47,5,2,1,9.92952,9.919889999999999,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,6,2,1,9.92881,9.93741,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,7,2,1,9.92917,9.92164,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,8,2,1,9.93049,9.92826,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,9,2,1,9.92883,9.92942,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,10,2,1,9.9285,9.92929,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,11,2,1,9.92845,9.92926,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,12,2,1,9.9298,9.932400000000001,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,13,2,1,9.92932,9.9266,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,14,2,1,9.928889999999999,9.937999999999999,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,15,2,1,9.92942,9.920359999999999,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,16,2,1,9.929400000000001,9.92834,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,17,2,1,9.929089999999999,9.928930000000001,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,18,2,1,9.92914,9.94266,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,19,2,1,9.929960000000001,9.91553,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,20,2,1,9.929210000000001,9.929120000000001,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,21,2,1,9.92854,9.945969999999999,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,22,2,1,9.93043,9.91277,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,23,2,1,9.92813,9.92902,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,24,2,1,9.92877,9.92839,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,25,2,1,9.92892,9.930330000000001,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,26,2,1,9.929490000000001,9.928740000000001,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,27,2,1,9.92879,9.92906,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,28,2,1,9.88287,9.89726,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,29,2,1,9.92924,9.920819999999999,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,30,2,1,9.92898,9.922,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,31,2,1,9.9292,9.95081,9.928021764705882,9.92785431372549
2024-10-03_10-49-47,32,2,1,9.92927,9.90783,9.928021764705882,9.92785431372549
