timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.0551,0,0,24983,24982.6,0.819428
2.05512,0,0,49647,24663.7,0.808968
3.05512,0,0,74401,24753.8,0.811926
4.05513,0,0,99119,24717.8,0.810735
5.05515,0,0,123868,24748.6,0.811729
6.05516,0,0,148682,24813.6,0.813888
7.0552,0,0,173575,24892.2,0.816463
8.05521,0,0,198535,24959.5,0.818639
9.05522,0,0,223334,24798.8,0.8134
10.0552,0,0,248067,24732.4,0.811222
11.0553,0,0,272704,24636.4,0.808075
12.0553,0,0,297422,24717.6,0.810732
13.0553,0,0,322115,24692.5,0.809898
14.0553,0,0,346929,24813.3,0.813875
15.0553,0,0,371838,24909,0.817014
16.0554,0,0,396747,24908.7,0.817006
17.0554,0,0,421569,24821.8,0.814155
18.0554,0,0,446369,24800,0.813439
19.0554,0,0,471264,24894.1,0.816527
20.0554,0,0,496119,24854.7,0.815234
1.0551,0,1,24845,24844.6,0.814902
2.05512,0,1,49509,24663.7,0.808968
3.05512,0,1,74263,24753.8,0.811926
4.05513,0,1,98983,24719.8,0.810809
5.05515,0,1,123790,24806.6,0.813657
6.05516,0,1,148604,24813.6,0.813888
7.0552,0,1,173497,24892.2,0.816463
8.05521,0,1,198467,24969.5,0.819
9.05522,0,1,223266,24798.8,0.8134
10.0552,0,1,247999,24732.4,0.811222
11.0553,0,1,272636,24636.4,0.808075
12.0553,0,1,297371,24734.6,0.811296
13.0553,0,1,322092,24720.5,0.810813
14.0553,0,1,346906,24813.3,0.813875
15.0553,0,1,371815,24909,0.817014
16.0554,0,1,396724,24908.7,0.817006
17.0554,0,1,421546,24821.8,0.814155
18.0554,0,1,446346,24800,0.813439
19.0554,0,1,471241,24894.1,0.816527
20.0554,0,1,496096,24854.7,0.815234
1.0551,0,2,24983,24982.6,0.819428
2.05512,0,2,49647,24663.7,0.808968
3.05512,0,2,74401,24753.8,0.811926
4.05513,0,2,99121,24719.8,0.810809
5.05515,0,2,123843,24721.6,0.810847
6.05516,0,2,148657,24813.6,0.813888
7.0552,0,2,173550,24892.2,0.816463
8.05521,0,2,198484,24933.5,0.817813
9.05522,0,2,223283,24798.8,0.8134
10.0552,0,2,248016,24732.4,0.811222
11.0553,0,2,272653,24636.4,0.808075
12.0553,0,2,297388,24734.6,0.811296
13.0553,0,2,322124,24735.5,0.811324
14.0553,0,2,346938,24813.3,0.813875
15.0553,0,2,371847,24909,0.817014
16.0554,0,2,396756,24908.7,0.817006
17.0554,0,2,421578,24821.8,0.814155
18.0554,0,2,446378,24800,0.813439
19.0554,0,2,471254,24875.1,0.815899
20.0554,0,2,496109,24854.7,0.815234
1.0551,0,3,24983,24982.6,0.819428
2.05512,0,3,49647,24663.7,0.808968
3.05512,0,3,74401,24753.8,0.811926
4.05513,0,3,99121,24719.8,0.810809
5.05515,0,3,123928,24806.6,0.813657
6.05516,0,3,148742,24813.6,0.813888
7.0552,0,3,173635,24892.2,0.816463
8.05521,0,3,198605,24969.5,0.819
9.05522,0,3,223404,24798.8,0.8134
10.0552,0,3,248137,24732.4,0.811222
11.0553,0,3,272774,24636.4,0.808075
12.0553,0,3,297509,24734.6,0.811296
13.0553,0,3,322245,24735.5,0.811324
14.0553,0,3,347059,24813.3,0.813875
15.0553,0,3,371968,24909,0.817014
16.0554,0,3,396877,24908.7,0.817006
17.0554,0,3,421699,24821.8,0.814155
18.0554,0,3,446499,24800,0.813439
19.0554,0,3,471394,24894.1,0.816527
20.0554,0,3,496249,24854.7,0.815234
1.0551,0,4,24983,24982.6,0.819428
2.05512,0,4,49647,24663.7,0.808968
3.05512,0,4,74401,24753.8,0.811926
4.05513,0,4,99121,24719.8,0.810809
5.05515,0,4,123928,24806.6,0.813657
6.05516,0,4,148742,24813.6,0.813888
7.0552,0,4,173635,24892.2,0.816463
8.05521,0,4,198605,24969.5,0.819
9.05522,0,4,223404,24798.8,0.8134
10.0552,0,4,248137,24732.4,0.811222
11.0553,0,4,272774,24636.4,0.808075
12.0553,0,4,297509,24734.6,0.811296
13.0553,0,4,322245,24735.5,0.811324
14.0553,0,4,347059,24813.3,0.813875
15.0553,0,4,371968,24909,0.817014
16.0554,0,4,396877,24908.7,0.817006
17.0554,0,4,421699,24821.8,0.814155
18.0554,0,4,446499,24800,0.813439
19.0554,0,4,471394,24894.1,0.816527
20.0554,0,4,496249,24854.7,0.815234
1.0551,0,5,24983,24982.6,0.819428
2.05512,0,5,49647,24663.7,0.808968
3.05512,0,5,74401,24753.8,0.811926
4.05513,0,5,99121,24719.8,0.810809
