timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00195,0,0,145839,145839,4.77675
2.00195,0,0,292083,146244,4.79107
3.00195,0,0,438343,146260,4.79196
4.00195,0,0,584388,146045,4.78439
5.00195,0,0,730643,146255,4.79143
6.00195,0,0,877041,146398,4.79612
7.00196,0,0,1023193,146152,4.78773
8.00196,0,0,1169534,146341,4.79448
9.00196,0,0,1315734,146200,4.78973
10.002,0,0,1461820,146086,4.78638
11.002,0,0,1607957,146137,4.78789
12.002,0,0,1754086,146129,4.7872
13.002,0,0,1900193,146107,4.78661
14.002,0,0,2046356,146163,4.78852
15.002,0,0,2192287,145931,4.78111
16.002,0,0,2338475,146188,4.78944
17.002,0,0,2484477,146002,4.78308
18.002,0,0,2630567,146090,4.78642
19.002,0,0,2776397,145830,4.77777
20.002,0,0,2922464,146067,4.7855
1.00195,0,1,145777,145777,4.77634
2.00195,0,1,291974,146197,4.78966
3.00195,0,1,438327,146353,4.79484
4.00195,0,1,584318,145991,4.78268
5.00195,0,1,730571,146253,4.7917
6.00195,0,1,876977,146406,4.79631
7.00196,0,1,1023116,146139,4.78815
8.00196,0,1,1169431,146315,4.79405
9.00196,0,1,1315619,146188,4.7898
10.002,0,1,1461738,146119,4.78736
11.002,0,1,1607883,146145,4.78783
12.002,0,1,1753964,146081,4.78569
13.002,0,1,1900070,146106,4.78688
14.002,0,1,2046242,146172,4.78924
15.002,0,1,2192164,145922,4.78104
16.002,0,1,2338347,146183,4.78973
17.002,0,1,2484350,146003,4.78377
18.002,0,1,2630370,146020,4.78393
19.002,0,1,2776250,145880,4.77937
20.002,0,1,2922262,146012,4.78363
1.00195,0,2,145892,145892,4.7794
2.00195,0,2,292079,146187,4.7892
3.00195,0,2,438341,146262,4.79206
4.00195,0,2,584362,146021,4.78383
5.00195,0,2,730627,146265,4.79176
6.00195,0,2,877017,146390,4.7958
7.00196,0,2,1023162,146145,4.78765
8.00196,0,2,1169522,146360,4.79507
9.00196,0,2,1315728,146206,4.79022
10.002,0,2,1461785,146057,4.78542
11.002,0,2,1607922,146137,4.78805
12.002,0,2,1754055,146133,4.78743
13.002,0,2,1900148,146093,4.78629
14.002,0,2,2046313,146165,4.78861
15.002,0,2,2192243,145930,4.78098
16.002,0,2,2338432,146189,4.78963
17.002,0,2,2484423,145991,4.78301
18.002,0,2,2630548,146125,4.7876
19.002,0,2,2776342,145794,4.77652
20.002,0,2,2922432,146090,4.78615
1.00195,0,3,145780,145780,4.77473
2.00195,0,3,292036,146256,4.79104
3.00195,0,3,438322,146286,4.79255
4.00195,0,3,584364,146042,4.78457
5.00195,0,3,730632,146268,4.7919
6.00195,0,3,877045,146413,4.79671
7.00196,0,3,1023180,146135,4.78697
8.00196,0,3,1169509,146329,4.79366
9.00196,0,3,1315722,146213,4.78999
10.002,0,3,1461810,146088,4.78647
11.002,0,3,1607928,146118,4.78747
12.002,0,3,1754085,146157,4.78802
13.002,0,3,1900186,146101,4.78674
14.002,0,3,2046345,146159,4.78825
15.002,0,3,2192241,145896,4.77986
16.002,0,3,2338443,146202,4.78927
17.002,0,3,2484480,146037,4.78429
18.002,0,3,2630571,146091,4.78665
19.002,0,3,2776393,145822,4.77744
20.002,0,3,2922454,146061,4.7853
