case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-06_06-35-10,5,4,1,19.16679,19.16638,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,6,4,1,19.18494,19.18467,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,7,4,1,19.1505,19.15112,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,8,4,1,19.17726,19.177130000000002,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,9,4,1,19.15974,19.1599,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,10,4,1,19.14563,19.146259999999998,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,11,4,1,19.15124,19.15077,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,12,4,1,19.14834,19.14779,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,13,4,1,19.14652,19.14712,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,14,4,1,19.15462,19.153959999999998,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,15,4,1,19.12299,19.123530000000002,19.155553333333334,19.155560000000005
2024-10-06_06-35-10,16,4,1,19.15807,19.15809,19.155553333333334,19.155560000000005
2024-10-06_06-35-33,5,32,8,119.49846,119.53485,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,6,32,8,119.61608,119.54618,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,7,32,8,119.35922,119.40171,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,8,32,8,119.536,119.5378,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,9,32,8,119.46388,119.46217,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,10,32,8,119.50653,119.47393,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,11,32,8,119.68142,119.7347,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,12,32,8,119.57324,119.5205,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,13,32,8,119.46663,119.52872,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,14,32,8,119.45494,119.43707,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,15,32,8,119.47564,119.47233,119.50643583333333,119.50939333333334
2024-10-06_06-35-33,16,32,8,119.44519,119.46276,119.50643583333333,119.50939333333334
2024-10-06_06-35-56,5,64,16,181.554583,181.599012,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,6,64,16,181.222393,181.239385,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,7,64,16,180.852113,180.832643,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,8,64,16,180.50223,180.607778,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,9,64,16,180.23525,180.107606,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,10,64,16,180.005824,180.027296,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,11,64,16,180.199019,180.16106,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,12,64,16,179.911221,179.917886,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,13,64,16,180.294183,180.317651,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,14,64,16,180.88692,180.864413,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,15,64,16,180.631919,180.671597,180.62881633333333,180.63865158333337
2024-10-06_06-35-56,16,64,16,181.250141,181.31749200000002,180.62881633333333,180.63865158333337
2024-10-06_06-36-19,5,96,24,196.064603,196.115478,196.0859835,196.09723216666669
2024-10-06_06-36-19,6,96,24,196.156856,196.037936,196.0859835,196.09723216666669
2024-10-06_06-36-19,7,96,24,195.979484,196.18358,196.0859835,196.09723216666669
2024-10-06_06-36-19,8,96,24,196.117035,196.111484,196.0859835,196.09723216666669
2024-10-06_06-36-19,9,96,24,196.069743,196.098762,196.0859835,196.09723216666669
2024-10-06_06-36-19,10,96,24,196.164875,195.949918,196.0859835,196.09723216666669
2024-10-06_06-36-19,11,96,24,196.003071,196.119013,196.0859835,196.09723216666669
2024-10-06_06-36-19,12,96,24,196.158979,196.157639,196.0859835,196.09723216666669
2024-10-06_06-36-19,13,96,24,195.994261,195.997334,196.0859835,196.09723216666669
2024-10-06_06-36-19,14,96,24,196.075599,196.196656,196.0859835,196.09723216666669
2024-10-06_06-36-19,15,96,24,196.080661,196.012137,196.0859835,196.09723216666669
2024-10-06_06-36-19,16,96,24,196.166635,196.186849,196.0859835,196.09723216666669
2024-10-06_06-36-42,5,128,32,196.362066,196.439075,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,6,128,32,196.378956,196.194459,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,7,128,32,196.171825,195.93794,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,8,128,32,196.148003,196.134194,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,9,128,32,195.951045,196.054145,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,10,128,32,196.028434,196.18082900000002,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,11,128,32,196.0163,195.93484,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,12,128,32,196.140087,196.23247,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,13,128,32,196.38138899999998,196.207171,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,14,128,32,195.995755,196.016896,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,15,128,32,195.713883,196.198762,196.1424728333333,196.14977033333335
2024-10-06_06-36-42,16,128,32,196.421931,196.266463,196.1424728333333,196.14977033333335
