timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00124,0,0,82503,82502.9,2.706
2.00124,0,0,166423,83919.4,2.75256
3.00125,0,0,249708,83284.5,2.73173
4.00125,0,0,332974,83265.9,2.73112
5.00125,0,0,416416,83441.7,2.73689
6.00126,0,0,499972,83555.5,2.74062
7.00126,0,0,583205,83233,2.73004
8.00127,0,0,666622,83416.5,2.73606
9.00128,0,0,750213,83590.2,2.74176
10.0013,0,0,833735,83521.1,2.73949
11.0013,0,0,916752,83017,2.72292
12.0013,0,0,999477,82724.4,2.71336
13.0013,0,0,1082604,83126.5,2.72655
14.0013,0,0,1166118,83512.9,2.73922
15.0013,0,0,1249220,83101.7,2.72574
16.0013,0,0,1332941,83720.1,2.74602
17.0013,0,0,1416385,83443.3,2.73694
18.0013,0,0,1499992,83606.2,2.74228
19.0014,0,0,1583588,83595.1,2.74192
20.0014,0,0,1667229,83639.9,2.74339
1.00124,0,1,82494,82493.9,2.7057
2.00124,0,1,166414,83919.4,2.75256
3.00125,0,1,249699,83284.5,2.73173
4.00125,0,1,332965,83265.9,2.73112
5.00125,0,1,416407,83441.7,2.73689
6.00126,0,1,499963,83555.5,2.74062
7.00126,0,1,583196,83233,2.73004
8.00127,0,1,666613,83416.5,2.73606
9.00128,0,1,750204,83590.2,2.74176
10.0013,0,1,833726,83521.1,2.73949
11.0013,0,1,917134,83408,2.73578
12.0013,0,1,999859,82724.4,2.71336
13.0013,0,1,1082986,83126.5,2.72655
14.0013,0,1,1166500,83512.9,2.73922
15.0013,0,1,1249602,83101.7,2.72574
16.0013,0,1,1333323,83720.1,2.74602
17.0013,0,1,1416767,83443.3,2.73694
18.0013,0,1,1500374,83606.2,2.74228
19.0014,0,1,1583970,83595.1,2.74192
20.0014,0,1,1667611,83639.9,2.74339
1.00124,0,2,82554,82553.9,2.70767
2.00124,0,2,166474,83919.4,2.75256
3.00125,0,2,249759,83284.5,2.73173
4.00125,0,2,333025,83265.9,2.73112
5.00125,0,2,416467,83441.7,2.73689
6.00126,0,2,500023,83555.5,2.74062
7.00126,0,2,583256,83233,2.73004
8.00127,0,2,666673,83416.5,2.73606
9.00128,0,2,750264,83590.2,2.74176
10.0013,0,2,833786,83521.1,2.73949
11.0013,0,2,917194,83408,2.73578
12.0013,0,2,999919,82724.4,2.71336
13.0013,0,2,1083046,83126.5,2.72655
14.0013,0,2,1166560,83512.9,2.73922
15.0013,0,2,1249662,83101.7,2.72574
16.0013,0,2,1333383,83720.1,2.74602
17.0013,0,2,1416827,83443.3,2.73694
18.0013,0,2,1500434,83606.2,2.74228
19.0014,0,2,1584030,83595.1,2.74192
20.0014,0,2,1667671,83639.9,2.74339
1.00124,0,3,82525,82524.9,2.70669
2.00124,0,3,166445,83919.4,2.75256
3.00125,0,3,249730,83284.5,2.73173
4.00125,0,3,332996,83265.9,2.73112
5.00125,0,3,416438,83441.7,2.73689
6.00126,0,3,499994,83555.5,2.74062
7.00126,0,3,583227,83233,2.73004
8.00127,0,3,666644,83416.5,2.73606
9.00128,0,3,750235,83590.2,2.74176
10.0013,0,3,833757,83521.1,2.73949
11.0013,0,3,917165,83408,2.73578
12.0013,0,3,999890,82724.4,2.71336
13.0013,0,3,1083017,83126.5,2.72655
14.0013,0,3,1166531,83512.9,2.73922
15.0013,0,3,1249633,83101.7,2.72574
16.0013,0,3,1333354,83720.1,2.74602
17.0013,0,3,1416798,83443.3,2.73694
18.0013,0,3,1500405,83606.2,2.74228
19.0014,0,3,1584001,83595.1,2.74192
20.0014,0,3,1667642,83639.9,2.74339
