timestamp,thread_id,connection_num,message_count,throughput,gbit_per_second
1,0,0,10176,10176,0.333766
2.00001,0,0,20314,10138,0.332526
3.00001,0,0,30498,10184,0.334033
4.00001,0,0,40667,10168.9,0.333541
5.00002,0,0,50782,10114.9,0.331769
6.00003,0,0,60847,10065,0.330131
7.00004,0,0,70905,10057.9,0.329899
8.00004,0,0,80983,10078,0.330558
9.00004,0,0,91042,10059,0.329934
10,0,0,101383,10340.9,0.339179
11.0001,0,0,111542,10158.9,0.333213
12.0001,0,0,121856,10313.9,0.338297
13.0001,0,0,132109,10253,0.336298
14.0001,0,0,142361,10252,0.336265
15.0001,0,0,152504,10143,0.33269
16.0001,0,0,162633,10129,0.33223
17.0001,0,0,172850,10217,0.335117
18.0001,0,0,183029,10179,0.333871
19.0001,0,0,193257,10228,0.335478
20.0001,0,0,203567,10310,0.338166
1,0,1,37371,37370.8,1.22576
2.00001,0,1,75172,37800.9,1.23987
3.00001,0,1,112983,37810.9,1.2402
4.00001,0,1,150814,37830.8,1.24085
5.00002,0,1,188702,37887.7,1.24271
6.00003,0,1,226825,38122.9,1.25043
7.00004,0,1,264919,38093.6,1.24947
8.00004,0,1,302964,38044.9,1.24787
9.00004,0,1,341001,38036.9,1.24761
10,0,1,378838,37836.7,1.24104
11.0001,0,1,416826,37987.8,1.246
12.0001,0,1,454732,37905.7,1.24331
13.0001,0,1,492501,37768.9,1.23882
14.0001,0,1,530329,37827.9,1.24076
15.0001,0,1,568176,37846.9,1.24138
16.0001,0,1,606240,38063.8,1.24849
17.0001,0,1,644242,38001.9,1.24646
18.0001,0,1,682304,38061.9,1.24843
19.0001,0,1,719996,37691.9,1.2363
20.0001,0,1,757702,37705.8,1.23675
1,0,2,22418,22417.9,0.735302
2.00001,0,2,45051,22633,0.742361
3.00001,0,2,67742,22690.9,0.744263
4.00001,0,2,90398,22655.9,0.743112
5.00002,0,2,112943,22544.8,0.739469
6.00003,0,2,135568,22624.9,0.742098
7.00004,0,2,158291,22722.8,0.745306
8.00004,0,2,180884,22592.9,0.741049
9.00004,0,2,203451,22567,0.740196
10,0,2,225972,22520.8,0.738682
11.0001,0,2,248535,22562.9,0.740062
12.0001,0,2,271073,22537.8,0.739241
13.0001,0,2,293603,22530,0.738983
14.0001,0,2,316123,22520,0.738654
15.0001,0,2,338705,22582,0.740688
16.0001,0,2,361298,22592.9,0.741047
17.0001,0,2,383845,22546.9,0.73954
18.0001,0,2,406384,22539,0.739278
19.0001,0,2,428981,22597,0.741181
20.0001,0,2,451536,22554.9,0.739801
1,0,3,34878,34877.9,1.14399
2.00001,0,3,69947,35069,1.15026
3.00001,0,3,104861,34913.9,1.14518
4.00001,0,3,139876,35014.8,1.14849
5.00002,0,3,174776,34899.7,1.14471
6.00003,0,3,209847,35070.9,1.15033
7.00004,0,3,244805,34957.6,1.14661
8.00004,0,3,279652,34846.9,1.14298
9.00004,0,3,314534,34881.9,1.14413
10,0,3,349423,34888.7,1.14435
11.0001,0,3,384403,34979.8,1.14734
12.0001,0,3,419374,34970.7,1.14704
13.0001,0,3,454084,34709.9,1.13849
14.0001,0,3,488926,34841.9,1.14282
15.0001,0,3,523758,34831.9,1.14249
16.0001,0,3,558474,34715.8,1.13868
17.0001,0,3,593291,34816.9,1.14199
18.0001,0,3,628042,34750.9,1.13983
19.0001,0,3,662817,34774.9,1.14062
20.0001,0,3,697556,34738.9,1.13943
1,0,4,34074,34073.9,1.11762
2.00001,0,4,67995,33921,1.11261
3.00001,0,4,101791,33795.9,1.10851
4.00001,0,4,135584,33792.8,1.1084
5.00002,0,4,169311,33726.7,1.10624
6.00003,0,4,203056,33744.9,1.10683
7.00004,0,4,236763,33706.6,1.10558
8.00004,0,4,270573,33809.9,1.10897
9.00004,0,4,304374,33800.9,1.10867
10,0,4,338111,33736.7,1.10656
11.0001,0,4,371950,33838.8,1.10991
