case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-06_06-49-45,5,4,1,10.94492,10.94514,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,6,4,1,10.96988,10.97488,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,7,4,1,10.96404,10.96511,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,8,4,1,10.97844,10.97815,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,9,4,1,10.97368,10.97324,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,10,4,1,10.94232,10.94115,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,11,4,1,10.99064,10.99211,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,12,4,1,10.98916,10.98939,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,13,4,1,10.977,10.97664,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,14,4,1,10.9354,10.93504,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,15,4,1,10.94388,10.94415,10.959703333333335,10.960180000000001
2024-10-06_06-49-45,16,4,1,10.90708,10.907160000000001,10.959703333333335,10.960180000000001
2024-10-06_06-50-08,5,32,8,72.63123999999999,72.63542,66.94628615384616,72.5161
2024-10-06_06-50-08,6,32,8,72.59084,72.58709,66.94628615384616,72.5161
2024-10-06_06-50-08,7,32,8,72.52164,72.52167,66.94628615384616,72.5161
2024-10-06_06-50-08,8,32,8,72.52448,72.5236,66.94628615384616,72.5161
2024-10-06_06-50-08,9,32,8,72.6234,72.62421,66.94628615384616,72.5161
2024-10-06_06-50-08,10,32,8,72.47104,72.46954,66.94628615384616,72.5161
2024-10-06_06-50-08,11,32,8,72.49268000000001,72.49765,66.94628615384616,72.5161
2024-10-06_06-50-08,12,32,8,72.50656000000001,72.50512,66.94628615384616,72.5161
2024-10-06_06-50-08,13,32,8,72.50004,72.49447,66.94628615384616,72.5161
2024-10-06_06-50-08,14,32,8,72.5116,72.51595,66.94628615384616,72.5161
2024-10-06_06-50-08,15,32,8,72.5672,72.56912,66.94628615384616,72.5161
2024-10-06_06-50-08,16,32,8,72.361,72.3611,66.94628615384616,72.5161
2024-10-06_06-50-08,17,32,8,0.0,72.40436,66.94628615384616,72.5161
2024-10-06_06-50-32,5,64,16,129.035904,129.079392,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,6,64,16,129.457596,129.436708,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,7,64,16,129.162202,129.175698,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,8,64,16,129.332732,129.29947,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,9,64,16,129.269994,129.292667,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,10,64,16,129.08377,129.076754,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,11,64,16,129.226934,129.227343,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,12,64,16,129.165362,129.178211,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,13,64,16,129.18736,129.205936,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,14,64,16,129.415746,129.386441,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,15,64,16,129.421692,129.444239,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,16,64,16,129.411982,129.404799,119.32086723076921,129.27210038461538
2024-10-06_06-50-32,17,64,16,0.0,129.329647,119.32086723076921,129.27210038461538
2024-10-06_06-50-55,5,96,24,175.561374,175.562952,175.1865485,175.18971608333334
2024-10-06_06-50-55,6,96,24,175.209756,175.216258,175.1865485,175.18971608333334
2024-10-06_06-50-55,7,96,24,175.11705,175.114472,175.1865485,175.18971608333334
2024-10-06_06-50-55,8,96,24,175.326422,175.334057,175.1865485,175.18971608333334
2024-10-06_06-50-55,9,96,24,175.162586,175.166317,175.1865485,175.18971608333334
2024-10-06_06-50-55,10,96,24,175.04656,175.045852,175.1865485,175.18971608333334
2024-10-06_06-50-55,11,96,24,175.223912,175.224483,175.1865485,175.18971608333334
2024-10-06_06-50-55,12,96,24,175.00376,175.01379,175.1865485,175.18971608333334
2024-10-06_06-50-55,13,96,24,175.31141,175.313405,175.1865485,175.18971608333334
2024-10-06_06-50-55,14,96,24,175.138014,175.140494,175.1865485,175.18971608333334
2024-10-06_06-50-55,15,96,24,174.913856,174.90158399999999,175.1865485,175.18971608333334
2024-10-06_06-50-55,16,96,24,175.223882,175.242929,175.1865485,175.18971608333334
2024-10-06_06-51-18,5,128,32,194.942522,194.669108,194.63702650000002,194.64899966666667
2024-10-06_06-51-18,6,128,32,194.58394,194.68213,194.63702650000002,194.64899966666667
2024-10-06_06-51-18,7,128,32,194.77239,194.696304,194.63702650000002,194.64899966666667
2024-10-06_06-51-18,8,128,32,194.426264,194.590592,194.63702650000002,194.64899966666667
2024-10-06_06-51-18,9,128,32,194.67176,194.793066,194.63702650000002,194.64899966666667
