case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-06_07-14-28,5,64,16,103.77166,103.61359,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,6,64,16,103.44866,103.51596,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,7,64,16,104.43598,104.55421,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,8,64,16,106.56285,106.58909,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,9,64,16,106.238648,106.32730600000001,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,10,64,16,105.238272,105.366295,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,11,64,16,105.617335,105.574522,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,12,64,16,106.712263,106.854619,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,13,64,16,109.72073,109.73614,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,14,64,16,109.99551,109.82522,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,15,64,16,108.28922,108.23955,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,16,64,16,108.11085,108.14265,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,17,64,16,110.0098,110.31390999999999,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,18,64,16,109.07472,109.08647,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,19,64,16,108.77492,108.7571,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,20,64,16,108.90078,108.92068,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,21,64,16,106.95332,106.77407,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,22,64,16,108.28823,108.49559,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,23,64,16,107.17532,107.06598,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,24,64,16,106.20264,106.07043,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,25,64,16,105.5698,105.44894,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,26,64,16,107.53002000000001,107.76944,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,27,64,16,107.41981,107.4114,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,28,64,16,109.21489,109.25087,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,29,64,16,108.57939,108.48281,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,30,64,16,107.34873,107.32356,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,31,64,16,106.339224,106.325887,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,32,64,16,108.73754,108.90035,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,33,64,16,109.78145,109.64336,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,34,64,16,109.61718,109.69701,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,35,64,16,110.43199,110.4109,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,36,64,16,109.14267,109.12879,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,37,64,16,109.48452,109.42268,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,38,64,16,109.06696,108.9369,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,39,64,16,111.04252,111.24081,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,40,64,16,110.83569,110.7583,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,41,64,16,110.38131,110.24074,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,42,64,16,109.06178,109.07181,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,43,64,16,108.89244,108.96163,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,44,64,16,109.16308000000001,109.38503,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,45,64,16,111.82711,111.73299,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,46,64,16,111.71167,111.66741999999999,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,47,64,16,110.06445,110.05318,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,48,64,16,109.39936,109.4425,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,49,64,16,109.61403,109.57874,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,50,64,16,109.77325,109.68844,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,51,64,16,109.802685,109.904272,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,52,64,16,109.57657,109.65187,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,53,64,16,109.7209,109.68948,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,54,64,16,110.21773,110.29033,108.48535974509804,108.49295394117647
2024-10-06_07-14-28,55,64,16,109.88289,109.80683,108.48535974509804,108.49295394117647
