timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.00324,0,0,50255,50254.7,1.62974
2.00324,0,0,95774,45518.9,1.47847
3.00324,0,0,133911,38137,1.20056
4.00324,0,0,163800,29889,0.882317
5.00368,0,0,198730,34914.8,1.0642
6.00392,0,0,246023,47281.6,1.52312
7.00392,0,0,296476,50452.8,1.65202
8.00393,0,0,346740,50263.7,1.64865
9.00393,0,0,397544,50803.7,1.65359
10.0039,0,0,433070,35526,1.08
11.0039,0,0,478939,45868.6,1.43938
12.004,0,0,524639,45699.4,1.44516
13.004,0,0,570263,45623.8,1.43971
14.004,0,0,616733,46470,1.45507
15.004,0,0,662881,46147.7,1.45149
16.004,0,0,709096,46214.8,1.453
17.004,0,0,754674,45577.8,1.43373
18.004,0,0,806407,51732.8,1.67659
19.004,0,0,858653,52245.8,1.71366
20.004,0,0,890486,31832.9,0.964161
21.004,0,0,934036,43549.8,1.35619
22.004,0,0,971906,37869.7,1.17846
23.004,0,0,1011811,39904.6,1.25912
24.004,0,0,1062063,50251.7,1.64825
25.004,0,0,1101815,39752,1.2692
26.004,0,0,1148863,47047.7,1.50843
27.004,0,0,1199218,50354.9,1.63539
28.004,0,0,1253478,54259.5,1.77791
29.004,0,0,1306875,53396.9,1.74202
30.004,0,0,1360981,54106,1.7727
31.004,0,0,1418696,57714.5,1.89303
32.0041,0,0,1470184,51487.5,1.66783
33.0041,0,0,1518503,48318.9,1.54439
34.0041,0,0,1567710,49206.7,1.5528
35.0041,0,0,1615658,47947.7,1.53485
36.0041,0,0,1664735,49076.9,1.57164
37.0041,0,0,1712595,47859.6,1.52464
38.0041,0,0,1761139,48543.9,1.55054
39.0041,0,0,1809294,48154.6,1.54347
40.0041,0,0,1858031,48736.6,1.54954
41.0041,0,0,1906999,48967.7,1.56444
42.0041,0,0,1955412,48412.8,1.54166
43.0041,0,0,2002787,47375,1.49874
44.0041,0,0,2048416,45628.8,1.43448
45.0041,0,0,2094052,45635.9,1.43793
46.0041,0,0,2139530,45477.9,1.43849
47.0041,0,0,2185502,45971.9,1.44355
48.0041,0,0,2232480,46978,1.44384
49.0041,0,0,2279475,46994.8,1.44218
50.0041,0,0,2326141,46665.8,1.42991
51.0041,0,0,2373282,47140.9,1.4505
52.0041,0,0,2420460,47177.9,1.46158
53.0041,0,0,2467888,47427.6,1.46915
