case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-06_07-15-42,5,64,16,87.525886,87.445988,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,6,64,16,88.26028,88.385559,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,7,64,16,89.298988,89.302943,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,8,64,16,90.08431,90.06384,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,9,64,16,90.074534,89.900076,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,10,64,16,87.32492,87.069142,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,11,64,16,87.68202,87.77706,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,12,64,16,87.78212,87.67987,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,13,64,16,86.88621,86.80708,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,14,64,16,86.7526,86.73532,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,15,64,16,86.38813999999999,86.35084,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,16,64,16,86.06632,86.22936,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,17,64,16,89.25353,89.39315,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,18,64,16,89.59295,89.7939,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,19,64,16,91.293036,91.629816,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,20,64,16,90.321845,90.119073,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,21,64,16,88.99371,88.906984,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,22,64,16,89.469145,89.588692,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,23,64,16,90.180506,90.98443,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,24,64,16,93.180172,93.481369,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,25,64,16,91.048546,90.168544,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,26,64,16,87.434156,87.28249100000001,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,27,64,16,88.936704,89.13718300000001,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,28,64,16,88.594814,88.448811,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,29,64,16,90.86533,91.12158,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,30,64,16,90.97624,90.68606,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,31,64,16,88.96552,88.68111,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,32,64,16,87.057016,86.946094,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,33,64,16,88.81664,88.73907,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,34,64,16,87.65206,87.65033,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,35,64,16,89.23533,89.21183,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,36,64,16,89.99292,90.00903,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,37,64,16,89.64492,89.62457,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,38,64,16,89.90656,89.92336,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,39,64,16,89.80836,89.80104,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,40,64,16,89.57158,89.56306000000001,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,41,64,16,89.69455,89.78686,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,42,64,16,89.6699,89.48735,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,43,64,16,88.257516,88.32381,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,44,64,16,88.303017,88.165148,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,45,64,16,86.823816,86.81797,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,46,64,16,88.02566,88.043716,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,47,64,16,88.052032,88.154856,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,48,64,16,89.57207,89.95409,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,49,64,16,89.5849,89.44371,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,50,64,16,89.26356,89.38807,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,51,64,16,90.24831,90.25022,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,52,64,16,88.3146,88.15122,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,53,64,16,88.45538,88.62073,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,54,64,16,87.57493,87.35771,88.93809252941178,88.93683303921568
2024-10-06_07-15-42,55,64,16,89.08456,89.19437,88.93809252941178,88.93683303921568
