timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.02706,0,0,73701,73700.9,2.38266
2.02706,0,0,148732,75030.9,2.45861
3.02707,0,0,223782,75050,2.45924
4.02707,0,0,299551,75768.9,2.48279
5.02707,0,0,375553,76001.8,2.49043
6.02707,0,0,451744,76190.8,2.49662
7.02707,0,0,528717,76972.9,2.52225
8.02707,0,0,606270,77552.9,2.54125
9.02708,0,0,683222,76951.4,2.52154
10.0271,0,0,760427,77204.9,2.52985
11.0271,0,0,837731,77303.8,2.53309
12.0271,0,0,914870,77138.9,2.52769
13.0271,0,0,991136,76265.9,2.49908
14.0271,0,0,1067408,76272,2.49928
15.0271,0,0,1144062,76653.8,2.51179
16.0271,0,0,1219741,75677.9,2.47981
17.0271,0,0,1295903,76161.9,2.49567
18.0274,0,0,1372154,76228.2,2.49785
19.0274,0,0,1448279,76124.5,2.49445
20.0275,0,0,1524662,76373.5,2.50261
21.0275,0,0,1583672,59010,1.93364
22.0275,0,0,1642505,58833,1.92784
23.0276,0,0,1702326,59817.2,1.96009
24.0276,0,0,1762086,59760,1.95821
25.0276,0,0,1821937,59850.9,1.9612
26.0276,0,0,1881508,59571,1.95202
27.0276,0,0,1941448,59939.9,1.96411
28.0276,0,0,2000833,59384.3,1.94591
29.0276,0,0,2059648,58814.5,1.92723
30.0276,0,0,2118308,58659.4,1.92215
31.0276,0,0,2177646,59337.9,1.94439
32.0276,0,0,2236936,59289.9,1.94281
33.0276,0,0,2296236,59300,1.94314
34.0276,0,0,2355518,59281.4,1.94253
35.0276,0,0,2414378,58859.8,1.92872
36.0277,0,0,2473142,58763.9,1.92557
37.0277,0,0,2531848,58705.9,1.92367
38.0277,0,0,2590244,58396,1.91352
39.0277,0,0,2649164,58919.9,1.93069
40.0277,0,0,2708053,58888.9,1.92967
41.0277,0,0,2766190,58134.4,1.90495
42.0277,0,0,2824315,58124.8,1.90463
43.0277,0,0,2882171,57856,1.89582
44.0279,0,0,2940472,58291.8,1.91011
45.0279,0,0,2998594,58122,1.90454
46.0279,0,0,3057161,58566.6,1.91911
47.0279,0,0,3115745,58583.9,1.91968
48.0279,0,0,3173926,58180.1,1.90644
49.0279,0,0,3235472,61545.9,2.01674
50.0279,0,0,3297949,62476.9,2.04724
51.0279,0,0,3360568,62618.8,2.05189
52.0279,0,0,3422890,62322,2.04217
53.0279,0,0,3484970,62079.9,2.03423
54.0279,0,0,3547350,62379.9,2.04407
55.0279,0,0,3609454,62103.8,2.03502
56.0281,0,0,3672607,63140.8,2.069
57.0281,0,0,3735478,62871,2.06016
58.0281,0,0,3798123,62645,2.05275
59.0281,0,0,3852672,54549,1.78746
1.02706,0,1,74157,74156.9,2.42965
2.02706,0,1,149165,75007.9,2.45786
3.02707,0,1,224173,75008,2.45786
4.02707,0,1,299949,75775.9,2.48302
5.02707,0,1,375981,76031.8,2.49141
6.02707,0,1,452138,76156.8,2.49551
7.02707,0,1,529081,76942.9,2.52127
8.02707,0,1,606637,77555.9,2.54135
9.02708,0,1,683687,77049.4,2.52476
10.0271,0,1,760809,77121.9,2.52713
11.0271,0,1,838101,77291.8,2.5327
12.0271,0,1,915331,77229.9,2.53067
13.0271,0,1,991543,76211.9,2.49731
14.0271,0,1,1067766,76223,2.49768
15.0271,0,1,1144493,76726.8,2.51418
16.0271,0,1,1220115,75620.9,2.47795
17.0271,0,1,1296301,76185.9,2.49646
18.0274,0,1,1372589,76265.2,2.49906
19.0274,0,1,1448661,76071.5,2.49271
20.0275,0,1,1525080,76409.5,2.50379
21.0275,0,1,1584045,58965,1.93216
22.0275,0,1,1642925,58880,1.92938
23.0276,0,1,1702770,59841.2,1.96088
24.0276,0,1,1762477,59707,1.95648
25.0276,0,1,1822381,59903.9,1.96293
26.0276,0,1,1881918,59537,1.95091
27.0276,0,1,1941921,60002.9,1.96618
28.0276,0,1,2001313,59391.3,1.94613
29.0276,0,1,2060017,58703.5,1.9236
30.0276,0,1,2118717,58699.4,1.92346
31.0276,0,1,2178025,59307.9,1.9434
32.0276,0,1,2237357,59331.9,1.94419
33.0276,0,1,2296661,59304,1.94327
34.0276,0,1,2355885,59223.4,1.94063
35.0276,0,1,2414765,58879.8,1.92937
36.0277,0,1,2473617,58851.9,1.92846
37.0277,0,1,2532269,58651.9,1.9219
38.0277,0,1,2590637,58368,1.9126
39.0277,0,1,2649524,58886.9,1.92961
40.0277,0,1,2708435,58910.9,1.93039
41.0277,0,1,2766569,58131.4,1.90485
42.0277,0,1,2824684,58114.8,1.90431
43.0277,0,1,2882543,57859,1.89592
44.0279,0,1,2940845,58292.8,1.91014
45.0279,0,1,2998957,58112,1.90421
46.0279,0,1,3057581,58623.6,1.92098
47.0279,0,1,3116205,58623.9,1.92099
48.0279,0,1,3174317,58111.1,1.90418
49.0279,0,1,3235834,61516.9,2.01579
50.0279,0,1,3298323,62488.9,2.04764
51.0279,0,1,3360941,62617.8,2.05186
52.0279,0,1,3423317,62376,2.04394
53.0279,0,1,3485357,62039.9,2.03292
54.0279,0,1,3547815,62457.9,2.04662
55.0279,0,1,3609833,62017.8,2.0322
56.0281,0,1,3673005,63159.8,2.06962
57.0281,0,1,3735935,62930,2.06209
58.0281,0,1,3798505,62570,2.05029
59.0281,0,1,3853042,54537,1.78707
1.02706,0,2,73859,73858.9,2.4186
2.02706,0,2,148891,75031.9,2.45864
3.02707,0,2,223971,75080,2.46022
4.02707,0,2,299732,75760.9,2.48253
5.02707,0,2,375708,75975.8,2.48958
6.02707,0,2,451955,76246.8,2.49846
7.02707,0,2,528921,76965.9,2.52202
8.02707,0,2,606483,77561.9,2.54155
9.02708,0,2,683379,76895.4,2.51971
10.0271,0,2,760619,77239.9,2.531
11.0271,0,2,837926,77306.8,2.53319
12.0271,0,2,915059,77132.9,2.52749
13.0271,0,2,991347,76287.9,2.4998
14.0271,0,2,1067608,76261,2.49892
15.0271,0,2,1144219,76610.8,2.51038
16.0271,0,2,1219938,75717.9,2.48112
17.0271,0,2,1296084,76145.9,2.49515
18.0274,0,2,1372315,76208.2,2.49719
19.0274,0,2,1448486,76170.5,2.49596
