case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-06_07-11-41,5,64,16,174.33455,174.35878,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,6,64,16,174.24054,174.287,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,7,64,16,176.80569,176.74443,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,8,64,16,177.14052,177.16915,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,9,64,16,176.9054,177.12787,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,10,64,16,177.052,177.15278,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,11,64,16,177.56285,177.50746,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,12,64,16,176.85287,176.68355,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,13,64,16,175.71509,175.9053,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,14,64,16,176.0881,176.13899,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,15,64,16,176.14808,176.05413,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,16,64,16,175.77939,175.80642,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,17,64,16,175.34389,175.10408,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,18,64,16,174.08871,174.13363999999999,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,19,64,16,173.77108,173.9127,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,20,64,16,173.43337,173.3655,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,21,64,16,171.72252,171.78192,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,22,64,16,171.68278,171.41486,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,23,64,16,169.53972,169.55244,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,24,64,16,169.13335,169.03899,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,25,64,16,169.32615,169.36103,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,26,64,16,169.38476,169.33854,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,27,64,16,169.23391,169.26484,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,28,64,16,169.95242,170.15984,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,29,64,16,170.11423,170.20697,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,30,64,16,170.20515,170.12611,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,31,64,16,170.06112,170.00199,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,32,64,16,170.31273,170.33662,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,33,64,16,170.09167,170.20124,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,34,64,16,171.66793,171.73948,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,35,64,16,172.36268,172.48838,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,36,64,16,172.24204,172.13693,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,37,64,16,172.50994,172.49335,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,38,64,16,172.58992,172.46294,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,39,64,16,172.5819,172.71762,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,40,64,16,172.88151,172.88548,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,41,64,16,173.48544,173.564461,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,42,64,16,173.513763,173.52983,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,43,64,16,173.616206,173.613971,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,44,64,16,173.547951,173.45919,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,45,64,16,173.63709599999999,173.781262,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,46,64,16,173.550792,173.468959,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,47,64,16,173.551106,173.516482,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,48,64,16,173.146093,173.158696,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,49,64,16,173.44066,173.374295,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,50,64,16,173.529738,173.483402,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,51,64,16,173.66851,173.745132,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,52,64,16,173.977413,174.04713,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,53,64,16,174.076855,174.024815,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,54,64,16,173.784008,173.74423,173.20254894117645,173.21008350980392
2024-10-06_07-11-41,55,64,16,173.945805,174.041054,173.20254894117645,173.21008350980392
