case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-06_07-13-04,5,64,16,136.51009,136.3948,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,6,64,16,137.9669,138.53981,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,7,64,16,139.96613,140.04542,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,8,64,16,141.76771,141.8195,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,9,64,16,141.76863,141.77262,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,10,64,16,141.60942,141.6395,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,11,64,16,143.73371,143.85568,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,12,64,16,143.99242999999998,143.62245,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,13,64,16,142.92118,142.82489999999999,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,14,64,16,139.45149,139.31728999999999,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,15,64,16,138.61088,138.54652,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,16,64,16,137.32494,137.31888,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,17,64,16,136.86944,136.79776999999999,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,18,64,16,136.33099,136.41828,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,19,64,16,136.14887,136.21769,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,20,64,16,138.31112,138.6914,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,21,64,16,138.78872,138.60485,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,22,64,16,137.14601,137.28891,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,23,64,16,140.17605,140.63384,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,24,64,16,138.21565999999999,138.13848,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,25,64,16,137.8763,137.89948,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,26,64,16,136.97584,136.9607,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,27,64,16,136.48695,136.29131,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,28,64,16,135.91936,136.04304,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,29,64,16,136.4413,136.4545,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,30,64,16,136.42789,136.47122,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,31,64,16,136.76389,136.90126,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,32,64,16,138.45309,138.40803,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,33,64,16,138.6299,138.65279,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,34,64,16,139.17375,139.10308,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,35,64,16,139.97173,140.08631,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,36,64,16,140.24734,140.32564,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,37,64,16,141.28747,141.2593,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,38,64,16,141.18209,141.14563,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,39,64,16,140.12984,140.04645,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,40,64,16,138.88845,138.9043,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,41,64,16,139.23002,139.18356,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,42,64,16,139.02431,139.04784,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,43,64,16,139.51346,139.56954,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,44,64,16,140.87948,140.89776,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,45,64,16,142.4293,142.4625,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,46,64,16,141.44792,141.46244,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,47,64,16,140.41855,140.22593,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,48,64,16,139.3655,139.29958,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,49,64,16,139.44555,139.46858,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,50,64,16,139.13834,139.20483000000002,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,51,64,16,140.38227,140.36175,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,52,64,16,141.77778,141.94152,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,53,64,16,140.09454,139.7676,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,54,64,16,138.33049,137.93227,139.24570058823528,139.2617454901961
2024-10-06_07-13-04,55,64,16,137.58766,138.08169,139.24570058823528,139.2617454901961
