case_timestamp,bucket,connections_number,thread_number,client_throughput_gbit_per_second,server_throughput_gbit_per_second,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second
2024-10-03_10-38-11,5,8,1,13.76776,13.767199999999999,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,6,8,1,13.74176,13.74251,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,7,8,1,13.70424,13.70441,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,8,8,1,13.73192,13.7316,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,9,8,1,13.758,13.75839,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,10,8,1,13.74448,13.74363,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,11,8,1,13.72648,13.72636,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,12,8,1,13.71024,13.71139,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,13,8,1,13.7316,13.731,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,14,8,1,13.7304,13.72996,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,15,8,1,13.77928,13.77948,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,16,8,1,13.75008,13.74996,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,17,8,1,13.78112,13.78115,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,18,8,1,13.75392,13.75421,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,19,8,1,13.76704,13.767430000000001,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,20,8,1,13.73264,13.73274,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,21,8,1,13.752,13.75169,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,22,8,1,13.76392,13.76449,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,23,8,1,13.75568,13.75602,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,24,8,1,13.63344,13.63321,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,25,8,1,13.74584,13.74514,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,26,8,1,13.72928,13.72925,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,27,8,1,13.75992,13.75961,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,28,8,1,13.71712,13.71726,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,29,8,1,13.69056,13.69122,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,30,8,1,13.75016,13.75006,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,31,8,1,13.746,13.74548,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,32,8,1,13.69984,13.69941,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,33,8,1,13.69496,13.69527,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,34,8,1,13.68672,13.68778,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,35,8,1,13.74208,13.74127,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,36,8,1,13.73464,13.733740000000001,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,37,8,1,13.74672,13.74793,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,38,8,1,13.76296,13.76278,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,39,8,1,13.73928,13.73969,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,40,8,1,13.75048,13.75026,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,41,8,1,13.75792,13.75752,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,42,8,1,13.75544,13.75559,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,43,8,1,13.78112,13.78009,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,44,8,1,13.79912,13.79935,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,45,8,1,13.78648,13.78719,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,46,8,1,13.7788,13.77838,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,47,8,1,13.79184,13.7917,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,48,8,1,13.75352,13.75352,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,49,8,1,13.79368,13.79378,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,50,8,1,13.77576,13.77581,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,51,8,1,13.794,13.79394,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,52,8,1,13.78512,13.78574,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,53,8,1,13.76352,13.76356,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,54,8,1,13.76192,13.76172,13.748050196078433,13.748059803921567
2024-10-03_10-38-11,55,8,1,13.75976,13.76018,13.748050196078433,13.748059803921567
2024-10-03_10-39-14,5,16,2,25.83042,25.827440000000003,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,6,16,2,25.8804,25.878639999999997,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,7,16,2,25.88361,25.8796,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,8,16,2,25.8597,25.858719999999998,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,9,16,2,25.77823,25.77648,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,10,16,2,25.88422,25.8804,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,11,16,2,25.91433,25.91232,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,12,16,2,25.758110000000002,25.75616,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,13,16,2,25.61644,25.61432,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,14,16,2,25.62062,25.61928,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,15,16,2,26.07484,26.07112,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,16,16,2,25.81568,25.813360000000003,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,17,16,2,25.191,25.19016,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,18,16,2,25.45149,25.44968,25.928883921568634,25.92669764705883
2024-10-03_10-39-14,19,16,2,25.7916,25.78856,25.928883921568634,25.92669764705883
